rank,n_features,n_delays,delay_interval,n_transitions,dataset,group,line,genotype,state_space,subject,speed_condition,n_bouts,n_frames,n_est_strides,mean_speed,median_speed,speed_min,speed_max,stride_frequency,henrici,tgmax,log_tgmax,resolvent_peak_frequency,resolvent_peak_gain,gain_h1,qfactor_h1,gain_h2,qfactor_h2,gain_h3,qfactor_h3,gain_h4,qfactor_h4,gain_h5,qfactor_h5,harmonic_entropy,h1_concentration,spectral_decay_rate,io_frequency,io_gain_mean,io_gain_max,io_1_from_1,io_1_from_2,io_1_from_3,io_1_from_4,io_2_from_1,io_2_from_2,io_2_from_3,io_2_from_4,io_3_from_1,io_3_from_2,io_3_from_3,io_3_from_4,io_4_from_1,io_4_from_2,io_4_from_3,io_4_from_4,participation_ratio,qfactor_median,model_index,speed_bin
40,4,26,1,14038,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0366-00,slow,87,16300,153.0,3.6710539720053386,3.7050941471531798,2.635819338931967,4.3214532861764114,1.0,0.7494060192797893,30.26257084154872,1.4809058190894484,1.0,24693.86594699783,24693.86594699783,32.323232323232375,280.31348104997863,0.8015028177833431,133.02322489003421,0.8827586206896544,63.048600086103896,0.8495951148280918,39.94711688226172,0.7455036809244304,0.12316802886947006,251.8859193563692,-1.4345509989345955,1.0,6158.549642493518,6661.157232462211,6527.024734231706,6527.0247342316325,5674.277726040101,5674.277726039963,6527.024734231705,6527.024734231634,5674.2777260401035,5674.277726039965,6661.1572324622075,6661.157232462135,5771.7388772402655,5771.738877240123,6661.157232462211,6661.1572324621375,5771.73887724027,5771.7388772401255,1.854844098744435,0.8495951148280918,1,slow
40,4,26,1,21338,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0366-00,medium,87,23600,225.0,4.818050275650074,4.814880389848038,4.323119872466886,5.284291781502405,1.0,0.7272913785937556,26.710344318018123,1.4266794864658308,1.0,11670.592912460781,11670.592912460781,27.118644067796616,261.595277410925,0.8300907911802846,111.56154042567589,0.8699592206615308,56.865029405181275,0.8104856582030039,39.45083702633738,0.7832003524401644,0.20744129783059156,138.58375105757966,-1.2905662544123093,1.0,2915.6809928597463,3185.6255459745785,2724.6307614337325,2724.6307614337434,2925.503062383402,2925.503062383403,2724.6307614337315,2724.630761433743,2925.5030623834014,2925.503062383403,2826.96460164726,2826.964601647273,3185.6255459745776,3185.6255459745785,2826.9646016472607,2826.964601647273,3185.6255459745757,3185.625545974578,1.7831223284681548,0.8300907911802846,2,medium
40,4,26,1,29838,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0366-00,fast,87,32100,283.0,5.967393961629797,5.941787448697441,5.285017486353835,8.060920285308828,1.0,0.7284057341617922,42.73441556715495,1.6307777689551506,1.0,42227.21843091282,42227.21843091282,43.83561643835614,334.55987252352315,0.8740781207320399,118.80892638172597,0.8548530721282271,63.452530336175485,0.83961954739259,41.16836435324258,0.7839294463498343,0.08357946172225832,463.36970187032773,-1.5528824127522203,1.0,10417.94101383237,12514.2966945595,11657.954701545976,11657.954701545988,8362.219139535378,8362.21913953533,11657.95470154597,11657.954701545983,8362.219139535373,8362.219139535326,12514.296694559476,12514.2966945595,9137.293519688694,9137.293519688637,12514.296694559473,12514.2966945595,9137.29351968869,9137.293519688636,1.7830682593623293,0.8548530721282271,3,fast
40,4,26,1,14796,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0371-00,fast,54,16200,150.0,5.161759489967794,5.094649140288102,4.523524164226152,6.6606080804135095,1.0,0.7090043343987378,43.70951972714413,1.6405760345611,1.0,88553.3478020858,88553.3478020858,80.00000000000028,396.0529666721188,0.8067565864111932,197.52886979084923,0.8565310492505347,100.73048268132855,0.8605620545919073,61.846277192271664,0.741324190334992,0.058674826814235824,593.8009793697667,-1.590251658133827,1.0,21925.506846708333,25592.325321921173,24300.690576006236,24300.690576006444,18478.27086337504,18478.27086337502,24300.69057600623,24300.69057600644,18478.270863375037,18478.270863375015,25592.325321920944,25592.325321921173,19330.740625530903,19330.74062553088,25592.32532192095,25592.32532192117,19330.740625530907,19330.74062553088,1.7423594946646714,0.8565310492505347,4,fast
40,4,26,1,9422,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0371-00,medium,53,10800,102.0,4.119066981308078,4.118908188108321,3.763183514372633,4.443584276514937,1.0,0.7171000419849525,40.16877507116946,1.6038885883176066,1.0,29442.114841771923,29442.114841771923,31.683168316831747,402.1198689017246,0.8294453084499737,190.49061556978074,0.8611410118406883,91.39352211621649,0.8855680088556813,49.495917876178815,0.8502497608672601,0.14161141002376965,208.89515162835272,-1.4258158037362214,1.0,7328.1224781237515,8229.846987038605,7803.004839496298,7803.004839496272,6447.0975669952795,6447.097566995336,7803.004839496295,7803.0048394962705,6447.09756699528,6447.097566995339,8229.846987038605,8229.846987038576,6832.5405189648,6832.540518964858,8229.846987038603,8229.84698703857,6832.540518964798,6832.5405189648545,1.8194270668904864,0.8611410118406883,5,medium
40,4,26,1,5496,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0371-00,slow,54,6900,69.0,3.2841957322977513,3.3155954206761145,2.551565428134999,3.7589605283949394,1.0,0.6971878857782686,34.81745721656611,1.5417970506084755,1.0,14458.705369572886,14458.705369572886,16.326530612244863,364.96331115044865,0.8033136688841466,185.217195444185,0.869486459559822,83.3007205536529,0.8842832469775489,47.67593785314288,0.6933610677760506,0.23440340104748808,107.6926678493163,-1.2906589905431944,1.0,3482.3898966806646,4539.023300547033,4371.84860957052,4371.84860957052,2489.7064441845587,2489.7064441845655,4371.848609570519,4371.848609570522,2489.7064441845578,2489.7064441845655,4539.023300547031,4539.023300547032,2528.9812324205427,2528.98123242055,4539.023300547032,4539.023300547033,2528.981232420543,2528.981232420551,1.878573591705771,0.869486459559822,6,slow
40,4,26,1,16178,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0376-00,fast,47,17400,161.0,5.26788733469112,5.186579913242577,4.496922531770631,7.095421220646593,1.0,0.7257114848559276,39.7863594120106,1.5997342015336735,1.0,85833.57411973069,85833.57411973069,88.88888888888903,323.2570241333016,0.8621851003637336,120.86314921511492,0.8581389112362557,63.34559000380488,0.8498207409374604,39.83864510250666,0.7914914667326299,0.04525883700483182,931.9164170351681,-1.6980498640046349,1.0,21410.24267036224,23352.699307685903,19454.2072355908,19454.207235590842,22039.3594720317,22039.35947203157,19454.2072355908,19454.20723559083,22039.359472031705,22039.359472031563,20794.704666140657,20794.70466614069,23352.699307685903,23352.69930768577,20794.70466614065,20794.70466614069,23352.6993076859,23352.699307685758,1.7319260484275656,0.8581389112362557,7,fast
40,4,26,1,5778,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0376-00,slow,47,7000,69.0,3.417873622206612,3.4675034154831352,2.9538382939848624,3.7435011375336087,1.0,0.7280023078773084,32.94271487203617,1.5177593873461521,1.0,29919.25016222992,29919.25016222992,35.955056179775546,315.232755314677,0.7761338830948333,170.3940214106283,0.8788794287283707,73.03795310130344,0.8891976380687754,40.058577117880944,0.7446709485246268,0.11877920554883976,245.81199920196545,-1.4694161179227434,1.0,7435.2719527418885,8389.376791807868,6500.816314194478,6500.816314194426,8110.748311754397,8110.748311754373,6500.816314194476,6500.816314194424,8110.748311754395,8110.748311754372,6740.146393210892,6740.146393210838,8389.376791807868,8389.376791807841,6740.14639321089,6740.146393210841,8389.376791807868,8389.376791807845,1.8302160271978378,0.8788794287283707,8,slow
40,4,26,1,9978,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0376-00,medium,47,11200,100.0,4.115399174413213,4.088856103920975,3.7467072443875753,4.481226708975214,1.0,0.7121282068557363,48.196404792057486,1.683014643276095,1.0,26410.385284425287,26410.385284425287,23.357664233576443,465.88293297544317,0.8251676121712215,219.06321514735242,0.8680712541821135,104.21788637197945,0.8687979366049023,62.419065358510395,0.7305936073059421,0.17424741111493627,163.38960217781846,-1.3592734277874718,1.0,6020.331029191696,8998.6140606444,8461.66910971971,8461.669109719662,3087.999559528074,3087.9995595280398,8461.66910971971,8461.669109719662,3087.999559528074,3087.999559528039,8998.614060644399,8998.614060644346,3533.0413868746873,3533.0413868746487,8998.6140606444,8998.614060644346,3533.0413868746873,3533.041386874648,1.835182458761618,0.8680712541821135,9,medium
40,4,26,1,10818,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0385-00,medium,57,12300,116.0,4.311198061882982,4.328153740854266,3.9351397942046806,4.710536897125992,1.0,0.7619910627608495,29.04175733609615,1.4630228922717898,1.0,40748.43363497067,40748.43363497067,56.140350877193306,254.61163295335905,0.842992623814541,105.47734517940798,0.8413672217353192,59.51963952352598,0.8314387788242961,39.28999355969437,0.8084891359272417,0.07385737047660881,493.92943402372475,-1.5341838661805467,1.0,10157.919347346275,11293.104299398135,9131.62046038998,9131.620460389822,9932.51925142255,9932.51925142241,9131.620460389975,9131.620460389817,9932.519251422547,9932.519251422407,10274.433378174766,10274.433378174588,11293.10429939813,11293.104299397977,10274.433378174766,10274.433378174586,11293.104299398135,11293.104299397977,1.6642366256786432,0.8413672217353192,10,medium
