group,metric,n_models,n_subjects,r_speed,slope_per_speed,r_henrici
Cntnap_het,henrici,216,72,-0.018165035938217274,-0.0007391379575418713,NaN
Cntnap_het,log_tgmax,216,72,-0.03408288555659389,-0.0034396005999449805,0.014985966044893736
Cntnap_het,participation_ratio,216,72,-0.5534383407757559,-0.05445750104728259,-0.06760380620328645
Cntnap_het,qfactor_median,216,72,-0.05360554695281599,-0.0006712143102860659,0.004065304637952772
Cntnap_het,h1_concentration,216,72,0.4578690559999203,93.98160978584687,0.11697818220136329
Cntnap_het,io_gain_max,216,72,0.25332296279569255,1915.4359720085831,0.14339719051367739
Cntnap_hom,henrici,111,37,0.034664165141076404,0.0014225402216122421,NaN
Cntnap_hom,log_tgmax,111,37,-0.1804686073376744,-0.019972524330906186,0.02019742482427692
Cntnap_hom,participation_ratio,111,37,-0.6803866114724613,-0.07133552123969636,0.04958003741680183
Cntnap_hom,qfactor_median,111,37,-0.06129187816780605,-0.0008206695817266443,0.06429797043285532
Cntnap_hom,h1_concentration,111,37,0.3633751022405364,84.27075993208949,0.13631921278119769
Cntnap_hom,io_gain_max,111,37,0.14163408133935237,1655.655357365819,0.19077253565895927
Cntnap_neg,henrici,169,57,-0.0090072564663813,-0.00038133190640561175,NaN
Cntnap_neg,log_tgmax,169,57,0.014021739456469123,0.001505607534753152,0.000320875669044893
Cntnap_neg,participation_ratio,169,57,-0.6225192400791045,-0.07976104002378756,-0.06090791803792967
Cntnap_neg,qfactor_median,169,57,-0.015674089208802828,-0.00020610964667652678,-0.009089639886399629
Cntnap_neg,h1_concentration,169,57,0.5569092435037861,111.824084111981,0.04577615807796749
Cntnap_neg,io_gain_max,169,57,0.3438506669074159,2542.5938818688146,0.12465192714594936
TSC_het,henrici,186,62,0.07253571257139908,0.004013414536039561,NaN
TSC_het,log_tgmax,186,62,-0.2372273208092623,-0.0306626290533731,0.26888586177537555
TSC_het,participation_ratio,186,62,-0.4172007355365202,-0.05197933380855889,-0.1299420444585212
TSC_het,qfactor_median,186,62,-0.29439794397468183,-0.006824107831075405,0.16465563053190987
TSC_het,h1_concentration,186,62,0.122703947988396,673.7545271492089,0.135644613649383
TSC_het,io_gain_max,186,62,0.1178386784314998,29759.657727133428,0.13601056327879843
TSC_hom,henrici,105,35,0.09465418414124246,0.005448379606251505,NaN
TSC_hom,log_tgmax,105,35,0.08795597198083367,0.015449713342563669,0.23324735549529677
TSC_hom,participation_ratio,105,35,-0.6236500055100728,-0.08301572689209082,-0.11486847762799829
TSC_hom,qfactor_median,105,35,-0.04510133706343819,-0.0011345140681909532,0.1674290070846926
TSC_hom,h1_concentration,105,35,0.7086353852155678,164.91104945714363,0.2475479912133101
TSC_hom,io_gain_max,105,35,0.32634064669771096,3934.301929829004,0.3471449312721082
TSC_neg,henrici,195,65,0.17041089227429027,0.008965326618210421,NaN
TSC_neg,log_tgmax,195,65,-0.24493991059513673,-0.03403827373384149,0.04430054706318588
TSC_neg,participation_ratio,195,65,-0.3908511150184347,-0.044943462780873904,-0.14653554875821603
TSC_neg,qfactor_median,195,65,-0.2640769383453863,-0.006255448423664761,-0.053048621510749704
TSC_neg,h1_concentration,195,65,0.2374822007917846,151.5263893624078,0.08722273573697034
TSC_neg,io_gain_max,195,65,0.1202871122074843,2820.5710014360902,0.07642604982184863
new_preds,henrici,1122,374,0.04369021171994151,0.0021248045620870628,NaN
new_preds,log_tgmax,1122,374,-0.2344159832778083,-0.028976942625093028,0.2142756553685973
new_preds,participation_ratio,1122,374,-0.4324584160890654,-0.05742372934120295,-0.12898187210715928
new_preds,qfactor_median,1122,374,-0.2937646966561577,-0.00546300720101147,0.15322569566575786
new_preds,h1_concentration,1122,374,0.49887689879226205,186.709269689864,0.08926924084280126
new_preds,io_gain_max,1122,374,0.30320347491951866,4076.8342995562953,0.21169741171434348
