group,subject,speed_bin,same_mean_gain,same_peak_gain,same_peak_lag_fraction,same_phase_selectivity,fore_homologs_mean_gain,fore_homologs_peak_gain,fore_homologs_peak_lag_fraction,fore_homologs_phase_selectivity,hind_homologs_mean_gain,hind_homologs_peak_gain,hind_homologs_peak_lag_fraction,hind_homologs_phase_selectivity,ipsilateral_mean_gain,ipsilateral_peak_gain,ipsilateral_peak_lag_fraction,ipsilateral_phase_selectivity,diagonal_mean_gain,diagonal_peak_gain,diagonal_peak_lag_fraction,diagonal_phase_selectivity,all_cross_mean_gain,all_cross_peak_gain,all_cross_peak_lag_fraction,all_cross_phase_selectivity,self_to_cross_ratio,n_models
Cntnap_het,OFT-0366-00,slow,0.1768589856627107,0.8759736577499349,-0.25,0.5957283780753013,0.17835077529942517,0.980232577394124,-0.25,0.6482471216608406,0.1753671960259963,0.7717147381057456,-0.25,0.5525088961688917,0.17692074638240696,0.8807033628349523,-0.25,0.5967680476057318,0.17692074638240696,0.8807033628349523,-0.25,0.5967680476057319,0.1769001594758415,0.8791267944732798,-0.25,0.5964210448679808,0.9997672482984028,1
Cntnap_het,OFT-0366-00,medium,0.14576542669013787,0.9668702600124077,-0.25,0.7202219255884187,0.12165330834120831,0.9338258636853565,-0.25,0.7981694219213852,0.16987754503906735,0.9999146563394591,-0.25,0.6727895135906327,0.14144852966964053,0.9419786829332479,-0.25,0.7229038135974515,0.14144852966964053,0.9419786829332477,-0.25,0.7229038135974515,0.14288749534313966,0.9502758752929679,-0.25,0.721991027187609,1.0201412400720367,1
Cntnap_het,OFT-0366-00,fast,0.16583887007977638,0.8497776468338389,-0.25,0.6929309780759035,0.18004393356564585,0.9351900132270377,-0.25,0.735149669339816,0.15163380659390693,0.7643652804406404,-0.25,0.6477373687370066,0.16620740401227138,0.849322303999202,-0.25,0.6960238309071095,0.16620740401227138,0.849322303999202,-0.25,0.6960238309071095,0.16608455936810634,0.849474084944081,-0.25,0.6949931052745866,0.9985206975936551,1
Cntnap_het,OFT-0371-00,fast,0.16788041387773997,0.8224762116862863,-0.25,0.7362417961816535,0.18299764138729532,0.9481162166142614,-0.25,0.760879141769275,0.1527631863681845,0.6968362067583111,-0.25,0.7115599888203841,0.16936207080729535,0.8328988583721841,-0.25,0.7379400891675476,0.16936207080729535,0.8328988583721844,-0.25,0.7379400891675477,0.16886818516411015,0.8294246428102182,-0.25,0.7373753181733051,0.9941506371646605,1
Cntnap_het,OFT-0371-00,medium,0.14541022039153978,0.8525237507172502,-0.25,0.7468434740499064,0.15104457791792128,0.9482873142991701,-0.25,0.7497544640371165,0.13977586286515833,0.75676018713533,-0.25,0.7448041828910894,0.14560156975566244,0.8571200416573082,-0.25,0.745794699537081,0.1456015697556624,0.8571200416573083,-0.25,0.745794699537081,0.14553778663428818,0.8555879446772888,-0.25,0.746143921712327,0.9991234836965814,1
Cntnap_het,OFT-0371-00,slow,0.15618196880530746,0.7727461213036484,-0.25,0.6268313830650961,0.19857892805986374,0.9399809102348753,-0.25,0.6226791435434408,0.11378500955075108,0.6055113323724215,-0.25,0.6344515988936009,0.15856885428106327,0.7890500363711599,-0.25,0.6273374868563858,0.1585688542810633,0.78905003637116,-0.25,0.6273374868563856,0.15777322578914468,0.7836153980153228,-0.25,0.6271704210799083,0.9899142774328272,1
Cntnap_het,OFT-0376-00,fast,0.17504684861845674,0.9291684103159024,-0.25,0.7476511466626783,0.16589124901368693,0.8583539521019806,-0.25,0.7307560064124718,0.18420244822322648,0.9999828685298244,-0.25,0.7630697680740216,0.17544814194143807,0.9330152717812854,-0.25,0.747172549417368,0.17544814194143807,0.9330152717812854,-0.25,0.747172549417368,0.17531437750044426,0.9317329846261577,-0.25,0.7473317670581592,0.998474004894511,1
Cntnap_het,OFT-0376-00,slow,0.19064808727935187,0.9134568731224717,-0.25,0.5756652185882173,0.16172684415424612,0.8414158971976375,-0.25,0.599783548068351,0.2195693304044576,0.9854978490473054,-0.25,0.5602796171559645,0.18941331988386723,0.9142443154397748,-0.25,0.5760375283252054,0.18941331988386723,0.9142443154397747,-0.25,0.5760375283252054,0.1898249090156954,0.9139818346673403,-0.25,0.5759126764035877,1.0043365134108317,1
Cntnap_het,OFT-0376-00,medium,0.12799618711227015,0.6865219037246957,-0.25,0.7252304201808103,0.1810036097777627,0.9430478510953412,-0.25,0.7415703740442396,0.0749887644467776,0.42999595635405036,-0.25,0.6883684512610546,0.12903402611422585,0.6858497918055495,-0.25,0.722938659211092,0.12903402611422585,0.6858497918055494,-0.25,0.722938659211092,0.12868807978024058,0.6860738291119316,-0.25,0.7236963095675963,0.9946234906204835,1
Cntnap_het,OFT-0385-00,medium,0.18989603444143408,0.9224828039858327,-0.25,0.6024671503899909,0.15831717591494773,0.8901127929979582,-0.25,0.6317012678348691,0.22147489296792042,0.9548528149737077,-0.25,0.5848377797275065,0.1865692315336841,0.9188529566258499,-0.25,0.6044559867727297,0.1865692315336841,0.9188529566258498,-0.25,0.6044559867727297,0.18767816583626748,0.9200629057458442,-0.25,0.6037821285388582,1.0118174034538545,1
