group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,peak_log_gain,169,57,4.363742881251486,0.02867455964576891,4.306742540310533,4.422412413463081
Cntnap_neg,peak_frequency,169,57,1.0006648494116077,0.0017135724913898557,0.9971910112359551,1.0046816479400746
Cntnap_neg,peak_stride_multiple,169,57,1.0006648494116077,0.0017135724913898557,0.9971910112359551,1.0046816479400746
Cntnap_neg,mean_log_gain,169,57,2.3870303326346103,0.014199527601741604,2.3573116086149857,2.4130579153011458
Cntnap_neg,band_0p75_2x_log_gain,169,57,3.0623550356462608,0.014814251595750418,3.0325327224519554,3.091601701237245
Cntnap_het,peak_log_gain,216,72,4.401210232370705,0.025775792100729344,4.350331271500039,4.45048304835015
Cntnap_het,peak_frequency,216,72,1.0004031419059496,0.0015257295564576057,0.9979322721598002,1.0038623595505618
Cntnap_het,peak_stride_multiple,216,72,1.0004031419059496,0.0015257295564576057,0.9979322721598002,1.0038623595505618
Cntnap_het,mean_log_gain,216,72,2.4209333390237733,0.013954769139465152,2.3946161418340766,2.448114472696342
Cntnap_het,band_0p75_2x_log_gain,216,72,3.0887733482857507,0.01355059388979154,3.062873957878023,3.1153540816075687
Cntnap_hom,peak_log_gain,111,37,4.332472953417078,0.044845249408101286,4.254511644619674,4.427313707106547
Cntnap_hom,peak_frequency,111,37,1.001037554408341,0.0022608364986675847,0.997191011235955,1.0058457333738233
Cntnap_hom,peak_stride_multiple,111,37,1.001037554408341,0.0022608364986675847,0.997191011235955,1.0058457333738233
Cntnap_hom,mean_log_gain,111,37,2.375031092381674,0.02075857629960886,2.338341837971432,2.416479424072884
Cntnap_hom,band_0p75_2x_log_gain,111,37,3.0520305211119396,0.021932378396579896,3.009327435686289,3.0943746340346214
TSC_neg,peak_log_gain,195,65,4.461543955040417,0.031510839797146986,4.397999308663669,4.521862036252242
TSC_neg,peak_frequency,195,65,1.001296456352636,0.0017868889445517174,0.9980121002592914,1.005401901469317
TSC_neg,peak_stride_multiple,195,65,1.001296456352636,0.0017868889445517174,0.9980121002592914,1.005401901469317
TSC_neg,mean_log_gain,195,65,2.4867778698147114,0.018003679638928346,2.450450489161162,2.5234003488795227
TSC_neg,band_0p75_2x_log_gain,195,65,3.131671465439732,0.016171880205732667,3.0989285543539284,3.163835056196174
TSC_het,peak_log_gain,186,62,4.4851884426885835,0.032604721847641495,4.419872379120948,4.548256484845601
TSC_het,peak_frequency,186,62,1.002068986347709,0.001937632102243823,0.9989126495106923,1.0058207230880756
TSC_het,peak_stride_multiple,186,62,1.002068986347709,0.001937632102243823,0.9989126495106923,1.0058207230880756
TSC_het,mean_log_gain,186,62,2.508078921433611,0.016971546771488908,2.475849937197269,2.541218133557019
TSC_het,band_0p75_2x_log_gain,186,62,3.1562385563922573,0.014486139836269781,3.128465032227617,3.183898017083803
TSC_hom,peak_log_gain,105,35,4.349287007213729,0.03847501809453826,4.2764562140384905,4.423620883335499
TSC_hom,peak_frequency,105,35,1.006848582129481,0.00344101110163038,1.0002407704654896,1.013964686998395
TSC_hom,peak_stride_multiple,105,35,1.006848582129481,0.00344101110163038,1.0002407704654896,1.013964686998395
TSC_hom,mean_log_gain,105,35,2.5056479800531424,0.021592208184460386,2.46369783043627,2.5448885745611296
TSC_hom,band_0p75_2x_log_gain,105,35,3.106443599337186,0.020013850683078607,3.0651468128614145,3.144029071753486
new_preds,peak_log_gain,1122,374,4.485250680306669,0.011669783895702739,4.461841648670313,4.506441998566167
new_preds,peak_frequency,1122,374,0.9986656051593259,0.0005195640591940623,0.9976191191491912,0.9996169560776297
new_preds,peak_stride_multiple,1122,374,0.9986656051593259,0.0005195640591940623,0.9976191191491912,0.9996169560776297
new_preds,mean_log_gain,1122,374,2.467858158016392,0.00672841990380786,2.4560004033435705,2.4805549850724997
new_preds,band_0p75_2x_log_gain,1122,374,3.1267525329373576,0.0059086266913040844,3.1157426745699834,3.137921052486246
