group,metric,n_models,n_subjects,r_speed,slope_per_speed,r_henrici
Cntnap_het,henrici,216,72,-0.06340120549281396,-0.000651921117776553,NaN
Cntnap_het,log_tgmax,216,72,0.5213507491122595,0.03805898674525518,-0.10940124256159814
Cntnap_het,participation_ratio,216,72,-0.6630280606304795,-0.12159626462625904,-0.12632747870224342
Cntnap_het,qfactor_median,216,72,-0.0693927051712625,-0.4901826648914071,-0.17118107385702597
Cntnap_het,h1_concentration,216,72,0.3831958392248483,40.68339159765398,0.030280872601520948
Cntnap_het,io_gain_max,216,72,0.12422668698890871,811.1716825352797,-0.056870890960103976
Cntnap_hom,henrici,111,37,-0.2333338377784465,-0.00196964514908214,NaN
Cntnap_hom,log_tgmax,111,37,0.3475451991637276,0.021287000610717602,-0.07803770469944864
Cntnap_hom,participation_ratio,111,37,-0.6630392736154106,-0.1298131918647307,0.012516489620694802
Cntnap_hom,qfactor_median,111,37,-0.3118799036651434,-1.684423232470161,-0.094333909578017
Cntnap_hom,h1_concentration,111,37,0.036129559918876154,81.40796320708778,-0.011800851646459845
Cntnap_hom,io_gain_max,111,37,0.03724629338765225,2648.863670730401,-0.028116585865191255
Cntnap_neg,henrici,169,57,-0.14891093652757498,-0.0015975261074405998,NaN
Cntnap_neg,log_tgmax,169,57,0.47342634170615333,0.033902639853883594,-0.1754403521253934
Cntnap_neg,participation_ratio,169,57,-0.706912159183995,-0.14701434469804817,-0.07869721422136013
Cntnap_neg,qfactor_median,169,57,-0.12477235618348036,-0.7877435843627137,-0.09117306976584622
Cntnap_neg,h1_concentration,169,57,0.10424245916613056,19.361594504359378,0.06417970324359325
Cntnap_neg,io_gain_max,169,57,-0.022033857092393798,-192.85667982662903,0.043394140155555615
TSC_het,henrici,185,62,-0.12295043635769869,-0.0024469624465929376,NaN
TSC_het,log_tgmax,185,62,0.44325099775504484,0.07387027542269467,-0.20758017663682157
TSC_het,participation_ratio,185,62,-0.554427884272697,-0.14890096852243276,-0.10432050185705266
TSC_het,qfactor_median,185,62,-0.26292773989749174,-2.6558024125540203,0.06690268666655297
TSC_het,h1_concentration,185,62,0.20902806683231465,183.96882228471355,-0.07715450733400746
TSC_het,io_gain_max,185,62,0.13181776849222582,4858.11595987325,-0.11417574516337807
TSC_hom,henrici,105,35,0.2320525795443789,0.002900171998713641,NaN
TSC_hom,log_tgmax,105,35,0.7165528372646858,0.1421290833072662,0.3290491014667962
TSC_hom,participation_ratio,105,35,-0.5546474515032374,-0.22714345508588965,-0.5115345742569024
TSC_hom,qfactor_median,105,35,-0.2784380495135474,-4.698277442912852,-0.08892777390995796
TSC_hom,h1_concentration,105,35,0.40524267380992857,60.07225297872335,0.06423200999785154
TSC_hom,io_gain_max,105,35,0.21183237662440557,3917.379845422154,0.03712016579624617
TSC_neg,henrici,195,65,-0.18761965849421652,-0.007277615659330109,NaN
TSC_neg,log_tgmax,195,65,0.5374762531308315,0.10730210111308161,-0.5055592033126393
TSC_neg,participation_ratio,195,65,-0.43253775721828647,-0.11131049830901925,-0.06630846330774087
TSC_neg,qfactor_median,195,65,-0.25757612457052764,-2.821379836192909,-0.06701700664672719
TSC_neg,h1_concentration,195,65,0.12908282828744122,36.34987794638351,-0.028097811989808402
TSC_neg,io_gain_max,195,65,-0.02559319860323876,-767.9203495487576,-0.03954221124041961
new_preds,henrici,1122,374,-0.1947582665082203,-0.0025033558896221035,NaN
new_preds,log_tgmax,1122,374,0.4351605275757296,0.04102613665321634,-0.07775639079302539
new_preds,participation_ratio,1122,374,-0.6665173286663574,-0.15611313155029105,-0.09416036734036452
new_preds,qfactor_median,1122,374,-0.2581633792816435,-2.159437292598108,0.03405636659540915
new_preds,h1_concentration,1122,374,0.07271829730549183,31.946056552238275,-0.027448058067656357
new_preds,io_gain_max,1122,374,-0.018361847944824376,-439.0938487914231,-0.006579816097619387
