group,subject,speed_bin,same_mean_gain,same_peak_gain,same_peak_lag_fraction,same_phase_selectivity,fore_homologs_mean_gain,fore_homologs_peak_gain,fore_homologs_peak_lag_fraction,fore_homologs_phase_selectivity,hind_homologs_mean_gain,hind_homologs_peak_gain,hind_homologs_peak_lag_fraction,hind_homologs_phase_selectivity,ipsilateral_mean_gain,ipsilateral_peak_gain,ipsilateral_peak_lag_fraction,ipsilateral_phase_selectivity,diagonal_mean_gain,diagonal_peak_gain,diagonal_peak_lag_fraction,diagonal_phase_selectivity,all_cross_mean_gain,all_cross_peak_gain,all_cross_peak_lag_fraction,all_cross_phase_selectivity,self_to_cross_ratio,n_models
Cntnap_het,OFT-0366-00,slow,0.04663353863959551,0.08893722271304487,0.010000000000000009,0.12070431632211272,0.0495986601044649,0.0942395576776078,0.010000000000000009,0.1189895162857283,0.044176888984407574,0.07942300820866682,-0.040000000000000036,0.14923986476338116,0.04615697095353254,0.08319802945861596,0.010000000000000009,0.12429354320681683,0.0472841156907249,0.08350817513378894,-0.010000000000000009,0.13435940769824065,0.046776287062897895,0.08273008118124142,0.010000000000000009,0.13056798996423877,0.9969482737458312,1
Cntnap_het,OFT-0366-00,medium,0.037809717730902255,0.07731662343502334,0.010000000000000009,0.12496703914772538,0.039886180022148096,0.12016162556421726,0.010000000000000009,0.08457639940648369,0.03382419019011757,0.08798137485238522,-0.010000000000000009,0.21271158536304602,0.036083661418112464,0.07062605088685031,0.010000000000000009,0.1250782243489928,0.03702734306694056,0.07616466317126253,0.010000000000000009,0.1314399008990259,0.03665539653039528,0.07337995118588202,0.010000000000000009,0.1286497605715001,1.0314911666430833,1
Cntnap_het,OFT-0366-00,fast,0.09517709122045563,0.1569799095616893,0.010000000000000009,0.11804823552583889,0.09022726473015914,0.15875558304632245,0.010000000000000009,0.09185387848661102,0.0952794050306821,0.15511593390329895,-0.010000000000000009,0.15634238430605432,0.09223831885510123,0.1414943303070226,0.010000000000000009,0.1211678208201735,0.09280149215847991,0.14132210101171816,0.010000000000000009,0.12580661038434007,0.09259771529800057,0.14129527634107372,0.010000000000000009,0.12397305130505842,1.027855718838786,1
Cntnap_het,OFT-0371-00,fast,0.06929217141235074,0.1461702497828733,0.010000000000000009,0.11785821206714966,0.06874352087625861,0.14344180145081944,0.010000000000000009,0.153687487123679,0.06864920071496758,0.14001618272523814,0.010000000000000009,0.08626407074903067,0.06837274024109054,0.13926860487307308,0.010000000000000009,0.12367643512243068,0.0684235610251693,0.13928587166075743,0.010000000000000009,0.12593964330824756,0.06849755402062437,0.14009448954061973,0.010000000000000009,0.12313397408962233,1.011600668127319,1
Cntnap_het,OFT-0371-00,medium,0.05134718141904145,0.11100733167079291,0.010000000000000009,0.1039025680011312,0.047895821742912854,0.10976133347626016,-0.010000000000000009,0.17764803901567877,0.0527072362758132,0.14485452507725,0.010000000000000009,0.046819155714673336,0.051515509443291196,0.10342050975263353,0.010000000000000009,0.12074861748423338,0.05196400587291121,0.10363164200444812,0.010000000000000009,0.1265643884803648,0.0512603481085218,0.10466108451960299,0.010000000000000009,0.11742627260615128,1.0016939664618707,1
Cntnap_het,OFT-0371-00,slow,0.053301575524978814,0.10511237226390002,0.010000000000000009,0.13317535874823924,0.051588366790076993,0.09505295760774797,0.010000000000000009,0.11354178986910808,0.053194642837848506,0.10823473534195946,0.010000000000000009,0.13724325674951002,0.051467889485429644,0.08922785646606442,-0.040000000000000036,0.12943501480306857,0.05178031738865356,0.0924213716983037,0.010000000000000009,0.13609955473051544,0.0518799038960153,0.09374120457688002,0.010000000000000009,0.12863516206775064,1.0274031276506028,1
Cntnap_het,OFT-0376-00,fast,0.06177606916472004,0.12218615768965244,0.010000000000000009,0.11091127407185128,0.06186431556826743,0.13191918122224744,0.010000000000000009,0.11135046088750021,0.06070366472182527,0.10713253908385016,0.010000000000000009,0.11601341988555296,0.0609248460795412,0.11412353452956775,0.010000000000000009,0.11940571981999488,0.06105569011050967,0.11752614424742353,0.010000000000000009,0.12106631049480711,0.061088175445032436,0.11705851297668003,0.010000000000000009,0.11801013687189377,1.0112606689375847,1
Cntnap_het,OFT-0376-00,medium,0.07773350450952835,0.1484423088468081,0.010000000000000009,0.12797713874900352,0.07309102125463048,0.14594988378834928,0.010000000000000009,0.12037803749516593,0.08096666776292431,0.13982691860817467,-0.010000000000000009,0.16088462086036026,0.07852937559537736,0.1415582619518179,0.010000000000000009,0.1337367671927445,0.07796719569082189,0.13655563306268576,-0.010000000000000009,0.14713683500021874,0.07784180526499224,0.13744544532505618,0.010000000000000009,0.14075235188706203,0.9986087070425048,1
Cntnap_het,OFT-0376-00,slow,0.051864583688841746,0.10294702233546743,0.010000000000000009,0.11614606548036806,0.05017077221678393,0.08305218499295028,0.010000000000000009,0.11649634260573798,0.052369823923125246,0.10494481150686942,0.010000000000000009,0.14554824480030135,0.05043252243699581,0.09370875608280207,0.010000000000000009,0.12358108705413857,0.04963907182763645,0.0917474518121864,0.010000000000000009,0.12272579525563351,0.05044729744486229,0.0931515687149661,0.010000000000000009,0.12548489146760713,1.0280943938677491,1
Cntnap_het,OFT-0385-00,medium,0.08460255010558389,0.15134164599107924,0.010000000000000009,0.10455751413688302,0.10560592187052617,0.17103206159473508,0.010000000000000009,0.1158484768393809,0.06361792731589913,0.11941387794641492,-0.010000000000000009,0.14901330508083355,0.08357692633384096,0.1400108423301866,0.010000000000000009,0.10257840451193136,0.08071368461213518,0.13032915402775677,-0.010000000000000009,0.1280137378236018,0.08296751184639628,0.13130135347084063,0.010000000000000009,0.11955842289146461,1.0197069699066625,1
Cntnap_het,OFT-0385-00,fast,0.07380018263216911,0.13809466873341306,0.010000000000000009,0.13481857504068076,0.07414081984868248,0.1284945071631187,0.010000000000000009,0.1530701312395239,0.07471313511128255,0.13680964983555913,0.010000000000000009,0.12796455876687435,0.07276997744506468,0.12924260888040306,0.010000000000000009,0.1422539729808341,0.07195215197115959,0.12729120026792565,0.010000000000000009,0.1449066827817449,0.0730497022987356,0.1297286292158892,0.010000000000000009,0.14251617530961108,1.0102735577260047,1
Cntnap_het,OFT-0385-00,slow,0.047929064906535826,0.09194574889168664,0.010000000000000009,0.13436901200552287,0.05147205071694346,0.10377054500520778,0.010000000000000009,0.11999451012139319,0.039915510230260326,0.08632080721741076,-0.040000000000000036,0.15697646531216125,0.04392268175249525,0.08263713658891794,0.010000000000000009,0.1278662673737445,0.04203893116286279,0.07459631186795157,0.010000000000000009,0.1266137424937517,0.04388513112965331,0.07843226614601213,0.010000000000000009,0.13001696976838736,1.0921481529799968,1
Cntnap_het,OFT-0391-00,slow,0.06162812102501425,0.12723333298950673,0.010000000000000009,0.10276047065183105,0.05865344681593486,0.10994666114330243,0.010000000000000009,0.10992788683439217,0.060172521528146325,0.13023890059273438,0.010000000000000009,0.09449058957769914,0.058968509531678384,0.11035069982461944,0.010000000000000009,0.11652762616521417,0.059820266272324375,0.11213911235846662,0.010000000000000009,0.11528972428878331,0.059400586658681115,0.11419419768370147,0.010000000000000009,0.1112586691355573,1.0375002081904117,1
Cntnap_het,OFT-0391-00,fast,0.07470636295432621,0.13755222825524868,0.010000000000000009,0.1262392047457569,0.07576850832657596,0.15066826150920765,0.010000000000000009,0.10016120731986292,0.06868735082395373,0.1305058018596294,-0.010000000000000009,0.1603542645244424,0.07117463562616384,0.12194080218662517,0.010000000000000009,0.13616636071551091,0.07086960994839295,0.12076012577317657,0.010000000000000009,0.13865925647707028,0.07142405838327388,0.12361012521568789,0.010000000000000009,0.13446188221819602,1.0459551675632728,1
Cntnap_het,OFT-0391-00,medium,0.06738542745163473,0.13427349897292587,0.010000000000000009,0.12069815873771976,0.061450434901027785,0.11723418945294017,-0.010000000000000009,0.1432116816908869,0.06928454360021269,0.14331385010530087,0.010000000000000009,0.10233747914045938,0.0654186194464636,0.11869248920139804,0.010000000000000009,0.1299259515809326,0.06434874624635183,0.11964186757044601,0.010000000000000009,0.12700611890919444,0.06504495164781189,0.1203535779524529,0.010000000000000009,0.1260879134690347,1.0359824359082535,1
Cntnap_het,OFT-0403-00,medium,0.05295438612354763,0.09708672979327232,0.010000000000000009,0.11059628017829048,0.05427607858636549,0.09368936099346539,0.010000000000000009,0.11922011479654125,0.05009634646483125,0.09149365291544605,0.010000000000000009,0.10677200899903971,0.05188088785991545,0.09435794549990631,0.010000000000000009,0.10849201352912904,0.05125529177553541,0.08778658128035513,0.010000000000000009,0.11403923039362154,0.05177413072034976,0.09157867791157238,0.010000000000000009,0.11180116544919529,1.0227962379430926,1
