group,speed_bin,coordinate,forcing_mean,n_models
TSC_hom,slow,LF angle,7.174364511604291,35
TSC_hom,slow,RF radius,217.66345011714037,35
TSC_hom,slow,RF angle,7.736701205265519,35
TSC_hom,slow,RH radius,216.17741064629035,35
TSC_hom,slow,RH angle,4.570931298856422,35
TSC_hom,slow,LH radius,211.24998595007892,35
TSC_hom,slow,LH angle,5.086186531292743,35
TSC_hom,medium,LF radius,160.25334564011274,35
TSC_hom,medium,LF angle,1.5630237607323054,35
TSC_hom,medium,RF radius,157.27564218904857,35
TSC_hom,medium,RF angle,1.1262412319638992,35
TSC_hom,medium,RH radius,147.061837184899,35
TSC_hom,medium,RH angle,1.158602708496502,35
TSC_hom,medium,LH radius,152.94990999476596,35
TSC_hom,medium,LH angle,1.723917070308944,35
TSC_neg,fast,LF radius,139.85914886283672,65
TSC_neg,fast,LF angle,1.8886301892161494,65
TSC_neg,fast,RF radius,146.67950768642802,65
TSC_neg,fast,RF angle,2.1021615217023424,65
TSC_neg,fast,RH radius,124.01589462602992,65
TSC_neg,fast,RH angle,1.4613195082632044,65
TSC_neg,fast,LH radius,113.73270048716599,65
TSC_neg,fast,LH angle,1.0723731603312143,65
TSC_neg,slow,LF radius,243.8407132399766,65
TSC_neg,slow,LF angle,7.862556783412791,65
TSC_neg,slow,RF radius,239.06679549751502,65
TSC_neg,slow,RF angle,7.670120848815155,65
TSC_neg,slow,RH radius,208.27853097248067,65
TSC_neg,slow,RH angle,5.132379971790049,65
TSC_neg,slow,LH radius,215.74936507918633,65
TSC_neg,slow,LH angle,3.7414070706519156,65
TSC_neg,medium,LF radius,176.8485041138551,65
TSC_neg,medium,LF angle,2.112704680702268,65
TSC_neg,medium,RF radius,174.85570823231424,65
TSC_neg,medium,RF angle,3.5163861583459473,65
TSC_neg,medium,RH radius,140.71130098838123,65
TSC_neg,medium,RH angle,1.891548924601948,65
TSC_neg,medium,LH radius,143.49594867615065,65
TSC_neg,medium,LH angle,2.824847725850446,65
new_preds,fast,LF radius,134.71304271993097,374
new_preds,fast,LF angle,1.1346589211937763,374
new_preds,fast,RF radius,133.2059488371773,374
new_preds,fast,RF angle,1.1340616159509238,374
new_preds,fast,RH radius,92.84296599160433,374
new_preds,fast,RH angle,0.666722991239861,374
new_preds,fast,LH radius,94.29833018572378,374
new_preds,fast,LH angle,0.8141317462535823,374
new_preds,medium,LF radius,150.4795348395352,374
new_preds,medium,LF angle,2.055811017964283,374
new_preds,medium,RF radius,149.1064181796287,374
new_preds,medium,RF angle,1.6272945538655865,374
new_preds,medium,RH radius,110.74149984094961,374
new_preds,medium,RH angle,0.9206514081055085,374
new_preds,medium,LH radius,109.83502687305365,374
new_preds,medium,LH angle,0.9946966627313643,374
new_preds,slow,LF radius,203.94541136461527,374
new_preds,slow,LF angle,4.919753362627529,374
new_preds,slow,RF radius,200.57388796982528,374
new_preds,slow,RF angle,4.255149405481607,374
new_preds,slow,RH radius,142.93151234515477,374
new_preds,slow,RH angle,1.9997653408467333,374
new_preds,slow,LH radius,144.65231671062924,374
new_preds,slow,LH angle,2.0780727806644066,374
