rank,n_features,n_delays,delay_interval,n_transitions,dataset,group,line,genotype,state_space,subject,speed_condition,n_bouts,n_frames,n_est_strides,mean_speed,median_speed,speed_min,speed_max,stride_frequency,henrici,tgmax,log_tgmax,resolvent_peak_frequency,resolvent_peak_gain,gain_h1,qfactor_h1,gain_h2,qfactor_h2,gain_h3,qfactor_h3,gain_h4,qfactor_h4,gain_h5,qfactor_h5,harmonic_entropy,h1_concentration,spectral_decay_rate,io_frequency,io_gain_mean,io_gain_max,io_1_from_1,io_1_from_2,io_1_from_3,io_1_from_4,io_1_from_5,io_1_from_6,io_1_from_7,io_1_from_8,io_2_from_1,io_2_from_2,io_2_from_3,io_2_from_4,io_2_from_5,io_2_from_6,io_2_from_7,io_2_from_8,io_3_from_1,io_3_from_2,io_3_from_3,io_3_from_4,io_3_from_5,io_3_from_6,io_3_from_7,io_3_from_8,io_4_from_1,io_4_from_2,io_4_from_3,io_4_from_4,io_4_from_5,io_4_from_6,io_4_from_7,io_4_from_8,io_5_from_1,io_5_from_2,io_5_from_3,io_5_from_4,io_5_from_5,io_5_from_6,io_5_from_7,io_5_from_8,io_6_from_1,io_6_from_2,io_6_from_3,io_6_from_4,io_6_from_5,io_6_from_6,io_6_from_7,io_6_from_8,io_7_from_1,io_7_from_2,io_7_from_3,io_7_from_4,io_7_from_5,io_7_from_6,io_7_from_7,io_7_from_8,io_8_from_1,io_8_from_2,io_8_from_3,io_8_from_4,io_8_from_5,io_8_from_6,io_8_from_7,io_8_from_8,participation_ratio,qfactor_median,model_index,speed_bin
40,8,26,1,3787,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0366-00,slow,93,6205,182.0,3.5569772413601464,3.578225479006043,2.3688241576158138,4.174487813107315,2.857142857142857,0.5258476412756152,31.21329948572006,1.4943396793574775,3.0,1433.9994364272945,1099.188857013117,2.438095238095236,262.2157545698035,0.8336318343156799,211.14962068454122,8.47345425658698,140.35316462487924,13.352109737652246,12.900054795794404,0.9531553911362651,1.0713282236894166,6.2542255876892945,-0.9515198254878994,2.857142857142857,84.17203107287561,365.3123279888972,278.1576804806905,57.85849514337792,325.9451858530989,35.67559969495847,202.71158670348998,35.22721456415728,194.77435151333353,76.27956274510447,4.290172908488282,2.6899881627550744,4.710692414096946,1.268046958482908,3.6987506353761477,1.6467804685821992,3.7117055798134304,1.096360394603067,279.1037448334607,70.2540374906328,299.86865942530494,54.779048528051185,200.41449150972298,47.756463891410306,216.62422432594508,95.33401739645744,3.0136881229389436,1.7096447045585061,2.9264465828455446,1.1351376609754265,2.3409287268296994,1.1164218376377644,2.538332162862105,4.554213712716075,274.0764287785468,46.99899662684234,301.4751853877256,46.6901601384307,236.1411862115881,30.725864907616707,227.68357297121227,124.49233368532106,4.368385333312917,1.0868202576700523,4.838179616850718,1.0521353227287342,4.003718622579501,0.8464510657380998,3.6692930250445235,2.0852941540448535,331.5242672307525,85.76729227647363,365.3123279888972,60.45267392034281,259.9615369148412,54.98799231375955,290.8813463218864,83.73332315678428,3.974191393304052,1.6970558996869094,4.355458069735756,3.5930050566302976,2.890876534294196,1.7680501000122821,3.488749769259606,9.176160479366729,3.7587104748264677,2.438095238095236,1,slow
40,8,26,1,6032,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0366-00,fast,94,8476,339.0,5.913322054027955,5.8297779558957,5.204242657346286,8.060920285308828,3.821811100292113,0.5461582878055848,30.522491931193212,1.4846199875982837,5.333333333333333,947.1228541112538,346.6764666346014,0.9530700998234855,173.8913164318784,0.9404641280325194,149.45262055339884,18.399892960283363,11.904604955576009,0.7208095552144618,42.64813673789826,20.64448940063317,1.2550554570382213,3.6093191044417314,-0.6872321962518401,3.821811100292113,23.47807199202147,137.21473786549086,128.64483838085437,6.660776781159158,83.59937431485804,3.446669180488294,44.75542380939281,5.6670899617954165,62.72317596873192,3.942905594386909,2.204959188866855,0.3240627119158309,1.8751627432956461,0.17760536126857285,2.09141180245454,0.2375996801561674,2.172320548938089,0.154819901330634,133.46156901375846,9.081672248603116,95.60132832530839,3.5778908666197684,53.517745348828605,7.636730481603928,80.957699057609,5.171205757106146,1.6740543956193925,0.18980966311484979,1.078674916020672,0.1574345313089982,1.2345982084391527,0.1330352026331587,1.4602559979822292,0.0941608941228006,116.8956944246098,5.193390491418626,75.26565435250083,3.8410740716066574,56.8366211249356,4.813163541156442,58.66437831122661,4.0136717514474425,1.8940678030359022,0.14930439523537295,1.4124317100221628,0.0584811361518572,1.0088163416071334,0.12864945690062532,1.1958403204810015,0.07720907177656607,137.21473786549086,10.734754727288943,87.30217527137854,4.220252402364623,68.23746272412347,8.956759926641096,99.78481629418359,5.976281739757781,1.8245958227864874,0.0910829757243058,1.0974004156067583,0.07148888613434742,0.7196821250543373,0.07401355437199549,1.0744206435715284,0.06217297221043377,3.2906302004204813,0.9530700998234855,2,fast
40,8,26,1,5150,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0366-00,medium,93,7568,249.0,4.720387524680251,4.738295133781377,4.176937617193401,5.199570278825266,3.225806451612903,0.5449046336854233,34.77394901924503,1.5412540130842172,4.166666666666666,1152.5468377093816,404.2396953248968,0.7651457004789438,442.18615055599463,1.6365565826653088,113.31826785858635,0.9180523519353809,71.30536500302355,0.9840870055923961,6.53199094577302,0.6899936261838902,1.1885082655008963,4.379067718030514,-1.0075351815070208,3.225806451612903,30.76346171913005,181.46955059634362,142.04903673763633,24.48951054489423,101.27856544896177,16.288184695373513,50.503129126126886,17.364630861833888,73.5453588356033,14.555255099177968,2.235531602591885,4.82005247582053,1.4305879753055113,2.7107878973656647,1.1925942634307745,3.2604511721519405,1.6400682135913722,2.5548256995523335,138.1536350525157,29.451853081832564,116.8246679333954,21.514346780724416,37.1116159898629,21.703883875557278,84.04378682013991,19.56245219025659,1.331279940430031,2.8573050379688865,1.1529044789049254,1.749965604289059,1.2563972303735504,2.0807298081392567,1.3094310369094921,1.6306072433120915,138.87841215113488,29.974634850442403,91.8925747431495,22.039823662890843,73.94338879972784,22.66340245660761,73.6117185717387,20.05417854791834,2.1429913455167355,2.961938788139212,1.9288925346904704,1.7519737172004761,1.0522203226310847,2.188594575380856,1.0812291981038036,1.6663272310378265,181.46955059634362,24.358303489706717,94.50344129247836,16.748937789741845,56.35894955952764,17.657648555059932,120.12711190810656,16.019667794122398,2.26481501414398,2.1090731416910344,1.2013830757768953,1.225461120470245,0.8974185834718803,1.5632505689813327,1.691748037287705,1.1790552470721882,3.606807595935254,0.9180523519353809,3,medium
40,8,26,1,3497,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0371-00,fast,59,5031,189.0,5.098992039646725,5.020430739824048,4.403525100900041,6.6606080804135095,3.389830508474576,0.5590556100374608,34.002261522081405,1.531507803333359,4.833333333333333,988.625006471463,470.3063091579196,0.978835736069194,253.2206562568863,0.9537484175600071,78.91017868114832,0.7616348651053528,45.93784611306398,0.9758857115846165,9.310313056326747,0.7558045196638028,1.115037555140219,7.534060870135961,-0.9551494931359011,3.389830508474576,31.69548844267201,156.15163599426728,138.46235074746326,6.900442352534363,156.15163599426728,5.452683436131791,89.27149131834756,4.979814637143511,102.25168626930316,7.534305963802035,2.003618917082453,0.12515154491997516,1.9976282476449256,0.11196096785022973,1.4537504975462636,0.09371234025507431,1.5719891981228264,0.1059410254172526,148.92156124821238,6.68700613719621,145.7396038731741,4.701280689698604,80.29653362311991,4.771832743847872,93.21930896397613,6.948328202116521,1.561742030925341,0.11256187951991864,1.6787838850384043,0.10711672837971215,1.4137650645270858,0.07512298246486727,1.246674417126035,0.09870725204011198,135.1599874501703,6.705767095161725,124.32883670524117,4.742853596644994,104.90224567255406,4.701523612992077,92.46490221078629,6.6729887478958245,2.3571056813801565,0.1175552794019177,2.039199017880579,0.07929127000088722,1.397272319754539,0.07791372963327012,1.550189211061398,0.10581265465872974,140.5507975046685,6.75825292624774,138.35251011932178,4.58511049435189,88.37346706554196,5.091451525295299,124.97890201475133,7.69507604720347,2.1048740992006616,0.12961206910815906,2.3453317785484433,0.11461385802167973,1.6505706168715442,0.09051501454969942,2.1037519745179436,0.13488578839501614,3.229519562710395,0.9537484175600071,4,fast
40,8,26,1,2848,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0371-00,medium,59,4382,136.0,4.024962798169464,4.042399635258758,3.6439415703289004,4.395824174131656,3.125,0.5530291593245346,41.073883136283314,1.613565763115164,3.833333333333334,1939.428917312483,847.5166920096148,1.1019283746556612,329.262890479619,0.9536070185476639,157.35337270353034,0.9306076868195046,153.7871559876954,26.507620941021088,8.189149507476998,0.6903502837339787,1.1543163409903645,5.447806465937363,-1.0040287923275981,3.125,71.35265156811276,271.5033752233535,244.82976140483922,97.64012413892824,208.8557637630004,96.31387520811042,129.69301981535838,54.269959457928515,144.343191743198,63.934023597398806,2.927487146131147,1.2567651466233511,1.5871845069224197,1.2752355185851887,1.576452077960918,0.732918656800824,2.2007052462798637,0.8762096120783234,244.30241586814213,112.9291733834798,202.91928373265725,111.37110843869515,128.60343893548543,62.246603464942694,154.9622459349726,74.85678188925003,3.099021015166626,1.6592070429346686,3.1856162466011564,1.5894318632507765,2.1398058261900865,0.8329523705438322,2.398554819115083,1.054582147952958,246.3105569807932,113.97457347763017,206.47142067077357,110.75896431709047,178.61147525384888,61.26770600293234,164.37889551062952,73.87092902522515,4.049970686961648,1.8730790898233303,2.905545196182668,1.8695992209964398,2.5604511857365355,1.0500239214181473,2.5877522380427855,1.2652094004585066,271.5033752233535,125.3559228685343,189.46526177072022,124.73742756159417,156.97378410158788,70.17527916765405,192.81841481781458,84.14391156344472,3.832836231281755,1.553600548121333,2.9868394491645605,1.5408680000773352,2.484474478947963,0.8619599621539484,2.831690257758048,1.0350021589409568,3.3328840978991408,0.9536070185476639,5,medium
40,8,26,1,1882,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0371-00,slow,59,3416,88.0,3.1711303647870133,3.2451118585912044,2.551565428134999,3.627857782389278,2.380952380952381,0.5560995716259622,43.29387103515031,1.6364264191243971,1.5,2274.762743937372,1059.9866068756687,0.8059925546437757,1563.1544547194446,18.720018720019144,243.25868691912004,0.8676083832660124,75.9685882740674,0.7673916119300728,97.67677249112074,5.82763317962963,1.1141308203959863,6.21810713798595,-0.7792836731075351,2.380952380952381,99.27873740728117,280.89197471105956,172.08293442703751,259.01326056250963,225.52159924167506,246.86953640308639,155.09726966764939,266.3542504048915,101.81663242595354,150.5088441206802,3.9706850856840115,6.711204042338362,3.95656344971163,8.0271628904972,3.6523012132358637,5.911665257393788,3.1990538614870747,3.6327012974665114,271.2875696852327,280.89197471105956,273.1942205797634,221.80756902869268,185.73245186343337,270.67756543926123,164.79600942319354,141.66230461269703,1.56653932636319,4.341864145505657,2.251154180223132,7.491174989237254,2.4602413318882452,4.593748768229964,2.1558553117449804,4.139523756790056,201.3329499949435,117.77353378299102,206.94234723018158,268.1603884559511,187.4611842105859,139.90768028315145,123.63792324921737,136.54754017704798,5.375119722878006,12.016649559384069,5.1388133093831545,5.794141790556914,4.279026322612137,11.907384849005394,3.595242953401997,4.513047636588536,216.826925736408,197.38005587712757,222.22312213720258,170.56781686645044,186.1030199348914,192.2496540108362,161.99520261873172,80.73866582024209,3.1853681650041272,5.658067029484068,3.428664158384013,7.735954401894182,2.5793006570363612,6.378714435198968,2.311367342364834,4.718889842244121,3.914300309253414,0.8676083832660124,6,slow
40,8,26,1,3504,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0376-00,fast,51,4830,194.0,5.204279806465986,5.0874917065968,4.436280696644863,7.095421220646593,3.4482758620689653,0.5559561519924537,39.26507601837631,1.5940064425964249,6.166666666666667,1110.4857583370597,554.2533274873512,0.840658445727629,466.55599770529307,1.5418825904591422,116.4865493360322,0.8536216677633452,22.39112016289694,0.9687231094195601,10.929233609848726,3.7063290200930177,1.069566627095923,7.981892689978137,-1.0889074932814078,3.4482758620689653,43.74040227447865,178.16499117740165,156.70789858421458,36.14541527624478,149.0701487835572,40.65949943131212,108.75381323809133,29.5487034573548,114.04558467257122,35.77319335451553,1.859394359832818,1.4454054845853306,1.6789840270083094,1.5031319038981008,1.891440058116451,1.2403806694055601,1.9953616239383904,1.3262163526032629,151.23637021301698,34.83121685765635,140.13908902925863,37.1853841414477,103.33356775756607,29.908028321671264,96.22210788338343,31.350140837078875,1.9248519616276578,1.509284933153861,1.766399628625675,1.5265034576969676,1.559356304133427,1.3803525346065784,1.590935890761593,1.3264307286562729,154.64829699818208,37.701964895602,130.9627921689812,40.54509182901934,129.92746225297907,32.88370950223004,114.07604779535939,35.48274133918721,2.6703995235334177,1.0808210769912996,2.1519705572891312,1.1167407436021943,2.1411288346123123,0.9723920211074886,2.2107303697719667,0.9760807510749615,178.16499117740165,36.286854207929515,136.17610582570126,48.062270353676496,138.83530570539475,29.66538096213976,166.85834485692118,40.33411225828217,3.3305597684897283,1.1176015135974378,2.3572387975196913,1.1606699243391037,2.2062118256359637,0.9874913666171466,2.8294738622009508,1.0301707436718752,3.4512398009184646,0.9687231094195601,7,fast
40,8,26,1,1830,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0376-00,slow,51,3156,81.0,3.339187654518954,3.3795709766857533,2.8577771264941383,3.66923082960529,2.380952380952381,0.49399797753705216,34.45282264750161,1.5372248085373126,3.166666666666667,2632.247760347688,499.36084425688233,0.4726456339359582,611.4621427847227,0.9664549526286097,171.70883185429742,3.7427776088330353,53.666856962105314,0.7834899088948251,57.329405815610166,0.9828492800629162,1.2438884885496477,4.360501978508642,-0.6762087995481199,2.380952380952381,48.73059708796207,157.62681071636695,100.87562586544138,75.11491132694597,64.30215536315187,70.33106262217456,107.43353516807903,29.646682519889954,85.47095538110595,57.555589569041395,2.4138340864845897,3.0344781790973125,1.9156233857439118,2.671322230660258,2.06469592488385,1.308288085468236,1.852577373579091,2.052841064350311,152.4906499154711,157.62681071636695,116.49420420976715,129.75420083466057,50.60374760804885,74.30514410513008,113.5983778784458,103.08198838326084,1.4089569037034728,3.2002921570504497,1.3517733293998002,3.168390861189175,1.0623758279147422,1.3254267790936525,1.6162290379922202,2.42690633715127,112.1341145966264,108.15873824137816,104.30958124699112,112.60388921021793,88.8362790244221,47.43573592816089,83.4750916633741,84.43545445039194,2.779010846091256,3.267346105209724,2.167944213678318,3.0105109656573825,1.8664501045360513,1.5033400809358366,1.1091449305897234,2.3105729084839304,138.7453284275996,141.2745683461517,97.90299754869663,133.01505479087126,45.622820817397916,61.478504505786454,106.66993894018587,101.48342701635187,1.9547991206154876,1.6368266452877949,1.5933455887251355,1.7396662317840104,1.4981117402907589,0.677540432561917,1.1588474855349569,1.3435784442430236,3.2021154268696583,0.9664549526286097,8,slow
40,8,26,1,2756,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0376-00,medium,51,4082,121.0,4.039729611148411,3.996949373119759,3.681442823761154,4.432088570846468,3.0303030303030303,0.5496377283118091,38.02898002701713,1.5801146773816452,3.6666666666666665,1468.515172849459,756.1546538274312,1.198784731977971,333.94497374080834,0.9137740008452483,91.03178474643913,0.7971859336542113,78.56163376650301,10.69420424259158,8.684509219022427,0.9330828006013868,1.0551981050760322,8.917264130385188,-1.038050283938359,3.0303030303030303,57.90057872997753,257.9406892193892,180.47851765958367,14.353233042992871,228.4128442983504,15.541972552060377,154.94286692642135,57.0530939161047,152.2919209241045,115.85025968427189,2.4272398511014464,0.1494726744559804,2.564875343755522,0.19252808319961745,2.009350846969051,0.823077490981103,2.3845509774039884,0.8997152801668957,164.463089987587,11.57103338564312,176.97638610883536,10.16620611809289,110.60480072159294,46.0147740916918,147.34185011286513,74.66028044485779,1.717559080391894,0.2253070569165644,2.046745620607997,0.17647179493461754,1.6080233376011568,0.6258664250468904,1.8618673200821216,1.636511982093241,177.85246300485457,12.950325764781011,215.01352923545448,14.228941279684213,153.3367572952073,57.31439017951548,162.23436360645672,102.143254895934,3.0384061409904706,0.2211143511164897,3.5658459576602795,0.5886454335089305,2.317788488013272,5.504606525339918,2.820398075723219,1.8343375780172964,209.12454906296455,14.857561996003783,257.9406892193892,20.059781703048987,164.14520357352836,68.85432281739425,205.58173747867878,141.09106508871272,3.2259459186787494,0.743664989470256,4.1896108484472725,1.008735689036537,2.7795866878281945,1.519788185392617,3.087949143954363,10.389385363011526,3.209779909480709,0.9330828006013868,9,medium
40,8,26,1,2819,ASD,Cntnap_het,Cntnap,het,centroid_geometry,OFT-0385-00,medium,61,4405,137.0,4.235110503765973,4.230333727811016,3.8102699752595175,4.690061669682161,3.125,0.562897623915352,35.657724149972,1.5521536209299125,4.0,1251.5433030739398,652.6892037619659,1.0029084344599435,293.12512206906365,0.9054690329590805,119.60335082567518,0.8904455195749722,101.21267294189896,14.83129403040445,7.910624918050141,0.6851943211094786,1.150441897271601,5.911610875205067,-0.988916414475018,3.125,45.23498656609383,217.9107612862055,190.70701788882275,27.951166198746826,212.56859816431506,7.765797212000569,98.97496785356425,11.505766189134214,101.72581255351133,20.13038798384914,2.7765145675234306,8.910000170403258,2.6454069682413155,0.21186424564519712,1.3959790359538196,0.49698671933396144,1.7080345417790999,0.37226386756745833,206.2938697193761,25.15816919271934,217.9107612862055,6.424764662939182,107.33965274318179,11.584119597284984,93.00529616413554,21.182477983927157,2.223922570080933,0.5541782480237614,2.5085176048439886,0.13628428075399446,1.5550676766814973,0.15050184770700473,1.385925615541341,0.302111405714627,185.10781050357542,22.84044394878554,186.37099968470352,9.700540123891153,154.0781726087368,11.100131133720476,136.895584644135,18.63704861948875,3.2482216932413692,0.511351779296954,3.2438984384480376,0.12997405146197819,2.378892550815658,0.19812930234503232,2.2351161630563627,0.28493203794627114,189.13877912106855,29.06503023347433,197.19424820006253,11.011353191270777,138.96162986938228,10.437505295327092,163.47980284895732,19.356570226893876,3.0506685773662316,0.5393595855760565,3.099218186519524,0.19430236648187896,2.081031751197824,0.18065036932807332,2.4448101618683524,0.28074820207502155,3.0056510788492004,0.9054690329590805,10,medium
