group,metric,n_models,n_subjects,r_speed,slope_per_speed,r_henrici
Cntnap_het,henrici,216,72,0.3158899760242284,0.008470467622545918,NaN
Cntnap_het,log_tgmax,216,72,-0.022389595460975444,-0.0017066358572304832,0.6332813034343421
Cntnap_het,participation_ratio,216,72,-0.3825613355038827,-0.129093835462696,-0.3329684287128233
Cntnap_het,qfactor_median,216,72,0.30001040946869645,0.0236832271392395,0.1372060931329238
Cntnap_het,h1_concentration,216,72,0.5725142942527548,1.8786340048729973,0.3079732925409654
Cntnap_het,io_gain_max,216,72,-0.4843751662838729,-37.05676648634964,0.2308373182736136
Cntnap_hom,henrici,111,37,0.32229296829023346,0.007321682851049141,NaN
Cntnap_hom,log_tgmax,111,37,-0.05966047150518859,-0.004409095401982963,0.6443713638241232
Cntnap_hom,participation_ratio,111,37,-0.3928794790993725,-0.1630109884610672,-0.5168801379208442
Cntnap_hom,qfactor_median,111,37,0.33913466582060964,0.1046238684134255,0.07833350647753538
Cntnap_hom,h1_concentration,111,37,0.5766271930294152,4.017406707395702,0.21043810072934108
Cntnap_hom,io_gain_max,111,37,-0.11893770180377188,-7.434737356351297,0.3831929038760018
Cntnap_neg,henrici,169,57,0.2524072161445295,0.005689102504915093,NaN
Cntnap_neg,log_tgmax,169,57,0.08817517674115471,0.006479227424296372,0.5741105138914058
Cntnap_neg,participation_ratio,169,57,-0.518768506732103,-0.20188068187837935,-0.412245654769714
Cntnap_neg,qfactor_median,169,57,0.43066806061452123,0.02089600340778615,0.15354837113697367
Cntnap_neg,h1_concentration,169,57,0.6264452214095703,1.9505681307230482,0.23128367834373856
Cntnap_neg,io_gain_max,169,57,-0.4325546601119743,-29.804755498152392,0.16141818840273553
TSC_het,henrici,189,63,-0.060751065488229235,-0.001997334836271172,NaN
TSC_het,log_tgmax,189,63,-0.08346236028155472,-0.008618143796082629,0.5485168814837837
TSC_het,participation_ratio,189,63,-0.0541847950321394,-0.017695096063029273,-0.07398582958232144
TSC_het,qfactor_median,189,63,0.08237119291692796,0.006971994259505831,-0.03461816673965528
TSC_het,h1_concentration,189,63,0.058568978297789114,0.24652271135339196,0.23613410718027358
TSC_het,io_gain_max,189,63,-0.4488595026517256,-170.49273819184148,0.22111506370611972
TSC_hom,henrici,105,35,0.06736357125372908,0.0023864388793511456,NaN
TSC_hom,log_tgmax,105,35,0.064410900318091,0.007284202676521316,0.4333184362981251
TSC_hom,participation_ratio,105,35,-0.10028783358234442,-0.04304474725915602,-0.358283337116447
TSC_hom,qfactor_median,105,35,0.23462966653643128,0.017601062859956225,-0.06302669313783539
TSC_hom,h1_concentration,105,35,0.2865538658862827,0.8578642688822815,-0.05527928424614634
TSC_hom,io_gain_max,105,35,-0.5617527870443593,-85.00307025171571,0.12613062686549023
TSC_neg,henrici,195,65,-0.02812129137960698,-0.0008688470243123463,NaN
TSC_neg,log_tgmax,195,65,-0.09190403025052642,-0.00968498124398635,0.49672324742867074
TSC_neg,participation_ratio,195,65,0.004139938887629361,0.0014922741917284734,-0.06953427959094713
TSC_neg,qfactor_median,195,65,0.18627211441008434,0.009840054199578183,-0.006442771513570176
TSC_neg,h1_concentration,195,65,0.2829608048547696,1.044789033716621,0.0571242750862595
TSC_neg,io_gain_max,195,65,-0.5311543378867023,-144.19391784300473,0.18304744247913643
new_preds,henrici,1122,374,-0.10935568201038527,-0.003399432356818879,NaN
new_preds,log_tgmax,1122,374,0.0009783196598169834,9.554802365642998e-5,0.6833727294511985
new_preds,participation_ratio,1122,374,-0.2592075786248628,-0.11572338120625203,-0.2866242513204795
new_preds,qfactor_median,1122,374,0.191267795454791,0.02578967639977693,0.00984757241644924
new_preds,h1_concentration,1122,374,0.5067701334493807,3.3985526565022917,0.017355514246153912
new_preds,io_gain_max,1122,374,-0.3984073679409978,-52.000575977584724,0.4448893023651683
