group,speed_bin,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
Cntnap_het,slow,72,72,5188,3.621627481438531,0.0307764628022952,3.606353185676746,0.8072137255133328,0.0036713562986130347,0.8074898978156035,1.7567058959310853,0.010188107939004959,1.770965716970023,3.4336494953483214,0.05075537801796943,3.3844174183742655,40.0,0.0,40.0,2.9797903520828637,0.03743888806995495,2.9925373134328357,1804.8227394885278,43.46874385242205,1881.32433371678,0.9061123478850749,0.004351744523905522,0.9056768098557819,1.1513649564583508,0.010505947112197494,1.152855431438546,6.75159522864254,0.22401764245307917,6.5426465924759185,-0.8922771588371694,0.017838465225549244,-0.9431163350428029,303.8735239556687,10.238841616490523,296.46295957585176
Cntnap_het,fast,72,72,5201,5.97998481780057,0.06641165659474942,5.989381112336352,0.8273231343619746,0.0028200323649189485,0.8317051606307105,1.7806219579228464,0.009651239296937758,1.7820489930139543,2.9928821501406153,0.022762659226611567,2.9863889031658637,40.0,0.0,40.0,3.9314302772161422,0.044324989943081,3.9645191409897294,1872.687530717118,45.27313416444823,1835.0694680253264,0.9460199673570882,0.015020249985851587,0.9409978165556034,1.0288948406145002,0.011977933675434113,1.0365301932796447,11.146576783627246,0.43860798284448116,10.683039571006201,-0.8533726198040772,0.010192763923468214,-0.8378383421432996,222.2198342086259,7.592156175369976,216.04608951258484
Cntnap_het,medium,72,72,5161,4.661952708345679,0.050895934454459335,4.679262665136473,0.8180942627848792,0.0031180227566973426,0.8201091581134194,1.7851892528826194,0.008442048246500765,1.7936471190925147,3.091749323561327,0.028012068358263358,3.058147240076563,40.0,0.0,40.0,3.3881890914688264,0.038048740481934136,3.389830508474576,2109.612120720394,46.385302649486164,2080.711122456343,0.9015453644640077,0.005773738034517858,0.9083557013443142,1.114037446058654,0.009664620976356012,1.1265231304160404,7.692449024395695,0.34037032928479116,7.342523759550275,-0.9203751106778717,0.010370092149065096,-0.9361772743670214,229.12757886047459,7.522941793623044,222.40066843713194
Cntnap_hom,fast,37,37,2752,6.229628025724996,0.09510394544228443,6.1052968514727795,0.8349921118732805,0.0026737826244691656,0.8376233945203914,1.734917855493565,0.012486861894310997,1.7390500927867902,3.186749424291565,0.042238383954555134,3.134085383670271,40.0,0.0,40.0,4.76747843564917,0.1211879796794658,4.6620299934796785,1646.394897053026,75.78471732233088,1455.728088581899,1.1299527941642407,0.09317638173587131,0.9400520754754766,0.8996367283596148,0.03303290760073777,0.9438003666534014,16.66376854494514,1.6723445571015072,13.442654270567433,-0.8261736254458796,0.013288289187165023,-0.8221041292912664,207.39093239238272,10.937216942094135,192.71311498665779
Cntnap_hom,medium,37,37,2728,4.857110629306501,0.07682272726947383,4.726257417982592,0.8263252352131075,0.004818034917234031,0.8281750495133687,1.7411348984829564,0.01504805374692271,1.7479728919007422,3.353102508049683,0.061430223137401686,3.316293798433796,40.0,0.0,40.0,3.827627678717603,0.06194561390417042,3.8461538461538463,2.702702881229504e10,2.7027026977436253e10,1797.008605178247,0.9209171070931316,0.010489263036513508,0.9201882309090218,1.1054238921918702,0.010957629652799351,1.1182986688666212,8.197201512275084,0.5788694048536036,7.076072641082655,-0.8568665855421043,0.014207709290063148,-0.8467624617467171,178.12075677077664,9.631585936458482,170.2151400511519
Cntnap_hom,slow,37,37,2738,3.751362959640306,0.05086605025067258,3.687560742451866,0.8127514562460171,0.00398725332651078,0.8122816904236698,1.7047449588889598,0.012650876399321779,1.7049808466267942,3.7592853020086237,0.08592778782928819,3.7393141786967456,40.0,0.0,40.0,3.2823427308638915,0.04573177425331385,3.279569892473118,2.7027028583672867e10,2.7027026983786865e10,1583.154345083395,0.8889237754679623,0.008651739938794447,0.8990810423322436,1.1392459986230254,0.014837175830749687,1.1366994536645838,6.442661504500628,0.46509750287234697,5.645307348662376,-0.9158575510089483,0.01553414885554709,-0.9376443957943708,208.33162071748765,13.203523289047121,190.38919406538602
Cntnap_neg,slow,56,56,4723,3.7098409028138866,0.029417274102248987,3.712891461791358,0.8091982246716991,0.0029769961979143104,0.8102441324961204,1.7629520237807796,0.008852074212535003,1.776558742277433,3.592534687023665,0.052788841638969394,3.551028312359168,40.0,0.0,40.0,3.0267012338442063,0.033528648316636385,2.985074626865672,1786.0236585205932,68.10272402775887,1691.8713472950444,0.8945826555121591,0.004832325543405672,0.9013550445066079,1.1476829226960086,0.011154052739932996,1.1536165730479357,6.556547927908759,0.2674245602849372,6.364381244723097,-0.9229446228371666,0.01592783301478666,-0.9590053365317901,290.1484421160837,9.846288267291772,285.0864667941862
Cntnap_neg,medium,56,56,4702,4.736221502468775,0.045176187768288745,4.778058635630233,0.8164992496033039,0.0032683305282472956,0.8221932340695726,1.7825505927382905,0.010221518270152632,1.79071032828497,3.154614284473848,0.036698081771042106,3.1235220951262805,40.0,0.0,40.0,3.426059181635153,0.03483244329877096,3.4052257266542982,2099.5382588231955,61.42867368364816,2111.857478550941,0.907742987384135,0.005533465803454312,0.9128094833426457,1.1116548210377846,0.009063939736355909,1.1218559662046907,7.477803204349951,0.3335761222643449,6.852426534157672,-0.9439922469297315,0.008072772383325287,-0.9443510344445027,219.70272405848877,7.331881931381493,215.08540117891383
Cntnap_neg,fast,57,57,4748,6.003486777793579,0.06333698202881777,6.070678259137377,0.8238614055827672,0.002540505762669527,0.8281570675665699,1.7939883597422837,0.010204454803316493,1.8027045612811985,2.981979724118479,0.025051552352708138,2.980659214207845,40.0,0.0,40.0,3.9506044298805625,0.03645885763429978,3.947368421052632,1.754386157783915e10,1.7543859614681442e10,2005.3763875685058,0.947654886802652,0.006851410863170366,0.9412929672426071,1.0256154880426116,0.00992029200626069,1.0226490641610244,11.277006242711948,0.34759259015109967,10.784336313800683,-0.842596217144784,0.009395234820713161,-0.8447201962489788,229.37460600060095,7.594111449592564,218.53170753740284
TSC_het,slow,63,63,3456,3.2509694230649253,0.03466263921401053,3.2481572132971808,0.8136875708085509,0.0036810332716238,0.8142595879100238,1.7871551041870821,0.010777693294150844,1.788940150385149,2.8828986292187673,0.0364907084821034,2.836064515977423,40.0,0.0,40.0,2.501473688852364,0.03891876695593299,2.4099883855981417,3.1746034489558693e10,2.226606742811172e10,2280.306610316832,0.9106465162845359,0.004448817211486448,0.912147380212971,1.1681236690035792,0.01795335169437674,1.1902492262083175,7.034730243888198,0.5527590156095319,6.312071417893662,-0.7082222242349613,0.018203451212798785,-0.6659432208039251,536.6142160133874,60.1886290812351,392.1257843772663
