group,subject,speed_bin,mean_speed,model_index,diagonal_dominance,self_gain,cross_gain,fore_hind_coupling,left_right_coupling,angle_angle_coupling,radius_radius_coupling,radius_to_angle_coupling,angle_to_radius_coupling,angle_radius_cross_coupling,angle_selectivity
Cntnap_het,OFT-0366-00,slow,3.5569772413601464,1,1.1456391977677018,0.9240414009486005,0.8065727872694226,0.7478384804298339,0.8359399406892172,0.9240414009486005,NaN,0.8065727872694226,NaN,0.8065727872694226,1.1456391977677018
Cntnap_het,OFT-0366-00,fast,5.913322054027955,2,1.0762295172189036,0.9269084658931246,0.8612553837850115,0.828428842730955,0.8776686543120398,0.9269084658931246,NaN,0.8612553837850115,NaN,0.8612553837850115,1.0762295172189036
Cntnap_het,OFT-0366-00,medium,4.720387524680251,3,1.0750429144481217,0.8916593857994494,0.8294174807497678,0.7982965282249269,0.8449779570121883,0.8916593857994494,NaN,0.8294174807497678,NaN,0.8294174807497678,1.0750429144481217
Cntnap_het,OFT-0371-00,fast,5.098992039646725,4,1.0643699677512417,0.8775934349932906,0.8245191630570288,0.797982027088898,0.8377877310410943,0.8775934349932906,NaN,0.8245191630570288,NaN,0.8245191630570288,1.0643699677512417
Cntnap_het,OFT-0371-00,medium,4.024962798169464,5,1.0633523541324308,0.9888852932118404,0.9299695339637944,0.9005116543397718,0.9446984737758061,0.9888852932118404,NaN,0.9299695339637944,NaN,0.9299695339637944,1.0633523541324308
Cntnap_het,OFT-0371-00,slow,3.1711303647870133,6,1.1329865969444142,0.8258231732275368,0.7288905053729006,0.6804241714455823,0.7531236723365596,0.8258231732275368,NaN,0.7288905053729006,NaN,0.7288905053729006,1.1329865969444142
Cntnap_het,OFT-0376-00,fast,5.204279806465986,7,1.0838517387226343,0.8423996041193221,0.7772277093102476,0.7446417619057102,0.7935206830125163,0.8423996041193221,NaN,0.7772277093102476,NaN,0.7772277093102476,1.0838517387226343
Cntnap_het,OFT-0376-00,slow,3.339187654518954,8,1.0443046266867042,0.9669696224973751,0.9259459335781245,0.905434089118499,0.936201855807937,0.9669696224973751,NaN,0.9259459335781245,NaN,0.9259459335781245,1.0443046266867042
Cntnap_het,OFT-0376-00,medium,4.039729611148411,9,1.0734169005077505,0.9612861809625335,0.8955385186387724,0.862664687476892,0.9119754342197126,0.9612861809625335,NaN,0.8955385186387724,NaN,0.8955385186387724,1.0734169005077505
Cntnap_het,OFT-0385-00,medium,4.235110503765973,10,1.1144103839234725,0.8453967907148369,0.7586045526051838,0.715208433550357,0.7803026121325969,0.8453967907148369,NaN,0.7586045526051838,NaN,0.7586045526051838,1.1144103839234725
Cntnap_het,OFT-0385-00,fast,5.631290101739387,11,1.076764900887222,0.9041756881186938,0.8397150458504732,0.807484724716363,0.8558302064175283,0.9041756881186938,NaN,0.8397150458504732,NaN,0.8397150458504732,1.076764900887222
Cntnap_het,OFT-0385-00,slow,3.3243946429041,12,1.0452297919430031,0.9075967099659228,0.8683226568568899,0.8486856303023735,0.8781411701341482,0.9075967099659228,NaN,0.8683226568568899,NaN,0.8683226568568899,1.0452297919430031
Cntnap_het,OFT-0391-00,slow,3.93755107980959,13,1.0994148838564437,0.9412760964427644,0.856160954580702,0.8136033836496708,0.8774397400462175,0.9412760964427644,NaN,0.856160954580702,NaN,0.856160954580702,1.0994148838564437
Cntnap_het,OFT-0391-00,fast,6.38312149685913,14,1.0722273734610832,0.9563017511056413,0.8918833586749039,0.8596741624595354,0.9079879567825884,0.9563017511056413,NaN,0.8918833586749039,NaN,0.8918833586749039,1.0722273734610832
Cntnap_het,OFT-0391-00,medium,5.093760309029038,15,1.1105656057544808,0.8457990294276874,0.761593034256702,0.7194900366712094,0.7826445330494484,0.8457990294276874,NaN,0.761593034256702,NaN,0.761593034256702,1.1105656057544808
Cntnap_het,OFT-0403-00,medium,5.295256598957239,16,1.0988384560024858,0.9807599223096573,0.8925424087154797,0.8484336519183909,0.9145967871140241,0.9807599223096573,NaN,0.8925424087154797,NaN,0.8925424087154797,1.0988384560024858
Cntnap_het,OFT-0403-00,fast,6.9048632913996855,17,1.102888456296279,0.7542308059952009,0.6838686194323399,0.6486875261509093,0.7014591660730551,0.7542308059952009,NaN,0.6838686194323399,NaN,0.6838686194323399,1.102888456296279
Cntnap_het,OFT-0403-00,slow,3.8337888979884895,18,1.2940816225978657,0.9371831543561863,0.7242071427262782,0.6177191369113243,0.7774511456337552,0.9371831543561863,NaN,0.7242071427262782,NaN,0.7242071427262782,1.2940816225978657
Cntnap_het,OFT-0407-00,fast,6.431405795170391,19,1.0851791347991735,0.7689706772776995,0.7086117421710357,0.6784322746177038,0.7237014759477017,0.7689706772776995,NaN,0.7086117421710357,NaN,0.7086117421710357,1.0851791347991735
Cntnap_het,OFT-0407-00,medium,4.931123002230912,20,1.1671436060814349,0.8759278840692442,0.7504885255809114,0.6877688463367448,0.7818483652029946,0.8759278840692442,NaN,0.7504885255809114,NaN,0.7504885255809114,1.1671436060814349
Cntnap_het,OFT-0407-00,slow,3.6194524640806165,21,1.0712172494015648,0.9473084932786678,0.8843290133797616,0.8528392734303085,0.9000738833544881,0.9473084932786678,NaN,0.8843290133797616,NaN,0.8843290133797616,1.0712172494015648
Cntnap_het,OFT-0419-00,fast,6.15438378537604,22,1.0885676909017177,0.7878125686555546,0.7237148183251408,0.6916659431599337,0.7397392559077443,0.7878125686555546,NaN,0.7237148183251408,NaN,0.7237148183251408,1.0885676909017177
Cntnap_het,OFT-0419-00,slow,3.610904247392094,23,1.0850057559669186,0.8240741408653753,0.7595113079662786,0.7272298915167305,0.775652016191053,0.8240741408653753,NaN,0.7595113079662786,NaN,0.7595113079662786,1.0850057559669186
Cntnap_het,OFT-0419-00,medium,4.798318318768427,24,1.060544387307842,0.8211048255508077,0.7742295705653169,0.7507919430725719,0.7859483843116898,0.8211048255508077,NaN,0.7742295705653169,NaN,0.7742295705653169,1.060544387307842
Cntnap_het,OFT-0420-00,medium,5.1145163691582605,25,1.060348064416761,0.971113294435366,0.9158438884589485,0.88820918547074,0.929661239953053,0.971113294435366,NaN,0.9158438884589485,NaN,0.9158438884589485,1.060348064416761
Cntnap_het,OFT-0420-00,fast,6.260797074478718,26,1.1256486107541497,0.9883959928557786,0.8780679720233332,0.8229039616071107,0.9056499772314447,0.9883959928557786,NaN,0.8780679720233332,NaN,0.8780679720233332,1.1256486107541497
Cntnap_het,OFT-0420-00,slow,3.826474227591128,27,1.0504778673252957,0.9744145258540232,0.9275916762863902,0.9041802515025736,0.9392973886782985,0.9744145258540232,NaN,0.9275916762863902,NaN,0.9275916762863902,1.0504778673252957
