group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,peak_stride_multiple,mean_log_gain,band_0p75_2x_log_gain
Cntnap_het,OFT-0366-00,slow,1,3.292752984119212,3.9325842696629216,1.3174157303370786,2.447508558123588,3.044105883206194
Cntnap_het,OFT-0366-00,fast,2,3.1893186798753415,4.957038995373431,1.2640449438202248,2.084853676652545,2.850909911861411
Cntnap_het,OFT-0366-00,medium,3,3.224256214189825,4.421891989851395,1.3707865168539326,2.236186015563446,2.874075646727497
Cntnap_het,OFT-0371-00,fast,4,3.315583264931459,4.420858155493552,1.3174157303370786,2.267062131764778,3.0187909361981045
Cntnap_het,OFT-0371-00,medium,5,3.3841601233369487,3.7833567415730336,1.2106741573033708,2.428166873744641,3.1134756561210573
Cntnap_het,OFT-0371-00,slow,6,3.2756387352519876,3.517924023542001,1.4775280898876404,2.626085670888222,3.1369437040058745
Cntnap_het,OFT-0376-00,fast,7,3.344156877171438,4.3587756683456025,1.2640449438202248,2.278927031061345,3.131101612140046
Cntnap_het,OFT-0376-00,slow,8,3.375454582953244,3.6449973247726057,1.5308988764044944,2.7061010268688577,3.1901397807017275
Cntnap_het,OFT-0376-00,medium,9,3.4333357530989637,3.7732684890155967,1.2640449438202248,2.4517680007471827,3.1358970391459517
Cntnap_het,OFT-0385-00,medium,10,3.349693015010874,4.022643451410927,1.3174157303370786,2.3521200143328858,2.951297284829113
Cntnap_het,OFT-0385-00,fast,11,3.245232618160237,4.540028089887641,1.2106741573033708,2.149791398257073,2.994193199743871
Cntnap_het,OFT-0385-00,slow,12,3.329371429042162,3.2411408815903204,1.2640449438202248,2.5603537925246203,3.121780959742085
Cntnap_het,OFT-0391-00,slow,13,3.2236996030825966,4.283707865168539,1.3707865168539326,2.392298313404459,3.0399287287544157
Cntnap_het,OFT-0391-00,fast,14,3.1897068885934865,5.08686620715702,1.2106741573033708,2.07582865334733,2.851185096621667
Cntnap_het,OFT-0391-00,medium,15,3.2722549041332045,4.596527068437181,1.2640449438202248,2.2298425462146225,2.9861332185634386
Cntnap_het,OFT-0403-00,medium,16,3.127355494989444,4.925058098629086,1.2640449438202248,2.0016040277809264,2.7718525104897327
Cntnap_het,OFT-0403-00,fast,17,3.160353704791132,5.4892322097378266,1.3174157303370786,2.049047083819266,2.837847908379896
Cntnap_het,OFT-0403-00,slow,18,3.0128958613669194,4.643991206643869,1.4241573033707866,2.2038148206081987,2.8440351350016453
Cntnap_het,OFT-0407-00,fast,19,3.2128735677869087,5.18596179349766,1.2640449438202248,2.090685533104753,2.8981915207285276
Cntnap_het,OFT-0407-00,medium,20,3.3224909443485937,4.747191011235955,1.4241573033707866,2.30673957405799,2.9907832969228596
Cntnap_het,OFT-0407-00,slow,21,3.335781180592627,4.03558052434457,1.2106741573033708,2.225608466691443,2.8534190819178415
Cntnap_het,OFT-0419-00,fast,22,3.285815769417955,5.119335565926107,1.2106741573033708,2.1524960223322895,2.988280292417575
Cntnap_het,OFT-0419-00,slow,23,3.169002168617421,4.117929511187938,1.3174157303370786,2.321329013960562,2.9392735411443076
Cntnap_het,OFT-0419-00,medium,24,3.1875803368888627,4.656439066551426,1.2106741573033708,1.982649792339524,2.75534088231437
Cntnap_het,OFT-0420-00,medium,25,3.2925823069494395,4.92534881712325,1.3174157303370786,2.141030867895185,2.9409920553951645
Cntnap_het,OFT-0420-00,fast,26,3.3441850577311563,5.2504610063109185,1.4241573033707866,2.103696631232387,2.87421533842145
Cntnap_het,OFT-0420-00,slow,27,3.0862725666141646,4.250833998485499,1.3174157303370786,2.0467178807040045,2.680886411786963
Cntnap_het,OFT-0421-00,slow,28,3.2899602119093556,4.434616304087975,1.3707865168539326,2.380394730005094,2.9947746581839443
Cntnap_het,OFT-0421-00,fast,29,3.2733576326786746,5.855181023720349,1.3174157303370786,2.08027704196404,2.8430245978840465
Cntnap_het,OFT-0421-00,medium,30,3.1568028267044017,5.056179775280899,1.2640449438202248,2.1057359486284244,2.848367223858538
Cntnap_het,OFT-0423-00,slow,31,3.142130332606463,4.12476485840663,1.3707865168539326,2.4050640368022647,2.9649036442716845
Cntnap_het,OFT-0423-00,fast,32,3.1083842466511706,5.230779590580268,1.2640449438202248,1.9853362850432152,2.7649804270307894
Cntnap_het,OFT-0423-00,medium,33,3.2887340333918114,4.569288389513109,1.3707865168539326,2.247034123750825,2.945373882377276
Cntnap_het,OFT-0425-00,slow,34,3.2451209675907187,3.9933191618584876,1.4775280898876404,2.510047785192869,3.083931441383789
Cntnap_het,OFT-0425-00,medium,35,3.2140881984831795,4.315628192032687,1.4241573033707866,2.3450730002558497,2.9349042809103816
Cntnap_het,OFT-0425-00,fast,36,3.0022378905199427,4.941527172666819,1.2106741573033708,1.8713313686134505,2.538340259239208
Cntnap_het,OFT-0428-00,slow,37,3.191994546777505,4.800170672735031,1.2640449438202248,2.151340137662973,2.934273626954144
Cntnap_het,OFT-0428-00,medium,38,3.23250201998554,5.659902733523396,1.2640449438202248,2.067052929505927,2.8582726538031435
Cntnap_het,OFT-0428-00,fast,39,3.217188780505301,6.429463171036204,1.1573033707865168,1.8451703261165515,2.6098558751425283
Cntnap_het,OFT-0430-00,fast,40,3.1527818606789118,5.750624219725344,1.3174157303370786,2.0390233602491525,2.883364135213449
Cntnap_het,OFT-0430-00,medium,41,3.2009477862532116,4.924918618082537,1.3174157303370786,2.1616255246822345,2.9055799403498006
Cntnap_het,OFT-0430-00,slow,42,3.2661596920463287,4.544182409350949,1.3707865168539326,2.351043516257137,3.039219741668824
Cntnap_het,OFT-0431-00,medium,43,3.5002581565008315,4.283707865168539,1.3707865168539326,2.34589332887647,3.007862261734736
Cntnap_het,OFT-0431-00,slow,44,3.308156610297542,4.012841091492777,1.2640449438202248,2.2727381947457768,2.8812637790023587
Cntnap_het,OFT-0431-00,fast,45,3.3198693590292665,4.999875432870774,1.3707865168539326,2.1250517250289884,2.904496482265736
Cntnap_het,OFT-0432-00,fast,46,3.267079049167736,5.081716036772217,1.2640449438202248,2.150046631011553,2.9553289155585056
Cntnap_het,OFT-0432-00,slow,47,3.2753895265802075,4.040069490445064,1.2106741573033708,2.2389033051710845,2.8907690611460795
Cntnap_het,OFT-0432-00,medium,48,3.3685115006410284,4.673135852911134,1.3707865168539326,2.29610909273868,3.012845946670685
Cntnap_het,OFT-0434-00,medium,49,3.3262215740059617,4.582662098873684,1.3174157303370786,2.285075235820679,2.9998924878873736
Cntnap_het,OFT-0434-00,fast,50,3.164727703150798,5.207200676573637,1.2106741573033708,2.0385560887320695,2.78165534911593
Cntnap_het,OFT-0434-00,slow,51,3.2846286116139476,4.031725049570389,1.3707865168539326,2.2972876656569228,2.838774977551255
