group,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
Cntnap_het,216,72,15550,4.754521669194928,0.07215501102544283,4.6637198932908595,0.8175437075533957,0.0019348087343188758,0.8217397045721734,1.7741723689121829,0.005499980082691353,1.7812290462553921,3.1727603230167554,0.024348427968704102,3.089448616007533,40.0,0.0,40.0,3.4331365735892785,0.03516604004652162,3.389830508474576,1929.0407969753467,27.383510316489073,1924.3005253547076,0.9178925599020571,0.005696014076232235,0.9180734234056358,1.0980990810438347,0.007102277489080604,1.1090039236234202,8.530207012221828,0.23676763828457148,7.840717808378789,-0.8886749631063728,0.007862058722510251,-0.9090875312195098,251.74031234158977,5.520166144981086,235.93263235899963
Cntnap_hom,111,37,8218,4.946033871557268,0.10608713361217013,4.726257417982592,0.8246896011108017,0.002410031937729752,0.8281750495133687,1.7269325709551604,0.007840170907437298,1.7312326587031073,3.433045744783291,0.04401698086335298,3.3328489292139745,40.0,0.0,40.0,3.9591496150768872,0.07529553016645288,3.7735849056603774,1.8018019680787598e10,1.2682618379212326e10,1631.9533689459254,0.9799312255751115,0.03272813848310126,0.9210014648309135,1.0481022063915033,0.016064717953871287,1.0850148920193339,10.434543853906948,0.7391173487723031,8.018183326651169,-0.8662992539989772,0.008955440700803369,-0.8661378313726357,197.94776996021565,6.631454646701603,181.62451291344834
Cntnap_neg,169,57,14173,4.823539887751854,0.07760709766998784,4.770641964300239,0.8165630690983309,0.0017492159713084622,0.8185071859286458,1.7799141007714672,0.005702671138607887,1.7870631343256558,3.241498146027301,0.030201088911339623,3.169678500283896,40.0,0.0,40.0,3.470645182071221,0.03547025799191205,3.4482758620689653,5.91716170135088e9,5.917159751777674e9,1915.5161342097476,0.9168435772186017,0.0037654944159696497,0.9220515173970794,1.0945739435948,0.007011294558233671,1.0992453707615322,8.453923190775555,0.24164591932295731,8.071346405243201,-0.9028192253502898,0.007479207597870694,-0.9141473642632985,246.30779791603732,5.347441108082025,239.66048614605148
TSC_het,189,63,10379,4.08731555408149,0.06044155315046026,3.9955973311181747,0.8119280174410171,0.0019871588867711345,0.8133972610216408,1.7996910132901642,0.006241064769220956,1.8072308393311243,2.793758894854051,0.019738361814632777,2.7394121082172633,40.0,0.0,40.0,2.811785073378434,0.033014703995147256,2.7783137179239823,1.058201327169167e10,7.46268432436685e9,2503.6027651906065,0.9198899328355171,0.005115843860918821,0.9194015270684817,1.163707238027796,0.009322876423441267,1.1673259888336571,6.982025624634836,0.25440456695868396,6.380550485703344,-0.7652918411635022,0.011848009272749644,-0.7794924502702805,386.4937598908656,22.957842791144653,313.2692205613251
TSC_hom,105,35,7674,3.5687287670940915,0.06341288297384398,3.4547023037242206,0.83490129267849,0.0022464807991032436,0.8385067694287204,1.7364579825651538,0.007171337298545265,1.7420272533368226,2.876267368207968,0.027217573887886776,2.8502753741682763,40.0,0.0,40.0,2.613532720182294,0.03625010829902203,2.5003906860446943,1.904762134673863e10,1.3403790784359043e10,2313.7961598085935,0.8860780264116965,0.0047570034762862016,0.8916753744339984,1.2878255772057938,0.011145729915552122,1.3123858784053446,4.790578139608814,0.1898409093934979,4.307166307821705,-0.6173860300560812,0.01684384503558542,-0.5743605118382634,307.23402466233557,9.59548376190582,290.34599164775597
TSC_neg,195,65,11546,4.0494847936515255,0.0632032977709981,3.894922019419566,0.8150308288303597,0.0019527551723631524,0.816552354439584,1.8015275567608342,0.006660456040954688,1.8057391874706328,2.9073591355543287,0.022782135837226897,2.8726808490678275,40.0,0.0,40.0,2.9212275352315356,0.03847045583516783,2.898550724637681,5.128207577336855e9,5.128205115580737e9,2301.858120170118,0.9054457189305196,0.003338792162360459,0.9127031862506505,1.1540673513271937,0.010064053022565007,1.168861171108929,7.194384317218723,0.23336840747168905,6.2473670797854135,-0.7856877460878273,0.012375125367975375,-0.8072889780642295,365.2772096222335,17.15797175347973,291.9020045203765
new_preds,1122,374,67955,4.249832574367261,0.025252606189252992,4.130805637552445,0.8140042558902018,0.000785002891441881,0.8149571319170135,1.8207810943100544,0.0024663069880540315,1.8241442421721874,3.0526943069369747,0.011274041399536373,2.978367069428102,40.0,0.0,40.0,3.31667072081229,0.014578299518238172,3.2565585266594623,5.347595790727305e9,2.1782717457941647e9,2142.973190755123,0.9222572938577421,0.0034049461401659386,0.9207635113306438,1.0699890104549576,0.004119397508427944,1.094924818065896,9.429599635832394,0.1693515583957839,7.904997891277731,-0.9279694595559038,0.0034480948978428388,-0.9424161024549524,299.72872828733017,3.295998448931165,277.9421806562127
