group,speed_bin,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
Cntnap_het,slow,72,72,5188,3.621627481438531,0.0307764628022952,3.606353185676746,0.5558981786063969,0.003572005034147253,0.5554026264267704,1.3969683131711013,0.012405860034339633,1.4229204999290244,4.917094033239233,0.1115738826323152,4.9030100376244405,40.0,0.0,40.0,2.9050118796111764,0.03870055006800305,2.898550724637681,934.4588986726033,28.852689537032532,920.515068718317,0.8987417654242686,0.009568838617386126,0.899544703826727,1.2175732885718495,0.013336099435683368,1.2391354758473967,5.317762891501641,0.3635873892734535,4.662269474072941,-0.7862749327583528,0.01863758221752815,-0.8224164994897174,119.90673359544037,4.996400894028321,116.61406184289652
Cntnap_het,fast,72,72,5201,5.97998481780057,0.06641165659474942,5.989381112336352,0.5920643482487382,0.005289684818992179,0.6030715751926756,1.3694101817357927,0.010030412666588986,1.3763136278480737,3.6048806656787185,0.04291418243505045,3.593792718440292,40.0,0.0,40.0,3.850954298854817,0.04179463272163473,3.896348749289926,853.5084854664373,25.344955067315656,829.2445114057587,1.0199726613432556,0.03371810557155649,0.9510429915000893,1.1464851579706068,0.013820615055609265,1.1363865501555899,7.301187787368852,0.4176419868784092,6.523208724129493,-0.7633659347536984,0.013653177800974805,-0.7900072248676457,77.46966410114482,3.0420371455715545,73.16165542101527
Cntnap_het,medium,72,72,5161,4.661952708345679,0.050895934454459335,4.679262665136473,0.5694367022165594,0.00416313761781839,0.5742630913179476,1.3982105527853752,0.010473025418073099,1.4146711275207136,3.9770599517016905,0.06555310154285539,3.835741771264515,40.0,0.0,40.0,3.3132098015864013,0.03565403779875516,3.3150183150183152,1012.0698970748446,32.8161454356821,1000.1188512570026,0.89859473520492,0.01276711271525051,0.8931944404700315,1.197920853731023,0.008422159326395999,1.1995477672704618,5.187188421012269,0.2427574974836587,4.89318518761025,-0.8275479197765792,0.011062231639368734,-0.8354193564694976,84.65816890871004,2.7967944145775894,83.49422997327747
Cntnap_hom,fast,37,37,2752,6.229628025724996,0.09510394544228443,6.1052968514727795,0.590565909649238,0.007317789679696576,0.5826140480279594,1.3096310146161727,0.015096037269814521,1.3182834022699972,3.907149527533424,0.07917484058317353,3.8529614506851284,40.0,0.0,40.0,4.603825435996321,0.10562121093760059,4.4152046783625725,898.3331754715902,59.285921100844,788.859379773549,1.1262928022954322,0.1122537951616667,0.9466064121953355,1.0382079410527223,0.03445677938053206,1.095119151416071,11.751084318893021,1.8659019880986085,7.626519737137626,-0.8275419548540545,0.02631547478702952,-0.8043130272205492,64.65986962181206,5.010481431521679,55.51335321853716
Cntnap_hom,medium,37,37,2728,4.857110629306501,0.07682272726947383,4.726257417982592,0.5760472079827655,0.006536070408513349,0.5934638076530004,1.325706487672635,0.01738906534369315,1.3363736115453126,4.450944744912363,0.13542712272679905,4.238566351636203,40.0,0.0,40.0,3.6808692252387187,0.05696245671865667,3.7037037037037037,842.1234059988266,41.85044273333988,830.072777233889,1.0711573787342892,0.058891224863170104,0.9253984274010606,1.1710735523016669,0.013017571279493843,1.1588841760815645,4.985794567510618,0.4203308228631186,4.119560523492146,-0.7705962381576181,0.01803362395560905,-0.786644349344417,65.68306659306211,3.3324565615939616,60.575811208187226
Cntnap_hom,slow,37,37,2738,3.751362959640306,0.05086605025067258,3.687560742451866,0.549989023002033,0.005469558175543311,0.5522594106671553,1.3367206190513203,0.016343064274070018,1.3523249129121824,5.592344160981329,0.18275106293842258,5.527586876865959,40.0,0.0,40.0,3.197219650643665,0.04219350046592861,3.1754032258064515,788.5109102873987,42.62539820068006,730.6358267127158,0.8360743565421093,0.013398271797434842,0.8268444943315539,1.2016451075397747,0.01502994935078645,1.1912341223249967,4.485505489508663,0.2563634098611402,4.127922683527712,-0.8404607098656535,0.017136558499766915,-0.8551167291018265,80.10760034797495,4.965762904345463,73.62367320446765
Cntnap_neg,slow,56,56,4723,3.7098409028138866,0.029417274102248987,3.712891461791358,0.5561908029235006,0.002817479257606411,0.5558481744109129,1.3983239635405034,0.013950879955520466,1.4175007158693536,5.158148499569079,0.10159378921086386,5.114770148909386,40.0,0.0,40.0,2.9114254387109035,0.03583618195835643,2.909129376917381,978.7381753642193,54.538785125028575,938.9707695799918,0.8800846746972104,0.013459956631079082,0.8887429614077276,1.2456037530092043,0.010197176193224492,1.2389801368555555,4.564937692822337,0.17441233753425972,4.360616484403926,-0.7835071487139251,0.02020710392158482,-0.8281479503079803,109.8044043116198,4.580461208492605,107.72444943530056
Cntnap_neg,medium,56,56,4702,4.736221502468775,0.045176187768288745,4.778058635630233,0.5688710309878038,0.004091570995256315,0.5663612477755375,1.4125349204643933,0.009487321229715087,1.4231100234067047,4.038285301750265,0.07590274544728844,3.9782151258150775,40.0,0.0,40.0,3.3356570101364573,0.03556938116908782,3.3333333333333335,2598.0070132718506,1596.7961350779913,955.8280743509147,0.9793722881391745,0.065457523850756,0.8911224720400792,1.1943429399821157,0.0074953899624208165,1.1925046724302144,4.909275248451264,0.23175138383846733,4.629347019200688,-0.8387850153349488,0.011103562910647095,-0.8334946844263644,84.67474883315313,3.2122119827064135,83.35954638233257
Cntnap_neg,fast,57,57,4748,6.003486777793579,0.06333698202881777,6.070678259137377,0.5952912504794987,0.0043884219703023575,0.6038912855805645,1.384211204040512,0.011229942636018229,1.3852379458479718,3.588597069391871,0.0470469367533102,3.534160741127826,40.0,0.0,40.0,3.86325817314799,0.03396631772220141,3.8461538461538463,905.3737276342248,38.244236945014116,824.4878568049795,1.1167910147509872,0.08467657795255329,0.9582033686837316,1.1631007782612381,0.01280645407386573,1.1795586914778275,7.20319598976635,0.4042389855692864,6.368388840263374,-0.7353769193867347,0.015561995167314569,-0.7426111434760992,82.59737686592406,3.285304835192553,78.77672593229272
TSC_het,slow,63,63,3456,3.2509694230649253,0.03466263921401053,3.2481572132971808,0.5653451744778135,0.003864782648392892,0.5692718535617256,1.4560003301744566,0.013098745411307088,1.4590418675000771,3.9232531315479897,0.082266781185368,3.8988489213732533,40.0,0.0,40.0,2.4633542028955495,0.034347519506518494,2.3952954675846243,2166.0216632813613,794.7606335993377,1196.1249182503554,1.0432094937575451,0.07149547163636893,0.9257134159215286,1.2721356708723284,0.016545425191727584,1.2912717537312544,5.101802967607932,0.36918574686996736,4.513523391186736,-0.5922921887265444,0.018206177939313006,-0.5512575917689604,206.8474376275742,16.758562520807647,156.81793788104576
