group,speed_bin,coordinate,forcing_mean,n_models
TSC_hom,fast,LHy-body,49.12431114975539,35
TSC_hom,slow,LFx-body,138.1599553712405,35
TSC_hom,slow,LFy-body,92.26836997073768,35
TSC_hom,slow,RFx-body,138.15995537124056,35
TSC_hom,slow,RFy-body,92.26836997073767,35
TSC_hom,slow,RHx-body,135.787851046611,35
TSC_hom,slow,RHy-body,73.16328135281395,35
TSC_hom,slow,LHx-body,135.78785104661102,35
TSC_hom,slow,LHy-body,73.16328135281395,35
TSC_hom,medium,LFx-body,80.68875252320198,35
TSC_hom,medium,LFy-body,66.49551750998755,35
TSC_hom,medium,RFx-body,80.688752523202,35
TSC_hom,medium,RFy-body,66.49551750998754,35
TSC_hom,medium,RHx-body,85.01912203741357,35
TSC_hom,medium,RHy-body,53.97574293818801,35
TSC_hom,medium,LHx-body,85.01912203741348,35
TSC_hom,medium,LHy-body,53.97574293818799,35
TSC_neg,fast,LFx-body,92.45953392936384,65
TSC_neg,fast,LFy-body,43.042979032754424,65
TSC_neg,fast,RFx-body,92.45953392936383,65
TSC_neg,fast,RFy-body,43.04297903275443,65
TSC_neg,fast,RHx-body,97.01175448570838,65
TSC_neg,fast,RHy-body,32.0803073087979,65
TSC_neg,fast,LHx-body,97.01175448570842,65
TSC_neg,fast,LHy-body,32.0803073087979,65
TSC_neg,slow,LFx-body,177.9864811249163,65
TSC_neg,slow,LFy-body,84.35891087730941,65
TSC_neg,slow,RFx-body,177.98648112491628,65
TSC_neg,slow,RFy-body,84.35891087730937,65
TSC_neg,slow,RHx-body,176.1023097638207,65
TSC_neg,slow,RHy-body,57.30634984700518,65
TSC_neg,slow,LHx-body,176.10230976382056,65
TSC_neg,slow,LHy-body,57.30634984700523,65
TSC_neg,medium,LFx-body,112.39721224370537,65
TSC_neg,medium,LFy-body,61.33613345236259,65
TSC_neg,medium,RFx-body,112.39721224370535,65
TSC_neg,medium,RFy-body,61.33613345236258,65
TSC_neg,medium,RHx-body,103.8794343579473,65
TSC_neg,medium,RHy-body,43.73957658910321,65
TSC_neg,medium,LHx-body,103.87943435794728,65
TSC_neg,medium,LHy-body,43.739576589103216,65
new_preds,fast,LFx-body,82.36646253625773,374
