group,subject,speed_bin,model_index,peak_log_gain,peak_frequency,peak_stride_multiple,mean_log_gain,band_0p75_2x_log_gain
Cntnap_het,OFT-0366-00,slow,1,3.035337463794205,3.9165329052969504,1.3707865168539326,2.1987974430821384,2.7173577585395337
Cntnap_het,OFT-0366-00,fast,2,2.8492640470965593,4.86171132238548,1.2640449438202248,1.8505767638309734,2.5095654371159317
Cntnap_het,OFT-0366-00,medium,3,2.820746167733065,4.617275280898876,1.4775280898876404,2.0325292575698697,2.574784855807795
Cntnap_het,OFT-0371-00,fast,4,2.9523097992391274,5.102996254681648,1.5308988764044944,2.007034325406571,2.685325602822225
Cntnap_het,OFT-0371-00,medium,5,3.1534929460759953,3.9501404494382024,1.2640449438202248,2.0745732734717515,2.7289047998884444
Cntnap_het,OFT-0371-00,slow,6,2.957844233290344,2.939639404233081,1.2640449438202248,2.3668434556227504,2.799731557548626
Cntnap_het,OFT-0376-00,fast,7,2.8896997205743515,5.799202609641174,1.797752808988764,2.03678000667833,2.7083292513568606
Cntnap_het,OFT-0376-00,slow,8,3.108107282026606,3.083036448342012,1.2640449438202248,2.144817281320192,2.6064334343933804
Cntnap_het,OFT-0376-00,medium,9,3.121223131298896,3.9732942517505294,1.3707865168539326,2.1917341789903704,2.807446406093068
Cntnap_het,OFT-0385-00,medium,10,3.0932563252566396,4.022643451410927,1.3174157303370786,2.092397423083351,2.6731856246882257
Cntnap_het,OFT-0385-00,fast,11,2.8759593997671598,4.681647940074907,1.2640449438202248,1.8062033695606687,2.5710105228831472
Cntnap_het,OFT-0385-00,slow,12,2.9870189787188752,3.2411408815903204,1.2640449438202248,2.2496894486099928,2.75621087806111
Cntnap_het,OFT-0391-00,slow,13,2.9051477661552942,3.889369057908384,1.2640449438202248,2.161679112869547,2.7430753212103953
Cntnap_het,OFT-0391-00,fast,14,2.927805302461476,5.711610486891386,1.3707865168539326,1.8223924192604335,2.531535243648041
Cntnap_het,OFT-0391-00,medium,15,2.729443145898237,5.214805023132849,1.4775280898876404,1.8280572936912665,2.5041552307763943
Cntnap_het,OFT-0403-00,medium,16,2.8697130335185475,4.9203244775805945,1.3174157303370786,1.8303661806251983,2.5170286784570375
Cntnap_het,OFT-0403-00,fast,17,2.8575351684134542,5.812886952533823,1.4241573033707866,1.8035307975494008,2.4625765799968984
Cntnap_het,OFT-0403-00,slow,18,2.6798731527606985,4.85999643303014,1.5308988764044944,1.990193352750278,2.550266336140092
Cntnap_het,OFT-0407-00,fast,19,2.9283203293436006,5.576144821730698,1.3707865168539326,1.8343349225609544,2.537336030742488
Cntnap_het,OFT-0407-00,medium,20,3.0039905135530054,4.844354393074231,1.4775280898876404,2.077214431082989,2.6575695665379415
Cntnap_het,OFT-0407-00,slow,21,3.1015282805335973,3.969423466568429,1.2106741573033708,2.0193347674808244,2.6102351548827483
Cntnap_het,OFT-0419-00,fast,22,2.9519837518251224,5.520194351655026,1.3707865168539326,1.8429518627191006,2.584892316696573
Cntnap_het,OFT-0419-00,slow,23,2.752032948031071,3.614757956297943,1.2106741573033708,1.983176538913469,2.488952542648159
Cntnap_het,OFT-0419-00,medium,24,2.833370757092676,5.247149853891426,1.3707865168539326,1.741500244267765,2.440560275949242
Cntnap_het,OFT-0420-00,medium,25,2.955747811716012,4.986326615540099,1.3707865168539326,1.9400723939330655,2.608854929351107
Cntnap_het,OFT-0420-00,fast,26,2.8559514936354287,5.2504610063109185,1.4241573033707866,1.7927058762745343,2.479649771924661
