group,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
Cntnap_het,216,72,15550,4.754521669194928,0.07215501102544283,4.6637198932908595,0.5724664096905647,0.002725377528434457,0.5706907660217555,1.3881963492307565,0.006396252138630728,1.4033708201508435,4.16634488353988,0.05885750008398337,3.939379192226748,40.0,0.0,40.0,3.3563919933507975,0.03456972997923256,3.3333333333333335,933.345760404628,17.331538310429877,887.9199714406237,0.9391030539908144,0.012976089949000876,0.9143407975347599,1.187326433424493,0.007251888567978937,1.1946970855005223,5.93537969996092,0.21116455160041317,5.251445136887506,-0.7923962624295433,0.008689468863403783,-0.8176879431475641,94.01152220176508,2.4954300225328003,89.40248007419571
Cntnap_hom,111,37,8218,4.946033871557268,0.10608713361217013,4.726257417982592,0.5722007135446788,0.004040755623003119,0.5742081298833922,1.3240193737800428,0.009386701991483707,1.3333510347790152,4.650146144475705,0.10397724551654698,4.408020913797592,40.0,0.0,40.0,3.8273047706262346,0.06971686646003829,3.7037037037037037,842.9891639192718,28.124558112241928,784.4869388373512,1.0111748458572771,0.04377836723383199,0.9214460564349021,1.1369755336313878,0.014778609507590502,1.1588841760815645,7.074128125304101,0.7113786845510452,5.184141883968007,-0.8128663009591083,0.012305846404806708,-0.8110225495608949,70.15017885428304,2.663179090805972,65.19758704966478
Cntnap_neg,169,57,14173,4.823539887751854,0.07760709766998784,4.770641964300239,0.5735802602151743,0.002535517864145554,0.5704562666568105,1.3982729948791919,0.006771565632694039,1.4119867800613022,4.2576942356758565,0.06772358160491934,4.035475533542551,40.0,0.0,40.0,3.3730315562419397,0.036218433416533885,3.370786516853933,1490.556408513436,529.8219130912044,923.4154029369365,0.992820578459431,0.03669944388843417,0.9119948246231454,1.2007914743692572,0.006535136456641623,1.2033322882641175,5.568864474130197,0.18896085475595895,5.083696653586706,-0.7855908023182296,0.009774915446161563,-0.8141366817062957,92.301083180266,2.348790356343831,90.99017070298137
TSC_het,189,63,10379,4.08731555408149,0.06044155315046026,3.9955973311181747,0.5723638597585105,0.0024111363584260214,0.5760924664375406,1.4478285188416797,0.008045802166132822,1.4654174087190868,3.5585702966283352,0.048099823184340376,3.445009814631647,40.0,0.0,40.0,2.780681492957036,0.03203262631009104,2.73972602739726,1899.1713592596057,358.2015572229139,1290.522256514636,0.9784929420280344,0.026293656590137285,0.9215072595094131,1.2540221702223293,0.008720625827161573,1.2573300549918207,5.01309499369328,0.18624622309057137,4.556978334972401,-0.6731997086690543,0.012185593840239171,-0.6868528304330822,148.8220497642473,7.126409158836388,123.69129434219676
TSC_hom,105,35,7674,3.5687287670940915,0.06341288297384398,3.4547023037242206,0.5711915754226222,0.0031400699679601627,0.577224213573418,1.3595313643030604,0.007512770075557765,1.3566496019879366,3.7974946434082253,0.06800828770652985,3.6465066713161685,40.0,0.0,40.0,2.5936343426143154,0.03368330942739943,2.5,1161.6670235244214,33.09257427989074,1110.435015134072,0.9320231319809477,0.011199459466414381,0.9209494413146581,1.3731178033586646,0.008747958014982501,1.3916892754012329,3.3629880784274815,0.11700881884254045,3.1083308881478,-0.5151266622445627,0.01610597222403849,-0.48662702902385674,122.99368311013524,4.617568210529507,112.33843885950314
TSC_neg,195,65,11546,4.0494847936515255,0.0632032977709981,3.894922019419566,0.5713937718439075,0.0021350551731119743,0.5741927934006182,1.4512383374344857,0.007681577443188065,1.468159463165177,3.7452563205385343,0.053418871548063414,3.6061242449965616,40.0,0.0,40.0,2.8713634082548705,0.03725250866718556,2.8235450438479934,1298.8939532372494,36.16806594148253,1218.9957049611946,0.9624611725252534,0.031146572451635875,0.9090005255159399,1.2468109060547858,0.008708783070059418,1.2554795110640729,5.117931465282957,0.1604658560922745,4.574995096772901,-0.6762993712248215,0.013149414690557358,-0.6943427877254862,145.26032696151418,6.356606900332668,123.4135005169028
new_preds,1121,374,67848,4.250617508281901,0.02526293010284966,4.130994545034002,0.5601283094228616,0.0009432705077789367,0.5626071232989106,1.4452497411409284,0.0031188680700619292,1.4662607307296287,3.800927252619459,0.021644224848762692,3.634640585104123,40.0,0.0,40.0,3.2533799926601836,0.014580540054907902,3.1914893617021276,1132.3333994004656,11.002414794858062,1076.2273757078474,0.9308804300834466,0.009769154284243813,0.9132105191145241,1.1681838256536403,0.003882724967151448,1.1868525363517557,6.278963525484983,0.11406897311203332,5.254741772030918,-0.8330830167358532,0.004167502743579959,-0.8573282356997816,114.19385959882622,1.3773466563055048,104.95888358401608
