group,subject,speed_bin,mean_speed,model_index,diagonal_dominance,self_gain,cross_gain,fore_hind_coupling,left_right_coupling
Cntnap_het,OFT-0366-00,slow,3.5569772413601464,1,1.8022790218606486,0.7920882238947718,0.4394925615219283,0.47853853359631116,0.41279740422567973
Cntnap_het,OFT-0366-00,fast,5.913322054027955,2,2.323000920625316,0.7894469198510747,0.33983926258564195,0.3746708600123581,0.3423655859716351
Cntnap_het,OFT-0366-00,medium,4.720387524680251,3,2.2012754987436103,0.940148663325328,0.4270926850646013,0.45376567209587265,0.4204008410673664
Cntnap_het,OFT-0371-00,fast,5.098992039646725,4,1.8723803682174465,0.8702569259407353,0.46478639741840594,0.4996661560642841,0.4567398216051967
Cntnap_het,OFT-0371-00,medium,4.024962798169464,5,1.6932823322629111,0.9595780184048881,0.5666970003298287,0.5954483884363391,0.5530849419030706
Cntnap_het,OFT-0371-00,slow,3.1711303647870133,6,1.8402374484810942,0.848178047308813,0.46090685091148814,0.5135588775925155,0.4539245263609576
Cntnap_het,OFT-0376-00,fast,5.204279806465986,7,1.9506150978673402,0.8469149334918535,0.43417839553164966,0.46263837837875166,0.430645282322322
Cntnap_het,OFT-0376-00,slow,3.339187654518954,8,1.6026626954774963,0.8298474783450598,0.5177929708395786,0.5301647477510966,0.4932357841645651
Cntnap_het,OFT-0376-00,medium,4.039729611148411,9,1.8664735891259352,0.821555219322418,0.44016439563291665,0.4733340532744579,0.39555787537306686
Cntnap_het,OFT-0385-00,medium,4.235110503765973,10,2.0289960934693028,0.9236773769715869,0.4552386177305183,0.4770353124772251,0.41528035645764116
Cntnap_het,OFT-0385-00,fast,5.631290101739387,11,2.2939869161506916,0.8156790119100815,0.35557265220971285,0.3934575262786967,0.3350149442379198
Cntnap_het,OFT-0385-00,slow,3.3243946429041,12,1.8467939004709324,0.8162239926688641,0.44196810075056403,0.49760002871199593,0.4272193000731973
Cntnap_het,OFT-0391-00,slow,3.93755107980959,13,1.6479832688537905,0.893942402188036,0.542446285155427,0.5799263675002373,0.527785155947446
Cntnap_het,OFT-0391-00,fast,6.38312149685913,14,2.178910758284785,0.8840731385419536,0.40574086624726496,0.4412349268585647,0.3986630522550698
Cntnap_het,OFT-0391-00,medium,5.093760309029038,15,1.948331739906708,0.9087382789351295,0.46641865978051694,0.4946904996068396,0.46429164891028774
Cntnap_het,OFT-0403-00,medium,5.295256598957239,16,2.5180696615578806,0.8893503638436862,0.35318735514785654,0.36865435445792527,0.3397207943856776
Cntnap_het,OFT-0403-00,fast,6.9048632913996855,17,2.4989519398877307,0.9166376216897212,0.36680882375469076,0.3892165739240251,0.37547669249675714
Cntnap_het,OFT-0403-00,slow,3.8337888979884895,18,1.947801090964761,0.7809492949663998,0.4009389349810814,0.42491856595793126,0.38799427302832856
Cntnap_het,OFT-0407-00,fast,6.431405795170391,19,2.1331602977008597,0.8453240203431032,0.39627777680571,0.39685463041778474,0.39965185681541604
Cntnap_het,OFT-0407-00,medium,4.931123002230912,20,2.198557117439374,0.7626858624928535,0.3469029102965231,0.37132138329579,0.3257221218131662
Cntnap_het,OFT-0407-00,slow,3.6194524640806165,21,1.8148689171995045,0.8913506658679349,0.49113776616074506,0.5327705936377349,0.4581739985635913
Cntnap_het,OFT-0419-00,fast,6.15438378537604,22,2.263119041013061,0.8430434745088639,0.37251397705154937,0.3869482440399672,0.3700227675882348
Cntnap_het,OFT-0419-00,slow,3.610904247392094,23,1.9387505995581364,0.8349739123370571,0.4306762883928223,0.4603116052442188,0.3965454313396257
Cntnap_het,OFT-0419-00,medium,4.798318318768427,24,1.7747729705085418,0.9558819304097119,0.5385939195004837,0.5580627617047771,0.5393553411441836
Cntnap_het,OFT-0420-00,medium,5.1145163691582605,25,1.8666568253648104,0.8225354539906593,0.44064631635218054,0.4731733191569162,0.42617577453003636
Cntnap_het,OFT-0420-00,fast,6.260797074478718,26,2.1805213933821754,0.819711107019858,0.3759243589664653,0.39794210546769226,0.3722114580656024
Cntnap_het,OFT-0420-00,slow,3.826474227591128,27,2.0454556684701974,0.8622749981115403,0.4215564342963436,0.4647310662632238,0.37464566708766545
Cntnap_het,OFT-0421-00,slow,3.93695947028603,28,1.8144773162813777,0.8441299373466047,0.46521933879921945,0.5133084804816579,0.4548168311299315
Cntnap_het,OFT-0421-00,fast,6.956761347020027,29,2.0673318404235674,0.7991061153391501,0.38653983831421296,0.3796553039304793,0.38515883223603486
Cntnap_het,OFT-0421-00,medium,5.170442210426303,30,1.8633488617728702,0.8740217554962927,0.4690596449366496,0.49840919731599026,0.4637814096499144
Cntnap_het,OFT-0423-00,slow,4.097935889076577,31,1.957032152653842,0.9006157592784907,0.46019466673411924,0.49513748774271327,0.4592424951467232
Cntnap_het,OFT-0423-00,fast,6.3643241607321075,32,2.079303587926662,0.8737187071941851,0.42019775864735415,0.4532331742090347,0.43291791781312083
Cntnap_het,OFT-0423-00,medium,5.221947514559912,33,1.9256048003845978,0.8774206336104512,0.4556597664459527,0.4936363565967564,0.44566782603289234
Cntnap_het,OFT-0425-00,slow,3.782798184798144,34,1.6372282986648623,0.7461656253892167,0.4557492843225986,0.47178002830157784,0.46923492320700755
Cntnap_het,OFT-0425-00,medium,5.125755498798034,35,2.129299643825481,0.7731831999914629,0.3631162021904859,0.41154268569829655,0.33476342230403155
Cntnap_het,OFT-0425-00,fast,6.519962144661278,36,2.150757455041557,0.9113387666829676,0.42372921435037353,0.47190283250704956,0.37883567657651873
Cntnap_het,OFT-0428-00,slow,4.430128398957388,37,1.9464793693009783,0.908070739164239,0.4665195806777784,0.4977803345154612,0.42135355266499774
Cntnap_het,OFT-0428-00,medium,5.944877764522171,38,2.2326396592191102,0.8525575232182009,0.38186078066730755,0.40985636724679164,0.3604519113648176
Cntnap_het,OFT-0428-00,fast,7.437161332343741,39,2.0783047714523883,0.8091480950051502,0.38933081717350365,0.40266858182095555,0.36715695511514923
Cntnap_het,OFT-0430-00,fast,6.632092121799728,40,2.3782492762031846,0.8807109907494788,0.3703190408011022,0.4024150712556729,0.3382589630717127
Cntnap_het,OFT-0430-00,medium,5.026986921337118,41,2.197094883396912,0.882298095321559,0.40157487143087994,0.4482733531664256,0.3745350283343869
Cntnap_het,OFT-0430-00,slow,3.9111070815308797,42,1.944612885922826,0.9522885154444461,0.48970595759090263,0.5350369174168315,0.4395133101077088
Cntnap_het,OFT-0431-00,medium,4.424980265263586,43,1.8269711891301255,0.9168706697002761,0.5018528344373209,0.5574663614038227,0.48937603280763686
Cntnap_het,OFT-0431-00,slow,3.524328694159909,44,1.8104202076413103,0.829167705478906,0.45799737650916944,0.4806353875487548,0.423764444853997
Cntnap_het,OFT-0431-00,fast,5.743615736948633,45,2.278809891228579,0.8965982168178692,0.3934502041038994,0.4281603709655242,0.39742028213875713
Cntnap_het,OFT-0432-00,fast,5.6210405467231155,46,2.5093570300632977,0.9402812814021546,0.3747100433047729,0.3913147283831633,0.3669351579077992
Cntnap_het,OFT-0432-00,slow,3.572182468493087,47,1.7441330069161152,0.8408619843890838,0.4821088650090121,0.5065251156021575,0.4557809385965858
Cntnap_het,OFT-0432-00,medium,4.513786940438647,48,1.9071778723841109,0.905479154390505,0.4747743603267535,0.5118314190354258,0.4649899841381955
Cntnap_het,OFT-0434-00,medium,4.953600231532177,49,1.9310496296829593,0.8736843729446188,0.4524401442173502,0.48323979068568457,0.42108900937557026
Cntnap_het,OFT-0434-00,fast,6.306725025082445,50,2.3703145522667772,0.9049234488331626,0.3817735700807165,0.4209299234143723,0.37972675923180504
Cntnap_het,OFT-0434-00,slow,3.853572247081635,51,1.9511184683204057,0.904653781098369,0.4636590733914421,0.507270719541183,0.42478972733527676
Cntnap_het,OFT-0436-00,fast,6.004958978671024,52,2.059265281248334,0.7898659800137325,0.3835668901944061,0.41355162923179656,0.36216445004892966
Cntnap_het,OFT-0436-00,slow,3.848251277016427,53,1.6362577992880276,0.6790633446843488,0.41500999718982207,0.4474356556709158,0.3899301421135888
Cntnap_het,OFT-0436-00,medium,4.947163929699946,54,1.8786934763473573,0.8109953580210182,0.43168051000943103,0.46419506657605925,0.3891847641569033
Cntnap_het,OFT-0439-00,fast,5.974850456375612,55,1.6490369767203314,0.7884280368775562,0.4781142254587962,0.47425409975246036,0.47664618725893065
Cntnap_het,OFT-0439-00,slow,3.4915501818672725,56,1.3000209617910363,0.7548491485794386,0.5806438286498738,0.5990511955338871,0.530534385804867
Cntnap_het,OFT-0439-00,medium,4.655769030794689,57,1.559380102218508,0.9591503750929508,0.6150844003513839,0.6483120248754628,0.5910896631095044
Cntnap_het,OFT-0442-00,fast,5.9532459112192875,58,2.307022479067055,0.9195577951727969,0.3985907391525115,0.43654523447992133,0.3678837934032156
Cntnap_het,OFT-0442-00,medium,4.780366457350533,59,1.6844301043417051,0.8840404740860053,0.5248306069853214,0.5803864713311092,0.4786743181596562
Cntnap_het,OFT-0442-00,slow,3.84071768984217,60,1.85868905539614,0.8221389475715078,0.4423219393177556,0.4770606329527819,0.4132029532551869
Cntnap_het,OFT-0443-00,fast,5.469728380248349,61,1.7100639449547952,0.8618532740328713,0.5039889160727578,0.5366231750760345,0.4969891990819686
Cntnap_het,OFT-0443-00,slow,3.316955961436398,62,1.5495105469300088,0.9332282037864802,0.602272895551084,0.6533664145294358,0.5533038738214227
Cntnap_het,OFT-0443-00,medium,4.1812180444374185,63,1.9768003614850298,0.8641479246360096,0.4371447625529756,0.47042686472332473,0.40549424380345933
Cntnap_het,OFT-0444-00,fast,5.906841188241731,64,2.079409271678548,0.9537128978297915,0.4586460735841252,0.48773992578201086,0.455452079070933
Cntnap_het,OFT-0444-00,medium,4.394346820493563,65,1.61244626105654,0.8264506344515602,0.5125446065470959,0.5521977640948159,0.49781725318703984
Cntnap_het,OFT-0444-00,slow,3.5048198949107467,66,1.5207433841230882,0.8122049353758686,0.534084148486507,0.552526629218555,0.5171868168820881
Cntnap_het,OFT-0446-00,fast,6.296518682232021,67,2.2679644022092917,0.9545637985420223,0.42089011521175257,0.45455699894436374,0.4302694009963131
Cntnap_het,OFT-0446-00,medium,4.855388597204951,68,2.235403607799018,0.9535760644609548,0.4265789234364918,0.47040616558219717,0.39495425853590216
Cntnap_het,OFT-0446-00,slow,3.775955744729649,69,1.7397292559953925,0.9054562587243081,0.5204581434748868,0.5598621891175182,0.4940582952651673
Cntnap_het,OFT-0447-00,fast,5.68079539705648,70,1.8745632719754608,0.8116158419760904,0.4329626287411412,0.4631087324258444,0.4362450404944438
Cntnap_het,OFT-0447-00,medium,4.188865910182956,71,1.9136600091083753,0.8341269771980793,0.43588044544376564,0.4592483358912093,0.4050338346653122
Cntnap_het,OFT-0447-00,slow,3.4198335140017027,72,1.5421384835187355,0.7788569030814816,0.5050499105011274,0.5534049369837624,0.43443788252749316
Cntnap_het,OFT-0448-00,fast,5.652551281838583,73,2.119046625568542,0.8274483170870988,0.39048141135879616,0.39705090940092047,0.3788746471146154
Cntnap_het,OFT-0448-00,slow,3.404352953209256,74,1.62819637072923,0.8239166973938199,0.5060302996651488,0.5493525754220729,0.4637237537522017
Cntnap_het,OFT-0448-00,medium,4.4547029833433385,75,1.8564401577983085,0.877569882677424,0.4727164939796389,0.4806818154882325,0.48322079607286905
Cntnap_het,OFT-0450-00,fast,6.257038414365995,76,2.035367182121931,0.6772272359926924,0.3327297609695479,0.34601623144436566,0.325581344547206
Cntnap_het,OFT-0450-00,slow,3.9275720755549632,77,2.2145188807679146,0.9267704315092847,0.4184974170045976,0.44607306977187033,0.4180001346019159
Cntnap_het,OFT-0450-00,medium,4.965929161233841,78,1.8186175067256223,0.8604454243351507,0.47313160747273475,0.5364509896473988,0.4679828629485063
