group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,peak_log_gain,169,57,2.1784369122880713,0.019612725941689144,2.1460590894193667,2.223028842536056
Cntnap_neg,peak_frequency,169,57,4.799756843383169,0.1228892170553822,4.548801849460889,5.018834079627327
Cntnap_neg,peak_stride_multiple,169,57,1.4816335350043215,0.033330990926380186,1.4110252808988761,1.541198501872659
Cntnap_neg,mean_log_gain,169,57,1.6002049261888427,0.006562650381610104,1.5881069224576103,1.6141406230169766
Cntnap_neg,band_0p75_2x_log_gain,169,57,1.8098624143746314,0.008613852744682536,1.7938506431138024,1.8286092230884883
Cntnap_het,peak_log_gain,216,72,2.2089917907122096,0.02028950970119451,2.1738202859957085,2.252273532889703
Cntnap_het,peak_frequency,216,72,4.840687068806983,0.1267387941031837,4.614916584136018,5.100120054525131
Cntnap_het,peak_stride_multiple,216,72,1.5024838743237618,0.03803863222982285,1.4382412609238453,1.5828056725967543
Cntnap_het,mean_log_gain,216,72,1.6079197378860786,0.006541400858428805,1.596035663368434,1.6204780548424265
Cntnap_het,band_0p75_2x_log_gain,216,72,1.822642861466635,0.00835869695459174,1.8064093112533584,1.8377447467758186
Cntnap_hom,peak_log_gain,111,37,2.203609435821447,0.02533150172631255,2.1546708614064793,2.2552500088148166
Cntnap_hom,peak_frequency,111,37,5.468801317082333,0.23239441195905078,4.964947507138114,5.905454786656389
Cntnap_hom,peak_stride_multiple,111,37,1.531379694301043,0.05356462119221559,1.4155025812329185,1.6246944275736412
Cntnap_hom,mean_log_gain,111,37,1.5766252908820153,0.010525046718036278,1.5554221182770485,1.5977226104838862
Cntnap_hom,band_0p75_2x_log_gain,111,37,1.7783172405271994,0.012292272167391267,1.7549117182699356,1.8009858626291777
TSC_neg,peak_log_gain,195,65,2.3315068991153196,0.022324981143449503,2.2902047935069927,2.3783817643850615
TSC_neg,peak_frequency,195,65,4.022724077658925,0.12013986116310034,3.776225589831995,4.253341543807958
TSC_neg,peak_stride_multiple,195,65,1.3883030826851053,0.030105606909084863,1.3272687986171134,1.4430834053586872
TSC_neg,mean_log_gain,195,65,1.6977056107256825,0.01066741082770586,1.677627777215209,1.7196462722711836
TSC_neg,band_0p75_2x_log_gain,195,65,1.9091437531593165,0.01217683604160587,1.8866158361430048,1.9333022147167391
TSC_het,peak_log_gain,189,63,2.3399450076185535,0.020781112137179484,2.2997994904599204,2.3795979879258065
TSC_het,peak_frequency,189,63,3.8756966335094223,0.1130636745814395,3.65752171324519,4.107991160264633
TSC_het,peak_stride_multiple,189,63,1.3665507401462456,0.03301804002496186,1.299604289281255,1.4334760121276968
TSC_het,mean_log_gain,189,63,1.6928280806494926,0.009355013798252302,1.6754100357844746,1.7112727775836483
TSC_het,band_0p75_2x_log_gain,189,63,1.90217496714358,0.011436180494148965,1.8798760376400379,1.9248520666152817
TSC_hom,peak_log_gain,105,35,2.295568497755982,0.021158505754208533,2.254630461041756,2.3371676422764422
TSC_hom,peak_frequency,105,35,3.6835912789479277,0.09709993554149791,3.4990588106395664,3.8821001569958087
TSC_hom,peak_stride_multiple,105,35,1.3870518994114502,0.02396503680632432,1.3372010433386838,1.431819823434992
TSC_hom,mean_log_gain,105,35,1.6939443111022887,0.008395763428586804,1.6764161883769617,1.7097646297328644
TSC_hom,band_0p75_2x_log_gain,105,35,1.9025810841541093,0.009752638623014863,1.8834682919022052,1.9209610899206726
