group,metric,n_models,n_subjects,mean,sem,ci_low,ci_high
Cntnap_neg,peak_log_gain,169,57,2.267034759642935,0.02166812767746386,2.2289680383689827,2.3127283904108777
Cntnap_neg,peak_frequency,169,57,4.913902001196729,0.08730180064886492,4.754920658387543,5.095012812931204
Cntnap_neg,mean_log_gain,169,57,1.7132539642994988,0.008959986220418926,1.6971438702830668,1.7319415507135545
Cntnap_neg,band_3_7_log_gain,169,57,1.8721414114057053,0.009413244564890818,1.85398294203778,1.8912920398481177
Cntnap_het,peak_log_gain,216,72,2.3048138113244647,0.022998656517165462,2.2629141976463196,2.353208769298017
Cntnap_het,peak_frequency,216,72,4.726955888472743,0.10548054624563442,4.519975031210986,4.920222768414483
Cntnap_het,mean_log_gain,216,72,1.7236463264368291,0.008366716087374517,1.7077867972916034,1.7404355612754832
Cntnap_het,band_3_7_log_gain,216,72,1.8813166116683016,0.008610422264126024,1.864448466808159,1.8991829115696786
Cntnap_hom,peak_log_gain,111,37,2.3024736602859392,0.03348487577186788,2.239062449429891,2.3690560664171905
Cntnap_hom,peak_frequency,111,37,5.649913958902723,0.18276346792116957,5.329615851806864,6.021257212268448
Cntnap_hom,mean_log_gain,111,37,1.695802574359565,0.013126052010696243,1.6705677221395643,1.7210260797578887
Cntnap_hom,band_3_7_log_gain,111,37,1.8351425893252857,0.01786884419446349,1.8007613906442939,1.869137216601088
TSC_neg,peak_log_gain,195,65,2.511466434441973,0.03540366665091598,2.4443731666334845,2.5892613815989014
TSC_neg,peak_frequency,195,65,4.167675021607606,0.1270562305776246,3.9191875540190146,4.426151685393259
TSC_neg,mean_log_gain,195,65,1.8085002632428258,0.010531580271284908,1.789284765074216,1.8295137516232882
TSC_neg,band_3_7_log_gain,195,65,1.9590936702868194,0.011526829228144932,1.9377588381751825,1.9817189361033565
TSC_het,peak_log_gain,189,63,2.491228951288637,0.025527496706167715,2.4433628931879325,2.543220337166026
TSC_het,peak_frequency,189,63,3.921764461090304,0.11493491020794933,3.6933163902265025,4.159048956661316
TSC_het,mean_log_gain,189,63,1.7952903144697174,0.009190853510059884,1.778176555838278,1.8142107726611694
TSC_het,band_3_7_log_gain,189,63,1.9359396016359072,0.010836317948988147,1.9153723802412628,1.957716662981533
TSC_hom,peak_log_gain,105,35,2.539954145875544,0.04486857377121978,2.455838360744653,2.6311569965626656
TSC_hom,peak_frequency,105,35,3.572819689673622,0.13354040710806292,3.3093780096308185,3.833707865168539
TSC_hom,mean_log_gain,105,35,1.7915754336863683,0.01080201882590957,1.7683949122013018,1.8124910522813962
TSC_hom,band_3_7_log_gain,105,35,1.9327953168836096,0.012338271049571768,1.9082489889157137,1.9570870841600017
