group,subject,speed_bin,mean_speed,model_index,diagonal_dominance,self_gain,cross_gain,fore_hind_coupling,left_right_coupling
Cntnap_het,OFT-0366-00,slow,3.5569772413601464,1,1.7262922178744888,0.49180688131581773,0.28489202246497924,0.273428295227917,0.27017920392075134
Cntnap_het,OFT-0366-00,fast,5.913322054027955,2,1.9440929353072611,0.5133304773016504,0.2640462644449244,0.24994440388804368,0.24109399389082858
Cntnap_het,OFT-0366-00,medium,4.720387524680251,3,2.104020435669593,0.6705660247344176,0.31870699227358673,0.3177225696593827,0.2805725334307011
Cntnap_het,OFT-0371-00,fast,5.098992039646725,4,1.4430769278174898,0.6970461713903863,0.48302772912085795,0.46725625585036545,0.4513880093134163
Cntnap_het,OFT-0371-00,medium,4.024962798169464,5,1.4032116277976305,0.6818365116446023,0.4859113893709381,0.47640051157496205,0.48074106026040764
Cntnap_het,OFT-0371-00,slow,3.1711303647870133,6,1.3298010251731627,0.6921742729684627,0.5205096551029729,0.5041102611622782,0.5264741157471999
Cntnap_het,OFT-0376-00,fast,5.204279806465986,7,1.8047701893998094,0.7284787884707659,0.40364074758627705,0.39656345586760455,0.3908819126359842
Cntnap_het,OFT-0376-00,slow,3.339187654518954,8,1.4275713923916038,0.4458141966228073,0.31228854752821633,0.3069702448597904,0.28794848767472503
Cntnap_het,OFT-0376-00,medium,4.039729611148411,9,1.5292730235057581,0.6919557001591239,0.45247361950638537,0.44071616360293375,0.43031457960773245
Cntnap_het,OFT-0385-00,medium,4.235110503765973,10,1.6504149575988236,0.6966909763700964,0.4221307939330039,0.41643839061194465,0.38829020795848734
Cntnap_het,OFT-0385-00,fast,5.631290101739387,11,1.6564837095482094,0.6466005244677231,0.39034523596013954,0.3862260643809084,0.3578196928782502
Cntnap_het,OFT-0385-00,slow,3.3243946429041,12,1.4863631509556723,0.6982236638960911,0.46975307713135994,0.4839643239935685,0.4438868219228303
Cntnap_het,OFT-0391-00,slow,3.93755107980959,13,1.7958756187313913,0.723459931962135,0.4028452329416822,0.4031860897109464,0.3793026700832366
