rank,n_features,n_delays,delay_interval,n_transitions,dataset,group,line,genotype,subject,speed_condition,n_bouts,n_frames,n_est_strides,mean_speed,median_speed,speed_min,speed_max,stride_frequency,henrici,tgmax,log_tgmax,resolvent_peak_frequency,resolvent_peak_gain,gain_h1,qfactor_h1,gain_h2,qfactor_h2,gain_h3,qfactor_h3,gain_h4,qfactor_h4,gain_h5,qfactor_h5,harmonic_entropy,h1_concentration,spectral_decay_rate,io_frequency,io_gain_mean,io_gain_max,io_1_from_1,io_1_from_2,io_1_from_3,io_1_from_4,io_1_from_5,io_1_from_6,io_1_from_7,io_1_from_8,io_2_from_1,io_2_from_2,io_2_from_3,io_2_from_4,io_2_from_5,io_2_from_6,io_2_from_7,io_2_from_8,io_3_from_1,io_3_from_2,io_3_from_3,io_3_from_4,io_3_from_5,io_3_from_6,io_3_from_7,io_3_from_8,io_4_from_1,io_4_from_2,io_4_from_3,io_4_from_4,io_4_from_5,io_4_from_6,io_4_from_7,io_4_from_8,io_5_from_1,io_5_from_2,io_5_from_3,io_5_from_4,io_5_from_5,io_5_from_6,io_5_from_7,io_5_from_8,io_6_from_1,io_6_from_2,io_6_from_3,io_6_from_4,io_6_from_5,io_6_from_6,io_6_from_7,io_6_from_8,io_7_from_1,io_7_from_2,io_7_from_3,io_7_from_4,io_7_from_5,io_7_from_6,io_7_from_7,io_7_from_8,io_8_from_1,io_8_from_2,io_8_from_3,io_8_from_4,io_8_from_5,io_8_from_6,io_8_from_7,io_8_from_8,participation_ratio,qfactor_median,model_index,speed_bin
40,8,26,1,3787,ASD,Cntnap_het,Cntnap,het,OFT-0366-00,slow,93,6205,175.0,3.5569772413601464,3.578225479006043,2.3688241576158138,4.174487813107315,2.985074626865672,0.23793822227865882,3.5696236984054517,0.552622436190702,4.166666666666666,306.78637361457066,105.76027172202825,0.7715863332770772,37.052170746990114,0.5031863884937067,52.15204133380451,3.2242030173167255,24.154840398418436,0.8453308677849817,9.65997900151104,0.9516646547881225,1.3595797113832992,3.455822127003562,-0.5214209090830997,2.985074626865672,15.262967507877743,49.11554033630145,31.917754632625318,48.138360604668506,17.076196349439826,27.330160256768956,13.983245774714684,14.72779177919546,11.485859516699264,13.048969866761311,25.54929469132636,49.11554033630145,12.393251777360474,19.514037412800448,10.458798065501593,10.420186540232377,9.609426831340464,11.881543805063114,11.57556960379484,9.80078562535856,28.831050708023835,19.967599304218908,12.544520258997302,13.816381009174625,8.675493917351119,10.344709348363061,7.5909650461844445,12.529209462718065,9.997416054882253,17.735197437998348,5.217345379165286,4.923273891805753,3.9203733169762707,3.9215210163048284,18.592381558128245,15.809198619669742,16.942054746256613,31.155587939643496,19.69237537303436,12.736956906257245,9.27990439509355,6.938998586941825,15.927453194512392,13.632294764359488,14.184192748900431,22.210628872573608,17.05207084194641,14.824135402874568,7.86765361040401,6.3257293398070935,11.598060160895201,10.26895095208023,17.78200607733829,28.98580380590509,18.453449979359473,12.419060943363785,18.208213093637955,8.201613541487507,7.780545004872634,10.229953269273421,12.733969191023979,22.933989604213394,13.52967170891103,9.166062150286885,10.406505748001063,12.918618751005495,12.016192737907383,0.8453308677849817,1,slow
40,8,26,1,6032,ASD,Cntnap_het,Cntnap,het,OFT-0366-00,fast,94,8476,279.0,5.913322054027955,5.8297779558957,5.204242657346286,8.060920285308828,3.478523895946763,0.44704747749564744,2.8370434511772333,0.4528659873510148,5.666666666666666,163.70737222153167,37.34971832699867,0.4847272455595602,29.534158052356958,0.4588892471051579,50.55573330677732,3.679760815547072,26.702971335384515,0.907416358280738,38.33254851187767,15.323893814743766,1.5840565160966764,1.1006786749449182,-0.004882465683698253,3.478523895946763,6.012367916597978,20.36663145577368,15.507160615503375,11.124636824789564,8.93387704002628,3.2414611008430505,6.85343589745908,10.330711128585511,4.975690721430683,7.03781919369819,10.29719317871954,8.064311246688838,5.41849092037394,2.1287007727493257,5.561700546473947,8.063221167909083,3.908078771250482,4.874879754878243,4.6484677327157415,5.832409514130634,20.36663145577368,8.713537324134919,6.793546585977807,10.191297934654283,4.899214039514926,7.092712768535225,1.9805099099932992,2.57790361445482,7.815855074839843,3.6523328589779283,2.815131067010305,3.6521090716184927,2.9826395767165454,3.266423581978252,6.89467652415479,4.7781288638608785,4.429587660223462,1.7716399933831457,8.790054558925593,8.110606715919156,3.8612879291977436,3.7706920395974217,6.1104098295805045,4.3098989807660795,5.887455963237304,2.2242647918964615,8.427058180013967,11.492795752839754,3.5081477024584298,4.4827813065632,4.18990169330683,3.686559100392392,6.895650627151788,2.839698083639017,4.583425854734435,4.2707596256128175,8.345421205505819,8.26796453581928,4.218717247214695,3.7318437867681924,5.3963559241481915,2.2334169920517994,4.527309760837497,4.85420127598756,6.878949688538781,7.419793475537884,8.92892535969101,0.907416358280738,2,fast
40,8,26,1,5150,ASD,Cntnap_het,Cntnap,het,OFT-0366-00,medium,93,7568,208.0,4.720387524680251,4.738295133781377,4.176937617193401,5.199570278825266,2.816901408450704,0.31564284984690566,2.8536037500259988,0.4553936670530787,4.666666666666667,154.90552152042247,35.50831413440227,0.20211858170865032,67.27164147955939,2.0120724346076844,48.98128382425196,2.4880167008121576,42.37956599347803,0.9719213442279775,23.79688888824998,0.8748820276266009,1.5542134425504057,0.777320136694073,-0.12624964949022568,2.816901408450704,6.394050589104982,17.629550503883504,17.629550503883504,12.29508713834191,6.606405342802037,4.724183440946398,7.123896728060136,7.472135741220222,10.152268050976854,8.56093055401693,8.107390431848593,10.806818439388932,4.920796597157267,3.860479751053068,4.753969368739557,5.467538436809245,7.784793609157915,6.683724529911165,3.7630276343924938,4.258736773706826,15.004804181932904,6.496389963129353,4.817504058321818,4.290324167997368,6.068311092037379,4.895552915766141,3.3655256731818275,2.672975812382504,6.130252154151997,5.505814449798485,3.7811734229160225,3.2960745738290873,2.81976151452449,4.103327593364237,6.454061871091784,5.1995952607780955,6.112127601821157,4.558486228701607,11.754082956013894,9.827654024351306,4.217296573480866,4.524362116610274,6.232150221425994,5.657860931810569,5.695649421036511,4.3298872078737505,7.654897255777497,11.969881239042133,4.067793041741151,4.215811810355691,4.793408405394894,6.266108772432674,6.048369163051426,5.879675681906167,5.099815685351018,4.656589369608919,11.768216291472376,8.460579981359423,4.470124649841103,4.293462537992819,5.163806185224195,6.015734319048099,3.962544217800352,4.011673874382383,7.50295342777583,10.135052732418254,12.064403845742023,0.9719213442279775,3,medium
40,8,26,1,3497,ASD,Cntnap_het,Cntnap,het,OFT-0371-00,fast,59,5031,161.0,5.098992039646725,5.020430739824048,4.403525100900041,6.6606080804135095,3.3333333333333335,0.3942812538421495,4.0346002725001995,0.6058005135198449,5.166666666666667,185.2207530732713,57.078955243091215,0.956909183337832,28.955788109903263,0.3968696903176262,49.32016419967815,2.7033876826899292,27.388850056988147,0.7900064188021654,22.340769405886288,0.8598960600637543,1.543370786945557,2.0260651980415516,-0.19316786309674805,3.3333333333333335,8.479877537395735,16.63438535269569,16.63438535269569,12.449825256757435,11.682952373415135,16.262302628643187,10.806419959989604,11.179538580825225,10.607330069084528,11.879273628658963,10.182358589992322,7.735326489334971,6.671607806434643,9.636558051610999,6.249758496685484,6.881848529741687,6.796929570243374,7.372879369828823,5.443023849843211,4.980759123091836,15.308057316846405,13.463065172206898,6.058368175387176,6.556322964889535,6.208075899016513,7.206878748177085,3.148399230654084,2.968766535581088,6.802509737674308,8.268101531698452,3.4192318123777747,3.734109089625329,4.785330801032468,4.566391973213207,8.527486490702518,6.888822647971881,9.220449438492933,11.012536100204315,13.026218143465071,12.032771411197434,6.148271266731285,8.348658897943434,7.598303901891791,6.19485416192418,9.383504043943278,11.047899410972692,12.323653877150733,12.02368630643537,6.338201498243041,8.51770089020641,7.088983472431025,6.112938570948314,8.575906053516412,10.645006938013193,6.740563683200893,6.362989223142508,9.35602657772202,10.333336856619782,7.161392562451765,6.105814637791758,7.868311419490488,10.979762265204652,6.085935389853496,5.774599580186238,8.53321468998792,10.407675270032845,7.252727778554455,0.8598960600637543,4,fast
40,8,26,1,2848,ASD,Cntnap_het,Cntnap,het,OFT-0371-00,medium,59,4382,124.0,4.024962798169464,4.042399635258758,3.6439415703289004,4.395824174131656,2.994011976047904,0.2941814375161648,3.604640861111948,0.5568620014252145,4.0,164.29079112030115,78.09522148405516,0.5566371324281524,49.675997205718055,0.6964590065317047,36.86129967611989,0.7752741805594289,22.245765744916085,0.7757449757785873,25.263886591519068,0.9782155074792676,1.5017991399938158,2.5141243407340896,-0.30604759795796765,2.994011976047904,12.464479652201744,24.420905341272604,17.82480985671821,17.6707330928218,5.941904945012804,11.629351135243216,14.407066944217899,11.046504824411008,9.702817144936915,13.245681631532046,9.277473057583547,23.829817248975626,4.103546325746689,6.966674406971574,14.461614731517706,12.799440158447865,7.8345141976790575,10.222855875353831,18.06305699934598,20.80123923726166,18.660206454947183,10.345051836865904,21.870852043001477,10.616633394551098,9.288780275502617,11.39682324678389,8.365157922174157,7.783187490995444,9.564276695978108,6.22735022567102,10.8729546323861,6.2767504524567554,6.025662411009505,7.150379802843484,16.551104634409626,13.502342888322843,8.084433429753949,10.603816887283676,17.62550460456923,15.696564038104219,9.916028121519464,9.742916933227935,13.423880930960802,14.435806071338869,6.912660708222512,9.97334917494277,21.90250019119242,24.420905341272604,9.302405289938028,11.118324293400399,14.634835913523503,18.309606062618137,11.968538605067906,13.866291831502242,22.619792331995473,13.367966563348975,14.860359539100285,10.214392589909934,10.860097026478117,11.94820063196656,8.890091868871277,11.107829094697719,16.883277580170834,8.757233744780383,12.192906117959891,9.75956600151662,8.896569270497778,0.7752741805594289,5,medium
40,8,26,1,1882,ASD,Cntnap_het,Cntnap,het,OFT-0371-00,slow,59,3416,95.0,3.1711303647870133,3.2451118585912044,2.551565428134999,3.627857782389278,2.6315789473684212,0.2633116041575491,4.0253608329504855,0.6048048165636242,3.166666666666667,231.07686292170987,125.85600450680614,0.8210054237670829,62.237973019936845,0.6579204368591768,45.50140204179394,0.7887588714832545,29.607736845459648,0.8014325607022669,20.108892425149484,0.9721385102949611,1.410904501920903,3.351283382325252,-0.4410882216321563,2.6315789473684212,20.334352590097907,37.51948940289565,25.59949824595216,19.32979308899117,21.73231553486244,26.274676286640016,16.399564236465494,16.888522164512644,30.863125227711535,24.195807330735786,12.74908897197606,22.83415272082952,14.537637921714943,17.848244210894926,12.580915043328579,9.697407889656645,20.64618627375954,15.85424650852325,24.709063269189244,37.51948940289565,36.02347548482437,28.728673461815504,23.101647246677153,19.532843510072063,30.84311521642065,29.323944673818282,11.101033670073972,14.271368507091765,20.845331649947347,27.358656588249268,12.419350648432808,12.357949713648074,16.290332245976195,16.677363864481812,25.478646024493983,25.28080699683694,20.569326868654894,17.936987597452397,26.038132478025183,19.956777773501553,26.042153672708924,20.521600497072523,21.70571292123414,18.057482038625146,19.21433589922794,16.723957068551126,18.357184881828108,21.391271389999268,27.815592671558324,19.630618615775482,18.087370936810885,14.888389877409518,20.139464112213062,17.671939839009752,17.96247017466815,20.75213883457053,32.21513125096015,18.401789467429605,20.69054554467742,17.097747052771243,12.140122671666344,11.891550006354505,12.429315613329518,17.88267138548914,18.992626555253587,16.299884237938002,11.092309268994025,0.8014325607022669,6,slow
40,8,26,1,3504,ASD,Cntnap_het,Cntnap,het,OFT-0376-00,fast,51,4830,172.0,5.204279806465986,5.0874917065968,4.436280696644863,7.095421220646593,3.1496062992125986,0.42064058776961877,3.4257743431846532,0.534758752459809,5.666666666666666,165.0170766098985,37.75003296769951,0.24393688209406444,69.84123934977941,1.9487123274324238,46.13085288344367,2.470683156761039,38.75304103585683,2.925826303064238,14.372163749861942,0.8385672815941827,1.5107327749866877,0.8894510189079835,-0.2520401598171791,3.1496062992125986,6.843956409920801,15.405797849103394,15.405797849103394,11.185579372534724,6.105868250920707,6.070809506299529,4.146891706345587,8.851458081786582,7.5905442320764065,6.286490472554741,10.289829792773197,9.541353465497302,5.172616759377552,7.067823855981775,4.161331885334756,8.854804821732785,7.8039817756992065,5.539685844545743,7.199920139685699,5.393119328809564,14.633237336653789,8.594082807007197,5.281763489238967,9.47021279673215,8.368617925970929,6.0837624524177265,2.687962927959876,4.95840251084872,4.412464775888125,9.77474949446964,4.278759160639673,4.685409967355363,4.104003642106412,6.321993738175588,6.159430653347037,3.695737310139536,3.625471963780522,6.198936606653564,7.648042600454958,7.435872557809245,4.194393572357762,4.284228655206845,5.678597189268243,5.819538989464594,8.528968063203918,6.312995991763465,5.869554575398324,11.226847194817122,5.24513586704021,7.934631110636781,4.078012265277123,4.6982261038421855,12.089215946439879,4.119808978908291,6.171992403322051,6.2408400563028374,11.712937694229419,6.010203217366514,5.804762543000589,3.9273274043430577,5.512512026015253,7.42079190586096,5.520217744168696,7.062667383874979,7.622571509016624,9.839409985097344,8.363078801744633,1.9487123274324238,7,fast
40,8,26,1,1830,ASD,Cntnap_het,Cntnap,het,OFT-0376-00,slow,51,3156,85.0,3.339187654518954,3.3795709766857533,2.8577771264941383,3.66923082960529,2.4390243902439024,0.2884272333567565,3.7472505117971187,0.5737127275892447,3.5000000000000004,303.1060241895013,151.2577575577869,1.070481147823412,63.47471549951019,0.5472882721254173,112.58289476702305,8.198401311744387,47.932555958558424,0.9693995402925737,27.516295452656703,0.9081141703837995,1.451950629870145,2.715401886755968,-0.36892606951229034,2.4390243902439024,21.14515222901377,64.2750325239151,37.746090476969805,32.808058446785154,30.824275836930692,36.58816750477169,25.836410659246237,27.387041262008957,16.532407710183257,20.226425550547326,10.983950507743321,23.573647698242127,13.2164053942866,8.917180484939042,18.62052771496504,19.78787938275338,11.428642177079736,15.858894878769433,18.613681947477545,25.242129884893806,29.739701508084423,16.324850726880157,29.413371314612604,36.09003258268908,12.894434436297166,25.452378884058547,12.435396583051944,19.669910815235717,13.261320801371548,14.886530186057819,11.71780756621871,15.0848990860837,6.7513383901495905,12.686181968861312,19.939361040489608,20.33277261962017,24.580766568354196,17.12693448852071,19.565857950524368,41.87974785306892,12.080621401390873,18.861561837351736,21.345780943498532,19.41777060283509,34.223897052954364,21.418468580281207,35.35556669616317,64.2750325239151,20.93454598657937,29.853620929858636,20.050264103967567,28.315784341366506,10.620250322239135,15.930923526493041,13.732535298673184,18.03087776724867,18.41716500113132,20.18213902004258,17.406881089088404,28.12168045878025,10.425502339298085,16.35100746927972,12.661537050595298,16.81073885078532,13.406426018733866,21.033750555507233,8.358459625845505,0.9693995402925737,8,slow
40,8,26,1,2756,ASD,Cntnap_het,Cntnap,het,OFT-0376-00,medium,51,4082,120.0,4.039729611148411,3.996949373119759,3.681442823761154,4.432088570846468,3.0303030303030303,0.3022447348551854,3.47814705801124,0.541347940269519,4.0,246.5736126055864,65.1345471182475,0.5341505837264385,45.74888457617413,0.9247098361674316,42.446446431522254,0.8263523773125064,23.498252506233793,0.7813992785487095,21.362534434125568,0.9689992902080351,1.527077727871144,1.9754293572475556,-0.28958742052639186,3.0303030303030303,9.61224049803345,19.925504908291085,18.060468570651025,9.402366089472306,14.157096026660502,19.15745302843342,12.28313820495692,9.622021108244805,19.925504908291085,13.606787338458005,10.070410916608779,6.0989456078158035,8.188101795520442,10.277916526729818,7.060374940269706,5.451389203301439,12.383997695227418,8.084982206075233,7.328465213887784,5.772083770939833,17.633044404014818,15.713931845299197,11.89340589613563,10.319113217555955,12.373680296196202,8.826990618548352,4.3323643146330015,3.331895337932799,7.669577547087764,9.610857135373431,5.421020187254146,4.316303221054537,8.15447313439564,5.890714207883611,8.862687391767125,3.689267980358772,6.407771995158036,10.17883285899543,11.700975553156674,12.206241776467083,11.012991728389064,6.622228078387176,7.848615734402844,4.568467848600391,10.357035001862618,7.931883287203332,9.684806571130373,14.84615104106752,10.465912958853906,7.905161095044976,7.407478597202306,6.300322392860829,11.961444588051833,13.527254283744227,9.779364692924595,6.959009348596728,17.756886634535068,7.520303717215617,5.517150893293205,4.091613575069743,8.389427194656019,8.354596585995766,5.925993737052329,6.294947603298814,14.096487961778447,14.593204652110604,8.295196900249266,0.8263523773125064,9,medium
40,8,26,1,2819,ASD,Cntnap_het,Cntnap,het,OFT-0385-00,medium,61,4405,132.0,4.235110503765973,4.230333727811016,3.8102699752595175,4.690061669682161,3.0303030303030303,0.3289569954357217,3.4901947867532623,0.5428496654839478,4.0,241.8234551409872,48.36743427588434,0.2819624232203141,45.57219362696472,0.560016730499831,35.95655965741113,0.7391546380798714,27.75130278992994,0.8547727706791699,11.200010757941369,0.7991437175067049,1.5177256234458498,1.5184133454756343,-0.34218389609454003,3.0303030303030303,7.992740786855593,17.510628733193123,17.510628733193123,10.098886583834927,8.787539097412996,13.344618859946262,7.740800535732598,5.3074335641617,10.650694175317307,10.724617601524255,9.666325990601129,15.726050300331929,4.835317110411569,5.980082438377608,4.600749316432851,3.883279443818501,7.375446058118615,9.314441161268023,10.16979176768295,9.769292435087758,17.140086617915017,13.81433395041557,6.407099685470543,7.831991789596969,6.5291309671380935,8.228942835085608,4.7533830358863876,5.171072228211876,8.678254667219484,6.1055360862721475,3.054879253956766,3.4815648675484785,3.8194909407675808,4.511792592353234,10.928988733548216,7.017357461057037,7.5684835377312805,8.97259946543944,8.471317769583962,10.628972884447256,5.544901601585402,5.190536553357395,10.716124218871062,6.547526317197332,8.081942435062087,9.567660196815803,8.977465274402492,12.09439560372097,5.736932593914121,5.792323526601515,7.93867771316893,5.042066861723199,8.64912905842401,8.121507638294647,5.758156115913053,4.310284163680492,9.634297315883451,6.763662396894128,8.050369758238258,5.828432457570282,8.262565277718693,8.591351624983593,4.601027423282349,4.3731520365170224,7.845983847078742,10.91366380496004,7.200279280121757,0.7391546380798714,10,medium
