group,metric,n_models,n_subjects,r_speed,slope_per_speed,r_henrici
Cntnap_het,henrici,216,72,-0.08068589187020504,-0.005782538610046533,NaN
Cntnap_het,log_tgmax,216,72,-0.4265463889629439,-0.041171884325500965,-0.05380553357367859
Cntnap_het,participation_ratio,216,72,-0.577397231776203,-0.06480870597434392,0.0322055259462249
Cntnap_het,qfactor_median,216,72,-0.2603473263843875,-0.8577861022167531,0.027806402832744888
Cntnap_het,h1_concentration,216,72,0.13223783527559194,651.496893827534,-0.049617104265310505
Cntnap_het,io_gain_max,216,72,0.07389916367606905,20629.02655916968,-0.04565648916108496
Cntnap_hom,henrici,111,37,-0.15668983415011753,-0.010395329308853852,NaN
Cntnap_hom,log_tgmax,111,37,-0.6586130234116737,-0.06288013739460424,0.1401731646416998
Cntnap_hom,participation_ratio,111,37,-0.5843627855999322,-0.06977411330212925,0.10438103864154598
Cntnap_hom,qfactor_median,111,37,-0.17665402609496317,-0.4069348985316306,-0.15289756277302982
Cntnap_hom,h1_concentration,111,37,0.05765896340310268,319.6667234715528,0.006683741163759623
Cntnap_hom,io_gain_max,111,37,0.028848713223048595,5833.163149838697,0.001471132130966651
Cntnap_neg,henrici,169,57,-0.040155528596071854,-0.0034175666587515415,NaN
Cntnap_neg,log_tgmax,169,57,-0.4698000209632811,-0.048910744939141285,-0.2325808784629539
Cntnap_neg,participation_ratio,169,57,-0.647711236215122,-0.0767138326964396,-0.04846873663739763
Cntnap_neg,qfactor_median,169,57,-0.2608869363172116,-0.821340315181141,0.05464473423773636
Cntnap_neg,h1_concentration,169,57,0.20998031244927032,658.1322056607207,-0.06739244266709814
Cntnap_neg,io_gain_max,169,57,0.13310027041877023,19837.131318273434,-0.07439111219375895
TSC_het,henrici,185,62,0.004361773104323663,0.00039010170027999633,NaN
TSC_het,log_tgmax,185,62,-0.1369400135930628,-0.02154314298596461,-0.11584428811582517
TSC_het,participation_ratio,185,62,-0.30043426962117764,-0.06067138841212993,-0.009531874542125325
TSC_het,qfactor_median,185,62,-0.17260044368158411,-1.4574330315226487,-0.07420388564705171
TSC_het,h1_concentration,185,62,0.22054896980085853,376.17099415970307,0.039180762241382436
TSC_het,io_gain_max,185,62,0.04332451291085429,6656.527748976153,0.01978530638487315
TSC_hom,henrici,105,35,0.12185732695982958,0.01442810868455588,NaN
TSC_hom,log_tgmax,105,35,0.2126497533876207,0.034673546186320826,-0.06405293364676665
TSC_hom,participation_ratio,105,35,-0.36932428592874983,-0.06794728978307758,-0.02254930472122812
TSC_hom,qfactor_median,105,35,-0.3337093414965661,-4.489180155575821,-0.17972303701667455
TSC_hom,h1_concentration,105,35,0.13016151498707318,1315.708432069,0.08658309782284541
TSC_hom,io_gain_max,105,35,0.12150776918569506,82190.18266139715,0.08008612295577551
TSC_neg,henrici,193,65,0.05090656022168751,0.005261067090447923,NaN
TSC_neg,log_tgmax,193,65,0.04377234937319346,0.00832644960135071,-0.13183047155563213
TSC_neg,participation_ratio,193,65,-0.30679477104922454,-0.03753128245116645,-0.07572205602442861
TSC_neg,qfactor_median,193,65,-0.26735176668117683,-1.9202131937153926,0.02936082312994686
TSC_neg,h1_concentration,193,65,0.08969561236813428,282.8017513346539,-0.06597089834577631
TSC_neg,io_gain_max,193,65,-0.01775836233313588,-7629.881463348992,-0.041368030669683795
new_preds,henrici,1121,374,0.03840115613127007,0.003892276957007201,NaN
new_preds,log_tgmax,1121,374,-0.5184185609391255,-0.06652166183749485,-0.16455070950445325
new_preds,participation_ratio,1121,374,-0.424828672059809,-0.057784181364743566,-0.05250169995596125
new_preds,qfactor_median,1121,374,-0.28206014234562315,-1.2065323714775762,-0.05733174577896327
new_preds,h1_concentration,1121,374,0.023602741969414413,4399.297931030619,-0.005962591721843698
new_preds,io_gain_max,1121,374,0.020416101470162217,143515.47782020614,-0.008439377556754467
