group,speed_bin,metric,n_models,n_subjects,mean,sem
Cntnap_het,fast,hind_homologs_phase_selectivity,72,72,0.06809841373501914,0.0037759951105635525
Cntnap_het,fast,ipsilateral_mean_gain,72,72,0.174466209689448,0.0020141493419879733
Cntnap_het,fast,ipsilateral_peak_gain,72,72,0.49858975447787723,0.004107742810055422
Cntnap_het,fast,ipsilateral_peak_lag_fraction,72,72,0.010000000000000009,0.0
Cntnap_het,fast,ipsilateral_phase_selectivity,72,72,0.0735151367057062,0.0024115831078139398
Cntnap_het,fast,diagonal_mean_gain,72,72,0.174466209689448,0.0020141493419879733
Cntnap_het,fast,diagonal_peak_gain,72,72,0.4985897544778772,0.004107742810055423
Cntnap_het,fast,diagonal_peak_lag_fraction,72,72,0.010000000000000009,0.0
Cntnap_het,fast,diagonal_phase_selectivity,72,72,0.07351513670570618,0.0024115831078139398
Cntnap_het,fast,all_cross_mean_gain,72,72,0.17490988000908508,0.0020254535254922755
Cntnap_het,fast,all_cross_peak_gain,72,72,0.49839750737664346,0.0041286149855400784
Cntnap_het,fast,all_cross_peak_lag_fraction,72,72,0.010000000000000009,0.0
Cntnap_het,fast,all_cross_phase_selectivity,72,72,0.07320821436771036,0.0024351912197541773
Cntnap_het,fast,self_to_cross_ratio,72,72,1.004985983011854,0.0009432102336816621
Cntnap_hom,fast,same_mean_gain,37,37,0.18009777100409993,0.0030049983366852912
Cntnap_hom,fast,same_peak_gain,37,37,0.5004156828290314,0.005706666565981354
Cntnap_hom,fast,same_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,fast,same_phase_selectivity,37,37,0.07822370768752189,0.003183485112908166
Cntnap_hom,fast,fore_homologs_mean_gain,37,37,0.1558027627211427,0.0031498221525489995
Cntnap_hom,fast,fore_homologs_peak_gain,37,37,0.4679326915699323,0.011783494264919534
Cntnap_hom,fast,fore_homologs_peak_lag_fraction,37,37,0.01162162162162163,0.00162162162162162
Cntnap_hom,fast,fore_homologs_phase_selectivity,37,37,0.08980702055436895,0.004209809451299247
Cntnap_hom,fast,hind_homologs_mean_gain,37,37,0.20439277928705718,0.005119482132760442
Cntnap_hom,fast,hind_homologs_peak_gain,37,37,0.5329931734258718,0.011758058840152194
Cntnap_hom,fast,hind_homologs_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,fast,hind_homologs_phase_selectivity,37,37,0.0751393464058106,0.004636409083501944
Cntnap_hom,fast,ipsilateral_mean_gain,37,37,0.1785681907236752,0.002809183828962448
Cntnap_hom,fast,ipsilateral_peak_gain,37,37,0.5008052066058838,0.005894869842903743
Cntnap_hom,fast,ipsilateral_peak_lag_fraction,37,37,0.010000000000000009,0.0
Cntnap_hom,fast,ipsilateral_phase_selectivity,37,37,0.07907746459390122,0.003072405545942364
Cntnap_hom,fast,diagonal_mean_gain,37,37,0.1785681907236752,0.002809183828962448
