group,subject,speed_bin,model_index,mean_speed,frequency_multiple,forcing_frequency,same_mean_gain,same_peak_gain,same_peak_lag_fraction,same_phase_selectivity,fore_homologs_mean_gain,fore_homologs_peak_gain,fore_homologs_peak_lag_fraction,fore_homologs_phase_selectivity,hind_homologs_mean_gain,hind_homologs_peak_gain,hind_homologs_peak_lag_fraction,hind_homologs_phase_selectivity,ipsilateral_mean_gain,ipsilateral_peak_gain,ipsilateral_peak_lag_fraction,ipsilateral_phase_selectivity,diagonal_mean_gain,diagonal_peak_gain,diagonal_peak_lag_fraction,diagonal_phase_selectivity,all_cross_mean_gain,all_cross_peak_gain,all_cross_peak_lag_fraction,all_cross_phase_selectivity,self_to_cross_ratio
Cntnap_het,OFT-0366-00,slow,1,3.6710539720053386,1.0,1.0,0.18132806853864378,0.47193838805430777,0.010000000000000009,0.11068963720926309,0.17177826932086862,0.5480337058645569,0.010000000000000009,0.14818569390856237,0.19087786775641885,0.3958430702440585,0.010000000000000009,0.09438372084937664,0.17835220869056395,0.46025643722146437,0.010000000000000009,0.11141681326041265,0.17835220869056395,0.4602564372214643,0.010000000000000009,0.11141681326041265,0.17934416197325717,0.46415042083241215,0.010000000000000009,0.11116901148652618,1.0110620080606942
Cntnap_het,OFT-0366-00,medium,2,4.818050275650074,1.0,1.0,0.14612626548646876,0.4223973234147292,0.010000000000000009,0.05057106700467664,0.1436054546763359,0.4805019384049777,0.010000000000000009,0.0878095759515414,0.14864707629660157,0.3642927084244807,0.010000000000000009,0.015233929420387945,0.14757883369347494,0.4383779860820203,0.010000000000000009,0.05603439655525253,0.14757883369347494,0.4383779860820202,0.010000000000000009,0.056034396555252546,0.14709464429113958,0.43305109852625656,0.010000000000000009,0.05422397305708662,0.9934166277138265
Cntnap_het,OFT-0366-00,fast,3,5.967393961629797,1.0,1.0,0.13896434302019728,0.43274977349094096,0.010000000000000009,0.09438984461961174,0.12302469870082607,0.4853588259474815,0.010000000000000009,0.10621798493512896,0.15490398733956862,0.3801407210344004,0.010000000000000009,0.09816959605671993,0.13709867771402875,0.4413721881899838,0.010000000000000009,0.09448441801828922,0.13709867771402875,0.44137218818998375,0.010000000000000009,0.09448441801828922,0.1377205661494183,0.4384980499569695,0.010000000000000009,0.09442382099911825,1.0090311629232598
Cntnap_het,OFT-0371-00,fast,4,5.161759489967794,1.0,1.0,0.15431885758322472,0.4759595743122852,0.010000000000000009,0.038075128064576524,0.13448564436447688,0.38540509422334035,0.010000000000000009,0.04729562811822148,0.17415207080197248,0.5665140544012299,0.010000000000000009,0.047705883940251305,0.15299307384925037,0.47182612025618975,0.010000000000000009,0.038042973440544595,0.15299307384925037,0.47182612025618964,0.010000000000000009,0.03804297344054455,0.15343500176057515,0.4732039382748881,0.010000000000000009,0.038038564079397284,1.0057604576042485
Cntnap_het,OFT-0371-00,medium,5,4.119066981308078,1.0,1.0,0.17370831997169997,0.5320878266021095,0.010000000000000009,0.09979981338283114,0.13225027620051832,0.4794164762792261,0.010000000000000009,0.07324290692292305,0.21516636374288153,0.5847591769249929,0.010000000000000009,0.1285844608155066,0.16571781890287132,0.5014996804421806,0.010000000000000009,0.0892598977534801,0.16571781890287132,0.5014996804421807,0.010000000000000009,0.0892598977534801,0.16838131925914748,0.511695729162157,0.010000000000000009,0.09288317929428493,1.0316365303229034
Cntnap_het,OFT-0371-00,slow,6,3.2841957322977513,1.0,1.0,0.131938317031146,0.37436706532068487,0.010000000000000009,0.06524225262089635,0.10715856176881794,0.2527177410601886,-0.010000000000000009,0.12231765609745057,0.156718072293474,0.5336226693947717,0.010000000000000009,0.06104554436725719,0.13041234225118506,0.35988004557463443,0.010000000000000009,0.06482552446163804,0.13041234225118506,0.3598800455746345,0.010000000000000009,0.06482552446163803,0.130921000511172,0.36470905215665134,0.010000000000000009,0.06493692520105111,1.0077704609344715
Cntnap_het,OFT-0376-00,fast,7,5.26788733469112,1.0,1.0,0.16347022688986299,0.4796308732560296,0.010000000000000009,0.06726742510635524,0.16051542425206228,0.5016740100480991,0.010000000000000009,0.09595712008428423,0.16642502952766358,0.45758773646396,0.010000000000000009,0.04322626198876889,0.16464007694840177,0.4885421934362426,0.010000000000000009,0.071225557773772,0.16464007694840177,0.4885421934362426,0.010000000000000009,0.0712255577737721,0.1642501269288888,0.4855717533761716,0.010000000000000009,0.06990389091658782,0.9952517538122606
Cntnap_het,OFT-0376-00,slow,8,3.417873622206612,1.0,1.0,0.20142279193443782,0.5546842912193569,0.010000000000000009,0.09638861156404557,0.20487389447970245,0.573897101702559,0.010000000000000009,0.07940281156426722,0.19797168938917326,0.535471480736155,0.010000000000000009,0.11398765350770639,0.19827830005281888,0.5486454774243644,0.010000000000000009,0.09832096070749488,0.19827830005281885,0.5486454774243644,0.010000000000000009,0.09832096070749491,0.19932646401335852,0.5506584153560287,0.010000000000000009,0.09766473657096504,1.010517057689534
Cntnap_het,OFT-0376-00,medium,9,4.115399174413213,1.0,1.0,0.18016676446485155,0.5076631122350932,0.010000000000000009,0.11942776932433614,0.18793011498002185,0.4675950998283748,0.010000000000000009,0.17986309312407775,0.17240341394968117,0.5477311246418115,0.010000000000000009,0.05362254717798641,0.18227063695126963,0.5087321274077138,0.010000000000000009,0.12647396651733975,0.18227063695126963,0.5087321274077138,0.010000000000000009,0.12647396651733975,0.18156934612246362,0.5083757890168402,0.010000000000000009,0.12414319275134642,0.9922752287896325
Cntnap_het,OFT-0385-00,medium,10,4.311198061882982,1.0,1.0,0.1771923397738756,0.5110036787213343,0.010000000000000009,0.04910402757184867,0.14891435738400283,0.49901949601849377,0.010000000000000009,0.06165099668368614,0.20547032216374844,0.522987861424175,0.010000000000000009,0.04282311747324765,0.17404706313268178,0.5108494226504837,0.010000000000000009,0.05093999154949342,0.17404706313268178,0.5108494226504837,0.010000000000000009,0.050939991549493434,0.17509548867974642,0.5109008413407674,0.010000000000000009,0.05031819868394219,1.0119754718407643
