group,speed_bin,n_models,n_subjects,n_bouts,mean_speed_mean,mean_speed_sem,mean_speed_median,henrici_mean,henrici_sem,henrici_median,log_tgmax_mean,log_tgmax_sem,log_tgmax_median,participation_ratio_mean,participation_ratio_sem,participation_ratio_median,rank_mean,rank_sem,rank_median,stride_frequency_mean,stride_frequency_sem,stride_frequency_median,resolvent_peak_gain_mean,resolvent_peak_gain_sem,resolvent_peak_gain_median,qfactor_median_mean,qfactor_median_sem,qfactor_median_median,harmonic_entropy_mean,harmonic_entropy_sem,harmonic_entropy_median,h1_concentration_mean,h1_concentration_sem,h1_concentration_median,spectral_decay_rate_mean,spectral_decay_rate_sem,spectral_decay_rate_median,io_gain_max_mean,io_gain_max_sem,io_gain_max_median
Cntnap_het,slow,72,72,4932,3.7062401819366784,0.031055756517992934,3.7028588915023857,0.2444971801898989,0.009717391441122223,0.2176179426831239,1.4373810331529586,0.014033009320058023,1.4700002051555152,2.3995467505498858,0.015199521546563108,2.369282766066787,40.0,0.0,40.0,1.0,0.0,1.0,138575.81594206032,42386.01085120203,58332.509984631,3.396660442962708,0.5655645671889737,0.9413979792533191,0.1771303502156027,0.01437567752654348,0.15903050477574965,454.1895797515574,129.03673343624334,171.44131819545595,-1.4370190877867608,0.026707911250777847,-1.4186498942751458,39118.14209290993,12276.170368529456,16398.882973853582
Cntnap_het,medium,72,72,4902,4.720691685890426,0.05004363668412619,4.7680042047750915,0.23548888476136026,0.007581690250459836,0.2206445534294567,1.4194505981471472,0.010035388844620456,1.437247619692577,2.2868623346579033,0.008968565909674655,2.272065019602193,40.0,0.0,40.0,1.0,0.0,1.0,464626.90278863796,191007.3641029429,127227.75671735931,1.839198124148925,0.3091649163487109,0.9189984692009684,0.0814768005363378,0.007719572068069239,0.05693943540455266,2459.042814985767,993.3514142281148,692.0411869836223,-1.6483543882217682,0.030539524908368035,-1.611073295634986,133901.61663948174,56659.733293006095,33826.674079970704
Cntnap_het,fast,72,72,4949,6.019085751570264,0.06563431308525498,6.015939077710363,0.22792571313850893,0.00897501739016499,0.20871874714523064,1.346638579528622,0.007905604250233714,1.3528800005023278,2.2212728764500387,0.00587125567897824,2.2170698926259353,40.0,0.0,40.0,1.0,0.0,1.0,310389.0963073199,41082.34973354945,150750.50364946108,1.470461789607273,0.22476704998569141,0.9141771577885571,0.054598976034559356,0.004839353346516921,0.043706782182357115,2013.902317630419,270.36142358060897,1019.8304911665454,-1.7360912427896962,0.02489952248715443,-1.7139842197287853,87169.85915674905,11487.226555796915,44371.80785263047
Cntnap_hom,fast,37,37,2652,6.2582166631915825,0.09401767252849208,6.121322470722228,0.21882889135781705,0.01113402951498927,0.191002057986672,1.2802648015225564,0.01169796100512484,1.2804943145838146,2.2304977126482797,0.008584104860630049,2.2291671881665356,40.0,0.0,40.0,1.0,0.0,1.0,267232.5677592304,107441.96201771237,120409.00507505155,1.2305385877200112,0.21626623420638744,0.9265514911688053,0.059892521962530254,0.005543456226645165,0.06056226302889284,1970.9413562530933,829.9263949247156,797.6665313813432,-1.7152346632312947,0.03134254005054968,-1.7068002627757517,79357.59646604428,34085.47631579247,31313.569799108805
Cntnap_hom,medium,37,37,2624,4.90351064087996,0.07497998734798833,4.7789344227474295,0.24348433327254473,0.015291929019376874,0.227388879469394,1.3641649113205638,0.013320594902726737,1.3661273123628381,2.314010754236596,0.017116823685989678,2.2953797196774204,40.0,0.0,40.0,1.0,0.0,1.0,446117.422738243,175207.07574520068,150832.4292762205,1.4937231754159883,0.41995191046977554,0.9069009494119326,0.056944464685868855,0.006338539348630945,0.050728288569663264,3122.1065181869685,1494.8679319354808,1047.7583098916152,-1.7240736450054122,0.038164181957210455,-1.6872896620396887,126338.69459315475,50367.80099537171,43186.89545412554
Cntnap_hom,slow,37,37,2637,3.819814823441014,0.04941975529810015,3.768703701922131,0.22506392858718535,0.008510613819601057,0.21574019667570676,1.4206885267827667,0.017840840611300774,1.4631456367277818,2.441642083622652,0.020695461074297313,2.422496395594765,40.0,0.0,40.0,1.0,0.0,1.0,191541.71621635472,64682.01535076445,61368.08227276753,2.0936802109043806,0.5437901711281822,0.9015354275250028,0.12123225787597953,0.013492118101807064,0.10706030619903711,880.7154802023379,274.03640339357094,371.21042789274566,-1.5215775519733534,0.037225209423939656,-1.49925308553185,52909.075947021964,17483.119096094855,19526.8589660376
Cntnap_neg,medium,56,56,4492,4.789450955285398,0.04412390693456328,4.811736821309761,0.27194435395411926,0.01245785680441206,0.23761210429444518,1.4053023656177783,0.012260183605804926,1.4166664062637768,2.296319968733031,0.009950744560814259,2.289237021141812,40.0,0.0,40.0,1.0,0.0,1.0,427895.30762175977,115113.23487858918,162994.94397977716,1.3507246110507636,0.24853007245731215,0.9251765215672045,0.06689075165322299,0.006197877710528784,0.05680943058615834,2142.5433824049564,611.8748739226826,800.57035646552,-1.697960549778084,0.03129603374382351,-1.6849563054900425,118877.27713578171,31085.967917733087,45270.7293124908
Cntnap_neg,fast,57,57,4540,6.036914009285912,0.06326143552869234,6.094438381139532,0.2452169127312966,0.010858281370724187,0.22963879958905054,1.349914564916476,0.008739692952596748,1.3494973567697475,2.2244181224947095,0.006318114779651964,2.219912871835641,40.0,0.0,40.0,1.0,0.0,1.0,270656.11249038967,38219.239248722675,189335.16312257104,1.1555091742345964,0.1708195821851178,0.9276258575707791,0.04776409144722557,0.0037724401671634477,0.04303308880379349,1811.860535104933,336.04848059485926,1126.785183740659,-1.7431990052831436,0.02215073969623903,-1.7414753385839863,77706.24842948529,11056.444445439673,51670.33952887307
Cntnap_neg,slow,56,56,4514,3.788762538046995,0.028617177893459952,3.775789555296761,0.25038747294200225,0.010132590052068019,0.22633155594266674,1.452418421955929,0.015924964475941362,1.469114964852454,2.4193973323858624,0.01592978250789216,2.410548596213008,40.0,0.0,40.0,1.0,0.0,1.0,115314.72685264454,18574.039219922477,73044.04937198803,2.966837659418647,0.6340392430173959,0.9371339409880168,0.13987862241280052,0.012277630801914418,0.12106601147374868,421.0953602436344,59.87493633030669,281.1435820437375,-1.4882347833145777,0.02411914777854215,-1.4632916476289917,32231.714131512068,5164.294414471396,20596.22551458761
TSC_het,slow,61,61,3105,3.3522052187169025,0.03453551393923913,3.368484065325696,0.23840932065374956,0.007431337801037553,0.2282772580922572,1.4204011043347085,0.019227804328563854,1.44617594792769,2.345801189929403,0.02325196734502882,2.309909079737799,40.0,0.0,40.0,1.0,0.0,1.0,201802.58813309876,71221.13971327743,54203.218667050984,6.2195843355831215,0.8563400255041429,4.471771939631174,0.24877366894788344,0.027905181479577976,0.2002578637605872,459.54842542769666,158.01807818147805,124.61617326373354,-1.370882250222246,0.03527911775483608,-1.3274111217121332,57542.37442521554,20690.62231614302,15008.403627886017
