group,subject,speed_bin,mean_speed,model_index,diagonal_dominance,self_gain,cross_gain,fore_hind_coupling,left_right_coupling,angle_angle_coupling,radius_radius_coupling,radius_to_angle_coupling,angle_to_radius_coupling,angle_radius_cross_coupling,angle_selectivity
Cntnap_het,OFT-0366-00,slow,3.6710539720053386,1,1.0109339725442756,0.9617849694823174,0.9513825784900055,0.9461813829938495,0.9539831762380835,0.9617849694823174,NaN,0.9513825784900055,NaN,0.9513825784900055,1.0109339725442756
Cntnap_het,OFT-0366-00,medium,4.818050275650074,2,0.9915921531544375,0.8771327225195681,0.8845700520413026,0.8882887168021696,0.8827107196608688,0.8771327225195681,NaN,0.8845700520413026,NaN,0.8845700520413026,0.9915921531544375
Cntnap_het,OFT-0366-00,fast,5.967393961629797,3,1.0009476941584226,0.9114201833775495,0.9105572535874155,0.9101257886923486,0.9107729860349492,0.9114201833775495,NaN,0.9105572535874155,NaN,0.9105572535874155,1.0009476941584226
Cntnap_het,OFT-0371-00,fast,5.161759489967794,4,1.0081495393485853,0.8447346961543972,0.837906147038684,0.8344918724808272,0.8396132843176123,0.8447346961543972,NaN,0.837906147038684,NaN,0.837906147038684,1.0081495393485853
Cntnap_het,OFT-0371-00,medium,4.119066981308078,5,1.0247611841000757,0.8548371165492918,0.83418178773037,0.823854123320909,0.8393456199351004,0.8548371165492918,NaN,0.83418178773037,NaN,0.83418178773037,1.0247611841000757
Cntnap_het,OFT-0371-00,slow,3.2841957322977513,6,1.0101523211456942,0.7885788839940857,0.7806534395720593,0.7766907173610463,0.7826348006775661,0.7885788839940857,NaN,0.7806534395720593,NaN,0.7806534395720593,1.0101523211456942
Cntnap_het,OFT-0376-00,fast,5.26788733469112,7,0.9959432795199488,0.9020284905208519,0.9057026731036687,0.9075397643950772,0.9047841274579644,0.9020284905208519,NaN,0.9057026731036687,NaN,0.9057026731036687,0.9959432795199488
Cntnap_het,OFT-0376-00,slow,3.417873622206612,8,1.0132011941092671,0.9784591601953458,0.9657106267581298,0.9593363600395215,0.9688977601174337,0.9784591601953458,NaN,0.9657106267581298,NaN,0.9657106267581298,1.0132011941092671
Cntnap_het,OFT-0376-00,medium,4.115399174413213,9,0.9955551968500839,0.9103358549328231,0.9144001837498382,0.916432348158346,0.9133841015455845,0.9103358549328231,NaN,0.9144001837498382,NaN,0.9144001837498382,0.9955551968500839
Cntnap_het,OFT-0385-00,medium,4.311198061882982,10,1.0112683078098514,0.8672053690086674,0.8575423182071359,0.8527107928063701,0.8599580809075187,0.8672053690086674,NaN,0.8575423182071359,NaN,0.8575423182071359,1.0112683078098514
Cntnap_het,OFT-0385-00,fast,5.696205808083579,11,1.0031918120277672,0.9135404375014825,0.9106338653770799,0.9091805793148786,0.9113605084081805,0.9135404375014825,NaN,0.9106338653770799,NaN,0.9106338653770799,1.0031918120277672
Cntnap_het,OFT-0385-00,slow,3.4421594866306453,12,1.0102201848436418,0.9651381646756364,0.9553740651351338,0.9504920153648826,0.9578150900202596,0.9651381646756364,NaN,0.9553740651351338,NaN,0.9553740651351338,1.0102201848436418
Cntnap_het,OFT-0391-00,slow,3.975491091668027,13,1.0057178533739346,0.96347542369686,0.9579977331262821,0.9552588878409929,0.9593671557689264,0.96347542369686,NaN,0.9579977331262821,NaN,0.9579977331262821,1.0057178533739346
Cntnap_het,OFT-0391-00,fast,6.39165551768409,14,1.007217750319477,0.8577041202432132,0.8515577887414713,0.8484846229906002,0.8530943716169066,0.8577041202432132,NaN,0.8515577887414713,NaN,0.8515577887414713,1.007217750319477
Cntnap_het,OFT-0391-00,medium,5.1122869860525,15,1.0208301948416323,0.8404268698672073,0.8232778322134053,0.814703313386504,0.8275650916268557,0.8404268698672073,NaN,0.8232778322134053,NaN,0.8232778322134053,1.0208301948416323
Cntnap_het,OFT-0403-00,medium,5.354457803942672,16,1.0134385396434418,0.8201334274020081,0.8092581792780011,0.8038205552159977,0.8119769913090029,0.8201334274020081,NaN,0.8092581792780011,NaN,0.8092581792780011,1.0134385396434418
Cntnap_het,OFT-0403-00,fast,6.945820251490444,17,1.003490105378918,0.916389328537473,0.9132021567780623,0.9116085708983567,0.913998949717915,0.916389328537473,NaN,0.9132021567780623,NaN,0.9132021567780623,1.003490105378918
Cntnap_het,OFT-0403-00,slow,3.9377791763328784,18,1.0177681310508093,0.8839002156371426,0.8684691421066084,0.8607536053413412,0.8723269104892419,0.8839002156371426,NaN,0.8684691421066084,NaN,0.8684691421066084,1.0177681310508093
Cntnap_het,OFT-0407-00,fast,6.447141152231431,19,1.014291549752357,0.7864043170226278,0.7753237392292496,0.7697834503325607,0.7780938836775942,0.7864043170226278,NaN,0.7753237392292496,NaN,0.7753237392292496,1.014291549752357
Cntnap_het,OFT-0407-00,medium,4.968686054175608,20,1.011433371475879,0.8499805381528335,0.8403722500401046,0.8355681059837401,0.8427743220682868,0.8499805381528335,NaN,0.8403722500401046,NaN,0.8403722500401046,1.011433371475879
Cntnap_het,OFT-0407-00,slow,3.65935418689637,21,1.0161991172773945,0.8267588553956482,0.813579584295157,0.8069899487449114,0.8168744020702797,0.8267588553956482,NaN,0.813579584295157,NaN,0.813579584295157,1.0161991172773945
Cntnap_het,OFT-0419-00,fast,6.183588122814384,22,1.0167672809197366,0.8035581400427386,0.7903068431901786,0.7836811947638987,0.7936196674033187,0.8035581400427386,NaN,0.7903068431901786,NaN,0.7903068431901786,1.0167672809197366
Cntnap_het,OFT-0419-00,slow,3.701707587974198,23,1.0057746765194966,0.8518391160258099,0.8469482637737671,0.8445028376477455,0.8481709768367778,0.8518391160258099,NaN,0.8469482637737671,NaN,0.8469482637737671,1.0057746765194966
Cntnap_het,OFT-0419-00,medium,4.87777135927766,24,0.9867951664541162,0.8264195498805398,0.8374783115832848,0.8430076924346575,0.8347136211575985,0.8264195498805398,NaN,0.8374783115832848,NaN,0.8374783115832848,0.9867951664541162
Cntnap_het,OFT-0420-00,medium,5.181301997401476,25,1.0106020788817658,0.8454475552015797,0.8365780883184705,0.8321433548769158,0.8387954550392477,0.8454475552015797,NaN,0.8365780883184705,NaN,0.8365780883184705,1.0106020788817658
Cntnap_het,OFT-0420-00,fast,6.288631458172929,26,1.0154811317494519,0.7989299189161319,0.7867501364006148,0.7806602451428561,0.7897950820294941,0.7989299189161319,NaN,0.7867501364006148,NaN,0.7867501364006148,1.0154811317494519
Cntnap_het,OFT-0420-00,slow,3.947120300352974,27,1.0369419994492226,0.9382074935663633,0.9047830004616433,0.8880707539092835,0.9131391237378235,0.9382074935663633,NaN,0.9047830004616433,NaN,0.9047830004616433,1.0369419994492226
Cntnap_het,OFT-0421-00,slow,3.9573560351624493,28,1.0110365716386909,0.9015218088080874,0.8916807107648919,0.8867601617432941,0.8941409852756907,0.9015218088080874,NaN,0.8916807107648919,NaN,0.8916807107648919,1.0110365716386909
Cntnap_het,OFT-0421-00,fast,6.956761347020027,29,1.0155482085071068,0.8583558558780295,0.8452142878966269,0.8386435039059253,0.8484996798919775,0.8583558558780295,NaN,0.8452142878966269,NaN,0.8452142878966269,1.0155482085071068
Cntnap_het,OFT-0421-00,medium,5.162926977626727,30,0.9982331726880832,0.8788913510664222,0.8804469487822245,0.8812247476401258,0.8800580493532739,0.8788913510664222,NaN,0.8804469487822245,NaN,0.8804469487822245,0.9982331726880832
Cntnap_het,OFT-0423-00,slow,4.1453204133125725,31,1.0009467620369423,0.9285871687579134,0.9277088492381192,0.9272696894782221,0.9279284291180677,0.9285871687579134,NaN,0.9277088492381192,NaN,0.9277088492381192,1.0009467620369423
Cntnap_het,OFT-0423-00,fast,6.382885990207444,32,1.0103757891922516,0.7952262416790725,0.7870598743412279,0.7829766906723057,0.789101466175689,0.7952262416790725,NaN,0.7870598743412279,NaN,0.7870598743412279,1.0103757891922516
Cntnap_het,OFT-0423-00,medium,5.252575215329125,33,0.9873112918717395,0.8233522376844978,0.8339337800174361,0.8392245511839052,0.8312883944342014,0.8233522376844978,NaN,0.8339337800174361,NaN,0.8339337800174361,0.9873112918717395
Cntnap_het,OFT-0425-00,slow,3.8679193486908767,34,0.9949788663158293,0.8823026193017831,0.8867551353816593,0.8889813934215977,0.8856420063616903,0.8823026193017831,NaN,0.8867551353816593,NaN,0.8867551353816593,0.9949788663158293
Cntnap_het,OFT-0425-00,fast,6.543154315224564,35,1.0111093806597438,0.8288376308881162,0.8197309279707244,0.8151775765120286,0.8220076037000724,0.8288376308881162,NaN,0.8197309279707244,NaN,0.8197309279707244,1.0111093806597438
Cntnap_het,OFT-0425-00,medium,5.182227487089433,36,1.0169769354210827,0.8149466444374192,0.8013423078272545,0.7945401395221721,0.8047433919797957,0.8149466444374192,NaN,0.8013423078272545,NaN,0.8013423078272545,1.0169769354210827
Cntnap_het,OFT-0428-00,slow,4.457290501135109,37,1.0007455125219025,0.9360691178730572,0.935371786493592,0.9350231208038594,0.9355461193384583,0.9360691178730572,NaN,0.935371786493592,NaN,0.935371786493592,1.0007455125219025
Cntnap_het,OFT-0428-00,medium,5.960257679480171,38,0.9994141508751868,0.9117261532018832,0.9122606002761565,0.9125278238132932,0.9121269885075882,0.9117261532018832,NaN,0.9122606002761565,NaN,0.9122606002761565,0.9994141508751868
Cntnap_het,OFT-0428-00,fast,7.450343367944017,39,1.0009316650149997,0.9066375920705788,0.9057936957734194,0.9053717476248395,0.9060046698477092,0.9066375920705788,NaN,0.9057936957734194,NaN,0.9057936957734194,1.0009316650149997
Cntnap_het,OFT-0430-00,fast,6.689269020906674,40,1.0028326174783146,0.8389350298215046,0.8365653601605613,0.8353805253300894,0.837157777575797,0.8389350298215046,NaN,0.8365653601605613,NaN,0.8365653601605613,1.0028326174783146
Cntnap_het,OFT-0430-00,medium,5.09250443904536,41,1.0197669853692712,0.8919082762570141,0.8746196818031349,0.8659753845761952,0.8789418304166047,0.8919082762570141,NaN,0.8746196818031349,NaN,0.8746196818031349,1.0197669853692712
Cntnap_het,OFT-0430-00,slow,4.035485538859194,42,1.0008336935203501,0.9420770448966721,0.9412922956090674,0.9408999209652651,0.9414884829309685,0.9420770448966721,NaN,0.9412922956090674,NaN,0.9412922956090674,1.0008336935203501
Cntnap_het,OFT-0431-00,medium,4.461372284712724,43,1.015004797319854,0.8844100988079673,0.8713358805232002,0.8647987713808165,0.874604435094392,0.8844100988079673,NaN,0.8713358805232002,NaN,0.8713358805232002,1.015004797319854
Cntnap_het,OFT-0431-00,slow,3.56949769826014,44,0.9997262930619645,0.8914438616056077,0.8916879227766342,0.8918099533621475,0.8916269074838776,0.8914438616056077,NaN,0.8916879227766342,NaN,0.8916879227766342,0.9997262930619645
Cntnap_het,OFT-0431-00,fast,5.761619919586888,45,1.004180810052586,0.8929402451879686,0.889222574509473,0.887363739170225,0.8901519921790968,0.8929402451879686,NaN,0.889222574509473,NaN,0.889222574509473,1.004180810052586
Cntnap_het,OFT-0432-00,fast,5.646220193478613,46,1.007872681148953,0.8684460148123017,0.8616624213112831,0.8582706245607739,0.8633583196865378,0.8684460148123017,NaN,0.8616624213112831,NaN,0.8616624213112831,1.007872681148953
Cntnap_het,OFT-0432-00,medium,4.546955683460996,47,0.9990137598842721,0.9434050915483098,0.944336434022286,0.9448021052592743,0.944103598403792,0.9434050915483098,NaN,0.944336434022286,NaN,0.944336434022286,0.9990137598842721
Cntnap_het,OFT-0432-00,slow,3.6354693691570144,48,1.0019922440140938,0.9152045208999504,0.913384835429003,0.912474992693529,0.9138397567967398,0.9152045208999504,NaN,0.913384835429003,NaN,0.913384835429003,1.0019922440140938
Cntnap_het,OFT-0434-00,medium,4.981680913701554,49,0.9991656818926519,0.8806138898653968,0.8813492154747644,0.881716878279448,0.8811653840724223,0.8806138898653968,NaN,0.8813492154747644,NaN,0.8813492154747644,0.9991656818926519
Cntnap_het,OFT-0434-00,fast,6.321191888777903,50,1.0137148693664597,0.8178903503898436,0.8068248529302916,0.8012921042005157,0.8095912272951795,0.8178903503898436,NaN,0.8068248529302916,NaN,0.8068248529302916,1.0137148693664597
Cntnap_het,OFT-0434-00,slow,3.887471979835045,51,1.021864559071417,0.9453421506677717,0.9251149208333614,0.9150013059161566,0.9301717282919642,0.9453421506677717,NaN,0.9251149208333614,NaN,0.9251149208333614,1.021864559071417
Cntnap_het,OFT-0436-00,fast,6.009426849155003,52,0.9977159517651312,0.894159455347922,0.8962064340717416,0.8972299234336514,0.8956946893907867,0.894159455347922,NaN,0.8962064340717416,NaN,0.8962064340717416,0.9977159517651312
Cntnap_het,OFT-0436-00,slow,3.8750846223033095,53,1.027730363984441,0.7846755617752496,0.763503336354796,0.7529172236445688,0.7687963927099093,0.7846755617752496,NaN,0.763503336354796,NaN,0.763503336354796,1.027730363984441
Cntnap_het,OFT-0436-00,medium,4.96373358919357,54,1.0065093943914007,0.9058144356840873,0.8999562654174729,0.8970271802841657,0.9014208079841265,0.9058144356840873,NaN,0.8999562654174729,NaN,0.8999562654174729,1.0065093943914007
Cntnap_het,OFT-0439-00,fast,6.022451306265723,55,0.9943731341513873,0.8974463304372936,0.9025247159389393,0.9050639086897619,0.9012551195635278,0.8974463304372936,NaN,0.9025247159389393,NaN,0.9025247159389393,0.9943731341513873
Cntnap_het,OFT-0439-00,medium,4.812852817216909,56,0.9984223887560885,0.8174908157482499,0.8187825362838096,0.8194283965515894,0.8184596061499196,0.8174908157482499,NaN,0.8187825362838096,NaN,0.8187825362838096,0.9984223887560885
Cntnap_het,OFT-0439-00,slow,3.693556530330783,57,1.021572314200495,0.8383990493893538,0.8206947640760051,0.8118426214193306,0.8251208354043422,0.8383990493893538,NaN,0.8206947640760051,NaN,0.8206947640760051,1.021572314200495
Cntnap_het,OFT-0442-00,fast,5.985265539281313,58,1.0030267339733296,0.8401540277706354,0.8376187785568784,0.8363511539499997,0.8382525908603177,0.8401540277706354,NaN,0.8376187785568784,NaN,0.8376187785568784,1.0030267339733296
Cntnap_het,OFT-0442-00,medium,4.829143903735848,59,0.9986963129764403,0.944697571894608,0.9459307695640745,0.9465473683988077,0.9456224701467077,0.944697571894608,NaN,0.9459307695640745,NaN,0.9459307695640745,0.9986963129764403
Cntnap_het,OFT-0442-00,slow,3.9479257743136342,60,1.0030640769264911,0.9496718764796823,0.9467708976176189,0.9453204081865876,0.947496142333135,0.9496718764796823,NaN,0.9467708976176189,NaN,0.9467708976176189,1.0030640769264911
Cntnap_het,OFT-0443-00,fast,5.508876934446175,61,1.0133582394881664,0.866108900243024,0.8546917235117997,0.8489831351461874,0.8575460176946057,0.866108900243024,NaN,0.8546917235117997,NaN,0.8546917235117997,1.0133582394881664
Cntnap_het,OFT-0443-00,slow,3.3653756817754683,62,1.010199295676343,0.8715675357283004,0.8627679107069396,0.8583680981962594,0.8649678169622799,0.8715675357283004,NaN,0.8627679107069396,NaN,0.8627679107069396,1.010199295676343
Cntnap_het,OFT-0443-00,medium,4.223459763060185,63,1.0108042252093867,0.8411746759506213,0.8321835771673521,0.8276880277757175,0.8344313518631694,0.8411746759506213,NaN,0.8321835771673521,NaN,0.8321835771673521,1.0108042252093867
