rank,n_features,n_delays,delay_interval,n_transitions,dataset,group,line,genotype,state_space,subject,speed_condition,n_bouts,n_frames,n_est_strides,mean_speed,median_speed,speed_min,speed_max,stride_frequency,henrici,tgmax,log_tgmax,resolvent_peak_frequency,resolvent_peak_gain,gain_h1,qfactor_h1,gain_h2,qfactor_h2,gain_h3,qfactor_h3,gain_h4,qfactor_h4,gain_h5,qfactor_h5,harmonic_entropy,h1_concentration,spectral_decay_rate,io_frequency,io_gain_mean,io_gain_max,io_1_from_1,io_1_from_2,io_1_from_3,io_1_from_4,io_2_from_1,io_2_from_2,io_2_from_3,io_2_from_4,io_3_from_1,io_3_from_2,io_3_from_3,io_3_from_4,io_4_from_1,io_4_from_2,io_4_from_3,io_4_from_4,participation_ratio,qfactor_median,model_index,speed_bin
40,4,100,1,7600,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0366-00,slow,87,16300,153.0,3.6710539720053386,3.7050941471531798,2.635819338931967,4.3214532861764114,1.0,0.2154779569526455,23.064279959217284,1.3629399009724732,1.0,35788.33975689059,35788.33975689059,41.02564102564115,823.7969422456031,0.8752735229759294,903.0319965282401,27.04225352112689,141.700906631567,0.9428403064231,173.9390156429556,14.897579143389502,0.2706724182803521,71.73909985689409,-1.2413550847805854,1.0,8944.243616237043,9375.682757328677,8659.098751937829,8659.098751937863,8736.085044389187,8736.085044389154,8659.098751937829,8659.098751937863,8736.085044389187,8736.085044389154,9006.107911292484,9006.107911292518,9375.682757328676,9375.682757328641,9006.107911292484,9006.10791129252,9375.682757328677,9375.68275732864,2.3450145777913614,14.897579143389502,1,slow
40,4,100,1,14900,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0366-00,medium,87,23600,225.0,4.818050275650074,4.814880389848038,4.323119872466886,5.284291781502405,1.0,0.23518046537792256,18.828475014091474,1.274815146369024,1.0,68074.64786834158,68074.64786834158,123.0769230769257,581.6223431752315,0.9640006025003758,234.60116039094706,0.8728859792689573,92.10990114533864,0.7041091369162261,91.49804085832135,0.8762801905909465,0.09150769489317227,416.7269240792508,-1.5066924068763015,1.0,16951.969986991106,19204.44558949497,16741.1695771489,16741.169577148863,14913.739069684176,14913.739069684207,16741.169577148892,16741.169577148852,14913.739069684176,14913.739069684207,19204.44558949497,19204.445589494935,16948.52571163638,16948.52571163642,19204.44558949497,19204.445589494928,16948.525711636383,16948.525711636412,2.2877907483986153,0.8762801905909465,2,medium
40,4,100,1,23400,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0366-00,fast,87,32100,283.0,5.967393961629797,5.941787448697441,5.285017486353835,8.060920285308828,1.0,0.20087972161201592,25.949488770074705,1.4141288062491175,1.0,75300.39262693316,75300.39262693316,96.96969696969852,607.2354184411707,0.9223231013114274,186.0971410669256,0.9001406469760894,118.33946439191467,0.9010911650827184,104.903307831436,0.9136070347741725,0.08545205157982518,494.6868495885508,-1.4787762403619074,1.0,18773.73745767876,20612.971339224983,18051.85347638255,18051.853476382516,16907.82225558485,16907.822255584884,18051.85347638255,18051.853476382512,16907.82225558485,16907.822255584888,20612.971339224983,20612.971339224943,19522.302759522667,19522.30275952271,20612.97133922498,20612.971339224943,19522.302759522663,19522.302759522707,2.324633194198223,0.9136070347741725,3,fast
40,4,100,1,10800,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0371-00,fast,54,16200,150.0,5.161759489967794,5.094649140288102,4.523524164226152,6.6606080804135095,1.0,0.22058112981947042,22.266615956569513,1.3476542186926894,1.0,125609.83013247512,125609.83013247512,168.42105263158726,657.949270630754,0.9463255951500804,334.0499504474925,0.9474930911962094,91.33588336481296,0.7014851756453157,102.53637367274159,0.8869671267808685,0.06322618812864207,575.4180705755807,-1.6196020483886409,1.0,31051.313677058795,36982.87563696119,25498.56079124737,25498.560791247353,34180.025386732115,34180.02538673211,25498.56079124737,25498.56079124735,34180.02538673211,34180.02538673209,27543.79289329453,27543.7928932945,36982.87563696119,36982.87563696117,27543.79289329453,27543.79289329451,36982.87563696119,36982.87563696117,2.251030812207,0.9463255951500804,4,fast
40,4,100,1,5500,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0371-00,medium,53,10800,102.0,4.119066981308078,4.118908188108321,3.763183514372633,4.443584276514937,1.0,0.21182135248812212,35.05498231826139,1.5447497523897582,1.0,31268.37421356208,31268.37421356208,25.80645161290326,920.1208270958629,0.928208846990572,605.832610047247,11.455847255369935,162.5641955679552,0.9200028750089851,154.21758186329856,6.762468300929995,0.27796247520401435,81.38600781539598,-1.235742798723993,1.0,7760.959552161181,9246.440760316676,6561.96075546925,6561.960755469234,7904.825440879182,7904.825440879216,6561.96075546925,6561.960755469235,7904.825440879181,7904.825440879218,7330.611251979637,7330.611251979623,9246.440760316635,9246.440760316675,7330.611251979639,7330.6112519796225,9246.440760316635,9246.440760316676,2.365790174603475,6.762468300929995,5,medium
40,4,100,1,1500,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0371-00,slow,54,6900,69.0,3.2841957322977513,3.3155954206761145,2.551565428134999,3.7589605283949394,1.0,0.21795888260167443,38.17968804316531,1.5818323755588164,1.0,123163.15800512249,123163.15800512249,91.42857142857106,1155.912584074348,0.8875329357925384,1130.6043939521917,21.476510067113963,305.5854454850179,0.9041463586918144,180.33241185358136,0.9089359768221374,0.13112628062791376,171.51375761492037,-1.438334272272715,1.0,29933.85736598115,38247.54194429625,22074.865939604122,22074.865939603933,35942.712835993545,35942.71283599349,22074.865939604122,22074.865939603933,35942.71283599354,35942.71283599348,23470.308744030925,23470.308744030706,38247.54194429625,38247.54194429619,23470.30874403092,23470.30874403071,38247.54194429625,38247.54194429619,2.710546650663432,0.9089359768221374,6,slow
40,4,100,1,12700,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0376-00,fast,47,17400,161.0,5.26788733469112,5.186579913242577,4.496922531770631,7.095421220646593,1.0,0.25175940518226125,26.550493122777368,1.4240725916514727,1.0,309687.82216078887,309687.82216078887,320.0000000000182,677.6760527742894,0.9303677860154084,270.9568208867631,0.9525699543560221,99.50720157695284,0.6932033577037681,95.0751328016431,0.8567144998929159,0.028224760463190685,1671.8914840974624,-1.8095744542607761,1.0,77204.71496217923,85329.43120818184,74711.98549569408,74711.98549569403,69550.27258109671,69550.27258109685,74711.98549569407,74711.98549569403,69550.27258109671,69550.27258109685,85329.43120818182,85329.43120818179,79227.17056374412,79227.17056374428,85329.43120818184,85329.43120818179,79227.17056374412,79227.17056374428,2.2772872374039985,0.9303677860154084,7,fast
40,4,100,1,2300,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0376-00,slow,47,7000,69.0,3.417873622206612,3.4675034154831352,2.9538382939848624,3.7435011375336087,1.0,0.4223524811369847,21.84510691118837,1.3393541745125384,1.0,29437.37007428932,29437.37007428932,32.323232323232375,701.0034796069781,0.8632317237658478,699.5768754425851,9.374999999999991,183.06962962469512,0.8252208110373307,115.19920609095242,0.9494985460803556,0.2746534521747238,66.70251319251626,-1.242936104151295,1.0,7365.545229488381,7601.983958137803,7601.983958137803,7601.98395813779,7430.647031167585,7430.647031167532,7601.983958137803,7601.983958137791,7430.647031167582,7430.647031167532,7155.072207789955,7155.072207789946,7274.47772085824,7274.477720858188,7155.0722077899545,7155.072207789945,7274.47772085824,7274.477720858188,2.274197049019951,0.9494985460803556,8,slow
40,4,100,1,6500,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0376-00,medium,47,11200,100.0,4.115399174413213,4.088856103920975,3.7467072443875753,4.481226708975214,1.0,0.30226114802669063,26.342964604399867,1.4206646483357768,1.0,70844.17963520794,70844.17963520794,106.66666666666895,589.2721442055479,0.9467455621301766,357.2448587347853,0.9118541033434644,81.58086561499708,0.6277587052476751,99.27396447586061,0.8042221663734662,0.09799120292482401,310.3669598417377,-1.5118002867213174,1.0,17674.964904224777,19351.075713181406,17462.40836899398,17462.40836899402,16116.827797260166,16116.827797260177,17462.408368993983,17462.40836899403,16116.82779726016,16116.827797260177,19351.075713181355,19351.075713181406,17769.547737463563,17769.547737463567,19351.075713181355,19351.075713181406,17769.54773746356,17769.547737463563,2.4297871209092268,0.9118541033434644,9,medium
40,4,100,1,6600,ASD,Cntnap_het,Cntnap,het,body_ap,OFT-0385-00,medium,57,12300,116.0,4.311198061882982,4.328153740854266,3.9351397942046806,4.710536897125992,1.0,0.2920541080933736,27.3381352876024,1.4367688883619036,1.0,109467.00592789993,109467.00592789993,133.33333333333618,859.7376713912031,0.9146777190224372,800.5149400798111,15.894039735099284,119.6089830966318,0.7524542942801751,178.7132961956918,11.251758087201374,0.10807661582706866,223.57812381770762,-1.4807590646420643,1.0,27204.847028001037,31635.08504890333,23233.146158006348,23233.146158006337,27291.37249340482,27291.37249340468,23233.146158006344,23233.146158006337,27291.37249340482,27291.372493404673,26659.78441168986,26659.784411689856,31635.08504890333,31635.085048903155,26659.78441168986,26659.78441168986,31635.08504890332,31635.085048903155,2.195419376410697,11.251758087201374,10,medium
